Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,fbEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2021-10-01 00:00:00+00:00,95,4.425,,13.12,1.67,,1.67,,,5.1,0.1,4.71,,,270.0,270.0,,,110.0,20.0,323.7,,275.5,68.6,,36.1,62.5,3.7,2.96,2.77,
2021-10-01 00:05:00+00:00,100,4.4,,13.09,1.7,,1.7,,,5.05,0.1,4.72,,,270.0,270.0,,,110.0,20.0,322.9,,275.3,67.8,,35.7,62.2,3.6,2.97,2.73,
2021-10-01 00:10:00+00:00,100,4.45,,13.11,1.5,,1.5,,,5.1,0.08,4.72,,,265.0,265.0,,,110.0,20.0,334.5,,273.5,86.6,,46.7,72.8,4.7,2.95,4.02,
2021-10-01 00:15:00+00:00,100,4.45,,13.19,1.5,,1.5,,,5.1,0.05,4.72,,,265.0,265.0,,,110.0,20.0,326.4,,273.9,74.6,,39.7,65.8,4.1,2.96,3.23,
2021-10-01 00:20:00+00:00,90,4.45,,13.3,1.65,,1.65,,,5.25,0.15,4.71,,,270.0,270.0,,,110.0,20.0,323.3,,272.8,71.9,,38.4,63.4,3.9,2.99,3.25,
2021-10-01 00:25:00+00:00,95,4.45,,13.3,1.52,,1.52,,,5.1,0.05,4.7,,,265.0,265.0,,,110.0,20.0,322.0,,271.7,71.5,,38.2,62.5,3.9,2.99,3.34,
2021-10-01 00:30:00+00:00,95,4.45,,13.3,1.5,,1.5,,,5.1,0.05,4.68,,,262.5,262.5,,,110.0,20.0,322.0,,269.9,74.0,,39.4,65.1,4.0,2.99,3.27,
2021-10-01 00:35:00+00:00,95,4.45,,13.19,1.5,,1.5,,,5.03,0.08,4.67,,,260.0,260.0,,,110.0,20.0,328.2,,268.6,84.6,,45.5,71.2,4.6,2.96,3.95,
2021-10-01 00:40:00+00:00,95,4.4,,13.03,1.58,,1.58,,,4.97,0.08,4.64,,,262.5,262.5,,,110.0,20.0,327.0,,269.5,81.5,,43.5,69.3,4.3,2.96,3.72,
2021-10-01 00:45:00+00:00,95,4.425,,13.0,1.7,,1.7,,,5.13,0.08,4.62,,,265.0,265.0,,,110.0,20.0,333.4,,271.3,87.8,,47.3,72.4,4.7,2.94,4.16,
2021-10-01 00:50:00+00:00,95,4.45,,13.54,1.63,,1.63,,,5.13,0.08,4.59,,,265.0,265.0,,,110.0,20.0,315.8,,271.0,63.9,,33.9,58.2,3.5,3.04,2.85,
2021-10-01 00:55:00+00:00,95,4.475,,13.76,1.52,,1.52,,,5.1,0.08,4.56,,,260.0,260.0,,,110.0,20.0,309.7,,265.2,63.3,,33.5,56.6,3.5,3.08,3.01,
2021-10-01 01:00:00+00:00,95,4.425,,13.57,1.73,,1.73,,,5.07,0.08,4.53,,,255.0,255.0,,,110.0,20.0,305.4,,262.1,61.6,,32.4,56.3,3.3,3.07,2.76,
2021-10-01 01:05:00+00:00,100,4.45,,13.46,1.5,,1.5,,,5.07,0.08,4.49,,,250.0,250.0,,,110.0,20.0,315.0,,258.3,80.3,,43.1,67.6,4.4,3.03,3.96,
2021-10-01 01:10:00+00:00,100,4.375,,13.49,1.7,,1.7,,,5.05,0.08,4.45,,,252.5,252.5,,,110.0,20.0,308.6,,257.3,72.6,,39.1,60.6,3.8,3.08,3.96,
2021-10-01 01:15:00+00:00,95,4.425,,13.74,1.67,,1.67,,,5.13,0.05,4.41,,,250.0,250.0,,,110.0,20.0,304.2,,255.3,69.3,,37.1,59.2,3.7,3.11,3.66,
2021-10-01 01:20:00+00:00,95,4.475,,14.03,1.5,,1.5,,,5.18,0.05,4.37,,,245.0,245.0,,,110.0,20.0,300.3,,252.8,67.4,,36.2,58.1,3.7,3.13,3.56,
2021-10-01 01:25:00+00:00,100,4.575,,14.47,1.63,,1.63,,,5.25,0.08,4.33,,,245.0,245.0,,,110.0,20.0,300.5,,249.4,72.4,,39.0,59.9,4.2,3.16,4.17,
2021-10-01 01:30:00+00:00,100,4.525,,14.57,1.63,,1.63,,,5.15,0.08,4.29,,,240.0,240.0,,,110.0,20.0,288.9,,243.8,63.9,,34.2,54.4,3.6,3.22,3.73,
2021-10-01 01:35:00+00:00,100,4.425,,14.38,1.5,,1.5,,,5.05,0.05,4.25,,,232.5,232.5,,,110.0,20.0,278.6,,240.0,55.0,,28.9,50.2,2.9,3.25,2.78,
2021-10-01 01:40:00+00:00,95,4.45,,14.35,1.7,,1.7,,,5.15,0.05,4.21,,,232.5,232.5,,,110.0,20.0,285.3,,238.7,65.9,,35.3,55.4,3.6,3.22,3.85,
2021-10-01 01:45:00+00:00,100,4.525,,14.61,1.63,,1.63,,,5.15,0.1,4.16,,,230.0,230.0,,,110.0,20.0,285.1,,236.5,68.8,,36.8,57.3,3.8,3.23,4.02,
2021-10-01 01:50:00+00:00,95,4.55,,14.97,1.65,,1.65,,,5.2,0.08,4.13,,,227.5,227.5,,,110.0,20.0,277.0,,233.3,62.0,,33.3,52.3,3.5,3.29,3.85,
2021-10-01 01:55:00+00:00,90,4.525,,15.32,1.67,,1.67,,,5.18,0.05,4.09,,,227.5,227.5,,,110.0,20.0,268.5,,229.6,55.2,,29.8,46.5,3.1,3.39,3.89,
2021-10-01 02:00:00+00:00,95,4.45,,15.42,1.33,,1.33,,,5.15,0.08,4.05,,,217.5,217.5,,,110.0,20.0,255.0,,222.1,46.9,,24.9,42.4,2.6,3.46,2.94,
2021-10-01 02:05:00+00:00,80,4.45,,15.1,1.63,,1.63,,,5.07,0.1,4.02,,,215.0,215.0,,,110.0,20.0,264.6,,219.1,64.3,,34.7,52.2,3.5,3.39,4.59,
2021-10-01 02:10:00+00:00,90,4.3,,14.46,1.63,,1.63,,,5.03,0.13,3.99,,,215.0,215.0,,,110.0,20.0,262.9,,220.5,59.9,,31.9,50.0,3.0,3.36,3.87,
2021-10-01 02:15:00+00:00,95,4.35,,14.85,1.58,,1.58,,,5.0,0.13,3.97,,,217.5,217.5,,,110.0,20.0,262.9,,222.3,57.5,,30.9,48.7,3.0,3.41,3.84,
2021-10-01 02:20:00+00:00,95,4.325,,14.85,1.65,,1.65,,,5.0,0.1,3.95,,,222.5,222.5,,,110.0,20.0,262.9,,222.6,57.0,,30.9,46.7,2.9,3.43,4.34,
2021-10-01 02:25:00+00:00,95,4.2,,14.82,1.38,,1.38,,,4.9,0.08,3.93,,,215.0,215.0,,,110.0,20.0,248.6,,217.1,44.8,,23.9,39.5,2.2,3.53,3.25,
2021-10-01 02:30:00+00:00,95,4.05,,14.42,1.13,,1.13,,,4.72,0.1,3.92,,,205.0,205.0,,,110.0,20.0,243.0,,210.6,46.1,,24.6,41.9,2.1,3.56,2.96,
2021-10-01 02:35:00+00:00,95,3.925,,13.66,1.5,,1.5,,,4.57,0.08,3.91,,,207.5,207.5,,,110.0,20.0,254.7,,209.3,64.2,,35.1,49.2,2.7,3.48,6.09,
2021-10-01 02:40:00+00:00,100,3.775,,12.99,1.5,,1.5,,,4.45,0.05,3.91,,,205.0,205.0,,,110.0,20.0,254.1,,208.9,63.9,,34.6,51.7,2.5,3.44,4.73,
