Time,CS,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,FE,foF2p,minEs,hF,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2010-07-01 00:00:00+00:00,100,4.1,12.7,2.7,,2.7,,,4.8,0.15,,3.52,,295.0,,,110.0,20.0,310.5,269.6,58.7,31.2,56.2,2.7,3.1,2.48
2010-07-01 00:15:00+00:00,100,3.85,12.18,1.65,,1.65,,,4.6,0.2,,3.44,,260.0,,,110.0,20.0,298.9,257.8,58.6,31.2,54.7,2.4,3.16,2.79
2010-07-01 00:30:00+00:00,100,3.9,12.1,2.05,,2.05,,,4.45,,,3.38,,272.5,,,110.0,20.0,306.1,262.2,62.5,33.3,58.2,2.6,3.1,2.85
2010-07-01 00:45:00+00:00,100,3.95,12.9,2.6,,2.6,,,4.5,,,3.33,,275.0,,,110.0,20.0,288.9,255.3,48.1,25.7,45.9,2.1,3.27,2.54
2010-07-01 01:00:00+00:00,100,3.65,12.25,2.0,,2.0,,,4.25,0.05,,3.3,,248.5,,,110.0,20.0,274.9,241.9,46.8,25.2,42.0,1.7,3.36,3.49
2010-07-01 01:30:00+00:00,0,,,2.55,3.15,,,,,,,,2.55,,,97.0,,,,,,,,,,
2010-07-01 01:45:00+00:00,100,3.15,9.89,1.5,1.85,2.05,,,3.8,0.1,,3.27,1.5,277.5,,102.0,110.0,20.0,297.2,253.4,62.4,33.6,58.4,1.7,3.14,2.83
2010-07-01 02:15:00+00:00,0,,,1.7,1.9,,,,,,,,1.7,,,100.0,,,,,,,,,,
2010-07-01 03:00:00+00:00,0,,,1.7,2.25,,,,,,,,1.7,,,100.0,,,,,,,,,,
2010-07-01 03:30:00+00:00,70,3.6,11.83,2.65,,2.65,,,4.15,,,3.57,,268.5,,,110.0,20.0,248.9,186.1,82.9,46.8,91.6,3.3,3.29,1.96
2010-07-01 03:45:00+00:00,0,,,2.2,2.65,,,,,,,,2.2,,,105.0,,,,,,,,,,
2010-07-01 04:00:00+00:00,50,4.1,13.58,2.5,4.1,3.6,,,4.65,,,3.79,2.5,322.5,,98.0,110.0,20.0,231.6,171.6,69.4,40.2,103.6,3.8,3.31,1.15
2010-07-01 04:15:00+00:00,0,,,2.6,3.3,,,,,,,,2.6,,,102.0,,,,,,,,,,
2010-07-01 04:30:00+00:00,100,4.8,14.09,2.1,2.45,3.35,2.1,2.46,5.35,,0.05,4.06,2.1,324.5,112.5,112.5,101.4,11.2,272.7,181.1,100.9,64.4,116.7,8.2,2.93,1.72
2010-07-01 04:45:00+00:00,0,,,2.1,3.8,,2.1,2.21,,,,,2.25,,120.0,108.0,110.0,20.0,,,,,,,,
