Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,FE,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2010-04-01 00:00:00+00:00,100,3.55,,11.16,2.7,,2.7,,,4.15,0.05,,3.17,,307.5,,,,110.0,20.0,305.1,,270.9,49.1,,25.7,49.3,1.7,3.14,2.05,
2010-04-01 00:15:00+00:00,100,3.5,,11.13,3.0,,3.0,,,4.2,0.15,,3.14,,320.0,,,,110.0,20.0,302.3,,267.9,49.3,,26.0,48.8,1.7,3.18,2.17,
2010-04-01 00:30:00+00:00,100,3.65,,11.4,2.95,,2.95,,,4.2,,,3.11,,315.0,,,,110.0,20.0,306.9,,271.4,50.9,,26.8,50.7,1.9,3.12,2.12,
2010-04-01 00:45:00+00:00,100,3.55,,11.16,2.95,,2.95,,,4.2,0.1,,3.08,,317.5,,,,110.0,20.0,303.9,,269.3,49.6,,26.0,49.6,1.7,3.14,2.09,
2010-04-01 01:00:00+00:00,100,3.55,,11.04,1.6,,1.6,,,4.2,0.1,,3.05,,266.0,,,,110.0,20.0,306.6,,263.3,61.5,,32.8,57.0,2.1,3.11,2.91,
2010-04-01 01:15:00+00:00,100,3.6,,11.25,1.7,,1.7,,,4.2,0.05,,3.01,,266.0,,,,110.0,20.0,303.3,,260.6,60.7,,32.4,55.7,2.2,3.13,3.05,
2010-04-01 01:30:00+00:00,100,3.5,,10.83,1.7,,1.7,,,4.1,0.05,,2.98,,257.5,,,,110.0,20.0,303.3,,255.2,68.2,,36.6,60.9,2.3,3.1,3.54,
2010-04-01 01:45:00+00:00,100,3.4,,10.18,2.8,,2.8,,,4.0,0.05,,2.95,,327.5,,,,110.0,20.0,319.1,,276.3,61.4,,32.3,61.1,2.0,2.99,2.13,
2010-04-01 02:00:00+00:00,100,3.35,,10.5,2.95,,2.95,,,3.9,,,2.93,,337.5,,,,110.0,20.0,305.9,,268.8,53.3,,27.8,54.2,1.7,3.13,1.96,
2010-04-01 02:15:00+00:00,100,3.55,,10.57,1.7,,1.7,,,4.1,,,2.93,,269.5,,,,110.0,20.0,319.4,,264.7,77.7,,41.5,70.9,2.7,2.98,3.15,
2010-04-01 02:30:00+00:00,100,3.35,,10.14,2.1,,2.1,,,4.0,0.1,,2.94,,285.0,,,,110.0,20.0,316.0,,265.2,72.3,,39.0,65.5,2.3,3.03,3.3,
2010-04-01 02:45:00+00:00,100,3.3,,10.02,1.7,,1.7,,,3.95,0.1,,2.98,,274.5,,,,110.0,20.0,312.9,,262.7,71.5,,38.2,66.7,2.2,3.04,2.84,
2010-04-01 03:00:00+00:00,100,3.35,,10.38,2.95,,2.95,,,3.9,,,3.04,,335.0,,,,110.0,20.0,306.4,,263.8,61.0,,32.2,60.9,1.9,3.1,2.12,
2010-04-01 03:15:00+00:00,100,3.4,,10.77,2.15,,2.15,,,4.0,0.05,,3.13,,282.0,,,,110.0,20.0,294.0,,253.2,58.1,,30.8,58.2,1.9,3.17,2.13,
2010-04-01 03:30:00+00:00,100,3.6,,11.5,1.75,,1.75,,,4.25,0.1,,3.24,,248.5,,,,110.0,20.0,287.0,,238.2,69.1,,37.1,63.4,2.5,3.19,3.12,
2010-04-01 03:45:00+00:00,70,3.75,,12.77,1.7,,1.7,,,4.35,0.05,,3.38,,232.5,,,,110.0,20.0,259.9,,223.4,51.4,,27.8,50.8,2.1,3.41,2.35,
2010-04-01 04:00:00+00:00,70,4.1,,14.32,2.65,,2.65,,,4.8,0.15,,3.54,,237.5,,,,110.0,20.0,244.1,,206.3,53.1,,28.9,53.8,2.6,3.49,2.2,
2010-04-01 04:15:00+00:00,70,4.45,,16.52,2.8,,2.8,,,5.05,0.05,,3.72,,227.5,,,,110.0,20.0,222.2,,189.4,44.5,,24.6,50.4,2.7,3.71,1.7,
2010-04-01 04:30:00+00:00,70,4.75,,16.92,3.1,,3.1,,,5.35,0.05,,3.91,,225.0,,,,110.0,20.0,225.9,,184.0,56.6,,31.4,62.8,3.9,3.56,1.83,
2010-04-01 04:45:00+00:00,70,5.4,,17.66,3.2,,3.2,,,5.95,,,4.1,,235.0,,,,110.0,20.0,252.4,,192.5,82.2,,45.5,86.1,7.2,3.27,2.1,
2010-04-01 05:00:00+00:00,70,5.8,,21.54,1.55,2.53,2.75,1.55,1.96,5.95,,,4.25,1.7,234.4,234.4,114.8,127.7,107.2,17.0,221.7,,191.9,38.7,,23.8,56.3,4.7,3.71,1.14,
2010-04-01 05:15:00+00:00,70,5.85,,22.11,1.6,,2.9,1.6,2.01,6.2,,,4.42,,229.0,229.0,111.0,,103.1,13.0,210.0,,182.2,35.4,,22.1,55.3,4.5,3.78,1.0,
2010-04-01 05:30:00+00:00,100,5.65,,21.36,1.5,2.93,2.95,1.5,2.21,6.1,,,4.58,,229.8,229.8,105.6,126.2,107.3,17.1,209.8,,178.8,40.0,,25.2,33.5,4.7,3.78,3.08,
2010-04-01 05:45:00+00:00,100,5.613,3.67,18.91,1.65,2.87,3.0,1.65,2.26,5.9,,,4.71,,215.3,229.8,105.6,123.9,104.7,14.5,222.0,165.5,171.4,56.5,28.0,37.0,78.4,6.4,3.38,1.53,0.13
2010-04-01 06:00:00+00:00,70,6.15,,20.78,3.7,,3.7,,,6.7,,,4.86,,245.0,,,,110.0,20.0,235.1,,181.4,67.2,,40.0,84.3,8.4,3.38,1.51,
2010-04-01 06:15:00+00:00,70,6.2,,22.24,3.9,,3.9,,,6.75,,,4.96,,251.0,,,,110.0,20.0,221.0,,176.8,50.7,,32.0,82.3,7.0,3.59,1.0,
