column,mean_availability
Time,100.0
halfNm,82.9980749922567
caleF2,82.9980749922567
CS,75.0
fmin,74.49904549350596
foF2p,64.02531547453877
hF,63.68599518460257
MUFD,63.68599518460257
foF2,63.68599518460257
fminF,63.68599518460257
MD,63.68599518460257
fxI,63.281813098600935
hmF2,62.248556244192535
B0,62.248556244192535
B1,62.248556244192535
yF2,62.248556244192535
TEC,61.25877059439626
yE,60.539590504905846
hmE,60.539590504905846
minEs,32.93029574499264
foEs,25.09916649784519
hEs,25.06350156391518
FF,21.089068980496027
hF2,11.75919978089784
foF1,7.266409121952772
foE,6.431166843844715
fminE,6.431166843844715
hE,6.428290304896378
hmF1,5.950528517410947
yF1,5.947336892235408
D1,5.943784746739529
FE,5.328583566331762
QF,0.2279068665884639
fbEs,0.07672453027534054
QE,0.016569698322825104
foP,0.005870611717740763
yF1_QD,0.0
yF2_QD,0.0
hF2_QD,0.0
hEs_QD,0.0
hF_QD,0.0
minEs_QD,0.0
hP,0.0
hP_QD,0.0
peEs,0.0
halfNm_QD,0.0
yE_QD,0.0
hmE_QD,0.0
hmF1_QD,0.0
scaleF2,0.0
hEa_QD,0.0
peEs_QD,0.0
hmF2_QD,0.0
foF1_QD,0.0
hEa,0.0
hE_QD,0.0
B1_QD,0.0
D1_QD,0.0
FE_QD,0.0
FF_QD,0.0
MD_QD,0.0
MUFD_QD,0.0
QE_QD,0.0
QF_QD,0.0
TEC_QD,0.0
TypeEs,0.0
caleF2_QD,0.0
fbEs_QD,0.0
fminE_QD,0.0
fminEs,0.0
fminF_QD,0.0
fmin_QD,0.0
foE_QD,0.0
foEa,0.0
foEa_QD,0.0
foEs_QD,0.0
B0_QD,0.0
foF2_QD,0.0
foF2p_QD,0.0
foP_QD,0.0
fxI_QD,0.0
zhalfNm,0.0
