Time,CS,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2025-01-01 00:00:00+00:00,100,3.605,9.72,1.78,,1.78,,,4.32,0.21,3.14,,322.5,322.5,,,110.0,20.0,366.2,313.1,76.4,39.1,79.2,2.7,2.7,1.8
2025-01-01 00:05:00+00:00,65,3.575,9.57,2.85,,2.85,,,4.22,0.1,3.16,,392.5,392.5,,,110.0,20.0,368.6,315.5,76.6,39.0,80.1,2.7,2.68,1.74
2025-01-01 00:10:00+00:00,100,3.535,9.15,1.89,,1.89,,,4.22,0.1,3.17,,337.5,337.5,,,110.0,20.0,383.6,321.0,89.7,46.3,90.8,3.1,2.59,1.95
2025-01-01 00:15:00+00:00,100,3.395,8.77,2.1,,2.1,,,4.15,0.28,3.18,,360.0,360.0,,,110.0,20.0,388.5,324.6,91.7,47.5,93.5,2.9,2.58,1.91
2025-01-01 00:20:00+00:00,100,3.275,8.55,2.85,,2.85,,,3.97,0.2,3.19,,445.0,445.0,,,110.0,20.0,381.4,322.4,84.7,43.3,88.9,2.5,2.61,1.73
2025-01-01 00:25:00+00:00,100,3.185,8.52,1.78,,1.78,,,3.8,0.17,3.2,,362.5,362.5,,,110.0,20.0,379.3,328.1,74.0,37.1,84.3,2.1,2.68,1.37
2025-01-01 00:30:00+00:00,100,3.185,8.55,2.28,,2.28,,,3.84,0.17,3.2,,397.5,397.5,,,110.0,20.0,378.3,325.6,75.9,37.8,84.9,2.1,2.68,1.44
2025-01-01 00:35:00+00:00,100,3.125,8.49,1.88,,1.88,,,3.65,0.1,3.21,,372.5,372.5,,,110.0,20.0,373.9,324.8,71.0,35.4,82.0,1.9,2.72,1.33
2025-01-01 00:40:00+00:00,100,3.185,8.66,1.89,,1.89,,,3.69,0.25,3.2,,370.0,370.0,,,110.0,20.0,375.5,327.1,70.1,35.1,81.1,2.0,2.72,1.32
2025-01-01 00:45:00+00:00,95,3.255,8.76,1.89,,1.89,,,3.94,0.35,3.2,,367.5,367.5,,,110.0,20.0,376.6,325.8,73.4,36.9,83.1,2.1,2.69,1.39
2025-01-01 00:50:00+00:00,70,3.2,8.86,2.4,,2.4,,,4.03,0.28,3.19,,392.5,392.5,,,110.0,20.0,360.2,312.0,69.3,34.4,76.4,1.9,2.77,1.49
2025-01-01 00:55:00+00:00,100,3.465,9.04,1.89,,1.89,,,4.18,0.25,3.18,,357.5,357.5,,,110.0,20.0,390.1,327.2,90.5,46.9,93.7,3.0,2.61,1.83
2025-01-01 01:00:00+00:00,95,3.535,9.09,1.92,,1.92,,,4.22,0.07,3.17,,355.0,355.0,,,110.0,20.0,390.4,328.0,89.9,46.4,93.3,3.1,2.57,1.8
2025-01-01 01:05:00+00:00,75,,,,,,,,,,4.26,,,,,,,,,,,,,,,
2025-01-01 01:10:00+00:00,100,3.535,9.11,1.82,,1.82,,,4.22,0.07,3.14,,345.0,345.0,,,110.0,20.0,388.2,324.4,91.6,47.4,93.5,3.1,2.58,1.91
2025-01-01 01:15:00+00:00,90,3.605,9.25,1.78,,1.78,,,4.22,0.07,3.12,,337.5,337.5,,,110.0,20.0,388.8,324.0,93.0,47.9,94.2,3.3,2.57,1.93
2025-01-01 01:20:00+00:00,100,3.25,9.25,2.5,,2.5,,,3.78,0.13,3.1,,372.5,372.5,,,110.0,20.0,344.6,299.9,64.3,32.4,69.1,1.9,2.85,1.61
2025-01-01 01:25:00+00:00,90,3.605,9.46,3.01,,3.01,,,4.22,0.07,3.07,,407.5,407.5,,,110.0,20.0,382.6,320.8,88.9,46.2,90.2,3.2,2.62,1.94
2025-01-01 01:30:00+00:00,95,3.535,9.62,1.82,,1.82,,,4.18,0.1,3.05,,320.0,320.0,,,110.0,20.0,360.5,306.5,77.6,40.0,79.0,2.7,2.72,1.91
2025-01-01 01:35:00+00:00,65,3.45,9.69,1.65,,1.65,,,3.97,,3.02,,305.0,305.0,,,110.0,20.0,345.6,299.4,66.6,33.9,70.2,2.2,2.81,1.71
2025-01-01 01:40:00+00:00,100,3.535,9.82,1.78,,1.78,,,4.26,0.1,2.99,,302.5,302.5,,,110.0,20.0,347.3,296.3,73.1,37.7,73.2,2.5,2.78,2.02
2025-01-01 01:45:00+00:00,95,3.535,9.86,1.92,,1.92,,,4.18,0.07,2.96,,302.5,302.5,,,110.0,20.0,345.9,293.5,75.0,39.0,73.2,2.6,2.79,2.19
