Time,CS,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2025-03-01 00:00:00+00:00,90,5.355,16.87,1.82,,1.82,,,6.18,0.14,3.2,,260.0,260.0,,,110.0,20.0,303.4,270.7,47.4,24.3,46.8,3.7,3.15,2.06
2025-03-01 00:05:00+00:00,90,5.225,17.0,1.8,,1.8,,,5.75,0.03,3.21,,257.5,257.5,,,110.0,20.0,294.0,268.6,37.4,18.6,39.8,2.8,3.25,1.58
2025-03-01 00:10:00+00:00,100,5.285,16.62,1.82,,1.82,,,5.93,0.1,3.22,,257.5,257.5,,,110.0,20.0,300.0,268.1,46.2,23.5,45.9,3.5,3.14,2.0
2025-03-01 00:15:00+00:00,100,5.285,16.57,1.75,,1.75,,,6.01,0.1,3.23,,257.5,257.5,,,110.0,20.0,302.8,267.2,51.3,26.4,49.2,3.9,3.13,2.29
2025-03-01 00:20:00+00:00,90,4.3,14.99,1.75,,1.75,,,4.88,0.03,3.23,,255.0,255.0,,,110.0,20.0,274.2,255.2,28.0,14.0,31.2,1.4,3.49,1.42
2025-03-01 00:25:00+00:00,100,5.25,16.33,1.82,,1.82,,,5.9,0.14,3.23,,255.0,255.0,,,110.0,20.0,300.8,266.8,49.2,25.0,48.2,3.6,3.11,2.08
2025-03-01 00:30:00+00:00,100,5.25,16.3,1.75,,1.75,,,5.93,0.17,3.23,,255.0,255.0,,,110.0,20.0,301.1,266.2,50.4,25.7,48.9,3.7,3.11,2.17
2025-03-01 00:35:00+00:00,100,4.825,16.04,1.8,,1.8,,,5.18,0.03,3.23,,252.5,252.5,,,110.0,20.0,284.4,260.4,35.2,17.6,37.6,2.2,3.32,1.59
2025-03-01 00:40:00+00:00,90,5.18,16.02,1.75,,1.75,,,6.01,0.28,3.22,,250.0,250.0,,,110.0,20.0,300.0,262.9,53.4,27.3,51.3,3.8,3.09,2.24
2025-03-01 00:45:00+00:00,95,5.145,15.68,1.82,,1.82,,,5.93,0.17,3.21,,250.0,250.0,,,110.0,20.0,311.1,262.5,69.1,36.4,59.0,4.9,3.05,3.45
2025-03-01 00:50:00+00:00,90,4.25,14.65,2.13,,2.13,,,4.8,0.03,3.2,,255.0,255.0,,,110.0,20.0,273.7,252.8,30.5,15.3,32.6,1.5,3.45,1.62
