Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FE,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2014-08-01 00:00:00+00:00,100,5.075,,16.59,2.2,,2.2,,,5.63,,3.39,,282.5,,,,110.0,20.0,296.3,270.4,38.0,19.4,39.9,2.7,3.27,1.68
2014-08-01 00:15:00+00:00,100,4.975,,16.25,2.17,,2.17,,,5.53,,3.33,,273.5,,,,110.0,20.0,293.9,264.6,42.4,22.1,42.3,2.9,3.27,2.04
2014-08-01 00:30:00+00:00,0,6.975,,19.84,2.7,,2.7,,,7.53,,3.26,,282.0,,,,110.0,20.0,346.0,288.5,81.9,43.6,74.9,10.9,2.84,3.08
2014-08-01 00:45:00+00:00,0,7.0,,19.82,2.15,,2.15,,,7.55,,3.2,,273.5,,,,110.0,20.0,349.7,287.1,89.1,47.2,81.8,11.8,2.83,2.99
2014-08-01 01:00:00+00:00,0,7.025,,20.06,2.47,,2.47,,,7.57,,3.14,,277.5,,,,110.0,20.0,343.7,286.3,81.9,43.4,75.3,11.0,2.86,2.96
2014-08-01 01:15:00+00:00,0,6.9,,19.9,2.42,,2.42,,,7.45,,3.09,,271.0,,,,110.0,20.0,338.5,281.7,80.9,43.0,74.0,10.5,2.88,3.06
2014-08-01 01:30:00+00:00,100,4.325,,14.7,2.4,,2.4,,,4.88,,3.05,,273.5,,,,110.0,20.0,279.4,254.5,36.3,18.6,37.7,1.9,3.4,1.76
2014-08-01 01:45:00+00:00,0,6.65,,19.09,2.63,,2.63,,,7.2,,3.02,,271.0,,,,110.0,20.0,341.0,280.7,85.7,45.9,77.0,10.4,2.87,3.4
2014-08-01 02:00:00+00:00,100,4.475,,15.33,3.28,,3.28,,,5.03,,3.01,,286.0,,,,110.0,20.0,274.5,250.4,35.1,17.8,37.3,1.9,3.43,1.62
2014-08-01 02:15:00+00:00,100,4.375,,14.7,2.47,,2.47,,,4.93,,3.02,,278.5,,,,110.0,20.0,280.9,253.8,39.4,20.2,42.1,2.1,3.36,1.62
2014-08-01 02:30:00+00:00,100,4.55,,16.04,2.78,,2.78,,,5.1,,3.05,,275.0,,,,110.0,20.0,265.9,243.7,32.3,16.1,37.4,1.8,3.53,1.25
2014-08-01 02:45:00+00:00,0,6.3,,18.18,2.88,,2.88,,,6.85,,3.1,,268.5,,,,110.0,20.0,330.9,269.1,87.9,47.1,80.4,9.6,2.89,3.11
