Time,CS,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,FE,foF2p,minEs,hF,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2014-05-01 00:00:00+00:00,100,5.175,14.35,2.1,,2.1,,,5.72,,,3.61,,313.5,,,110.0,20.0,362.7,305.8,82.0,43.1,79.5,6.0,2.77,2.3
2014-05-01 00:15:00+00:00,100,5.2,14.53,2.15,,2.15,,,5.75,,,3.55,,306.0,,,110.0,20.0,357.8,301.1,81.5,43.0,78.1,6.0,2.79,2.43
2014-05-01 00:30:00+00:00,100,5.25,14.9,2.1,,2.1,,,5.8,,,3.49,,298.5,,,110.0,20.0,350.0,295.3,78.4,41.4,74.8,5.9,2.84,2.48
2014-05-01 00:45:00+00:00,100,4.925,13.96,1.75,,1.75,,,5.47,,,3.44,,288.5,,,110.0,20.0,346.8,290.2,81.0,42.8,76.7,5.4,2.84,2.57
2014-05-01 01:00:00+00:00,100,5.175,14.25,1.8,,1.8,,,5.72,,,3.38,,300.0,,,110.0,20.0,362.0,300.4,88.3,46.7,83.9,6.5,2.75,2.53
2014-05-01 01:15:00+00:00,100,5.025,13.45,2.55,,2.55,,,5.57,,,3.34,,322.5,,,110.0,20.0,376.1,308.9,96.3,51.1,91.0,6.7,2.68,2.6
2014-05-01 01:30:00+00:00,100,4.725,12.81,2.22,,2.22,,,5.28,,,3.31,,323.5,,,110.0,20.0,365.8,305.9,86.4,45.2,85.2,5.3,2.71,2.14
2014-05-01 01:45:00+00:00,100,3.85,11.68,2.6,,2.6,,,4.43,0.03,,3.29,,335.0,,,110.0,20.0,321.2,281.9,57.0,28.9,61.9,2.3,3.03,1.53
2014-05-01 02:00:00+00:00,100,5.1,13.51,1.73,,1.73,,,5.65,,,3.29,,313.5,,,110.0,20.0,382.1,312.8,99.6,52.6,95.8,7.1,2.65,2.39
2014-05-01 02:15:00+00:00,100,3.75,11.35,2.6,,2.6,,,4.3,,,3.31,,332.5,,,110.0,20.0,317.9,276.0,60.4,30.9,65.0,2.3,3.03,1.6
2014-05-01 02:30:00+00:00,100,4.85,12.73,2.13,,2.13,,,5.4,,,3.36,,331.0,,,110.0,20.0,380.8,310.7,100.8,53.0,100.7,6.6,2.63,2.09
2014-05-01 02:45:00+00:00,100,5.1,13.89,2.55,,2.55,,,5.65,,,3.42,,333.5,,,110.0,20.0,362.8,298.9,91.7,48.1,94.5,6.6,2.72,1.9
2014-05-01 03:00:00+00:00,70,5.15,14.18,2.47,,2.47,,,5.7,,,3.52,,321.0,,,110.0,20.0,352.5,287.6,92.5,49.0,96.3,6.9,2.75,1.89
2014-05-01 03:15:00+00:00,70,5.475,15.56,2.8,,2.8,,,6.03,,,3.63,,318.5,,,110.0,20.0,333.5,272.1,86.7,46.1,95.1,7.5,2.84,1.65
2014-05-01 03:30:00+00:00,70,6.2,18.76,2.6,,2.6,,,6.78,0.03,,3.77,,282.5,,,110.0,20.0,301.2,250.1,72.3,39.5,80.6,8.3,3.03,1.63
2014-05-01 03:45:00+00:00,100,7.25,22.66,2.08,,2.08,,,7.8,,,3.92,,253.5,,,110.0,20.0,286.1,234.2,73.1,39.8,73.2,11.2,3.13,2.23
2014-05-01 04:00:00+00:00,70,8.025,26.25,2.65,,2.65,,,8.57,,,4.08,,242.5,,,110.0,20.0,265.6,219.1,65.4,35.8,69.0,12.5,3.27,1.93
2014-05-01 04:15:00+00:00,70,8.0,27.86,2.95,,2.95,,,8.55,,,4.25,,237.5,,,110.0,20.0,243.7,209.1,48.2,27.2,56.7,9.7,3.48,1.5
2014-05-01 04:30:00+00:00,100,6.625,25.71,1.88,2.47,2.88,1.88,2.26,7.18,,0.05,4.42,2.28,230.0,117.5,122.0,110.3,20.0,212.5,189.3,29.0,18.2,45.4,4.9,3.88,1.0
2014-05-01 04:45:00+00:00,70,8.35,29.1,2.1,2.6,3.4,2.1,2.26,8.9,,0.03,4.58,2.28,225.0,120.0,119.0,102.9,12.7,233.8,190.7,59.8,33.9,65.4,12.9,3.48,1.86
2014-05-01 05:00:00+00:00,70,8.875,28.66,1.83,2.2,3.15,1.83,2.2,9.48,0.05,0.05,4.73,1.83,225.0,110.0,110.0,102.2,12.0,260.2,204.9,76.7,42.4,80.5,18.0,3.23,1.98
2014-05-01 05:15:00+00:00,70,8.425,29.32,4.0,,4.0,,,8.98,,,4.87,,242.5,,,110.0,20.0,236.0,195.6,54.3,31.5,68.6,12.4,3.48,1.35
2014-05-01 05:30:00+00:00,100,8.238,28.77,3.13,,3.13,,,8.77,,,4.98,,221.0,,,110.0,20.0,242.2,206.5,48.0,28.1,52.9,10.5,3.5,1.95
2014-05-01 05:45:00+00:00,70,8.425,27.81,4.43,,4.43,,,9.1,0.13,,5.08,,245.0,,,110.0,20.0,247.4,191.8,74.4,42.2,82.0,16.3,3.3,1.81
2014-05-01 06:00:00+00:00,0,8.4,28.06,3.05,3.75,4.25,,,8.98,0.03,,,3.05,247.5,,111.0,110.0,20.0,,,,,,,3.34,
2014-05-01 06:15:00+00:00,0,8.15,27.64,3.17,3.95,4.05,,,8.7,,,,3.17,235.0,,109.0,110.0,20.0,,,,,,,3.39,
2014-05-01 06:30:00+00:00,50,7.775,26.08,3.15,4.38,5.75,,,8.32,,,5.28,3.15,245.0,,104.0,110.0,20.0,233.6,169.6,85.5,47.4,93.4,15.2,3.36,1.9
2014-05-01 06:45:00+00:00,0,7.55,25.34,3.22,3.92,3.88,,,8.1,,,,3.22,216.0,,107.0,110.0,20.0,,,,,,,3.36,
2014-05-01 07:00:00+00:00,70,7.25,24.23,3.3,3.95,5.1,,,7.8,,,5.36,3.3,260.0,,107.0,110.0,20.0,229.2,166.4,76.8,44.0,96.7,12.5,3.34,1.42
2014-05-01 07:15:00+00:00,50,8.4,26.7,4.68,6.1,5.7,,,8.95,,,5.4,4.68,293.5,,99.0,110.0,20.0,251.7,184.6,82.0,46.5,104.9,17.9,3.18,1.26
2014-05-01 07:30:00+00:00,50,8.375,26.73,4.57,6.35,7.43,,,8.95,0.03,,5.45,4.57,310.0,,101.0,110.0,20.0,250.9,174.3,103.6,57.2,111.6,21.1,3.19,1.99
2014-05-01 07:45:00+00:00,50,8.325,25.23,3.35,6.0,7.03,,,8.88,,,5.51,3.35,313.5,,104.0,110.0,20.0,273.7,182.7,123.1,68.1,133.2,24.8,3.03,2.0
2014-05-01 08:00:00+00:00,50,8.15,25.77,4.0,4.7,6.13,,,8.73,0.03,,5.59,4.0,292.5,,102.0,110.0,20.0,245.6,171.9,92.0,51.3,108.8,18.3,3.16,1.49
2014-05-01 08:15:00+00:00,70,7.775,25.43,3.47,4.22,5.53,,,8.32,,,5.67,3.47,276.0,,106.0,110.0,20.0,236.1,168.0,82.9,47.6,101.0,15.5,3.27,1.46
2014-05-01 08:30:00+00:00,70,8.2,24.58,6.03,,6.03,,,8.75,,,5.77,,301.0,,,110.0,20.0,265.5,179.2,108.6,60.8,120.9,21.8,3.0,1.64
2014-05-01 08:45:00+00:00,70,7.9,24.33,3.67,4.18,4.95,,,8.45,,,5.87,3.67,276.0,,101.0,110.0,20.0,262.4,182.2,102.1,59.4,108.4,19.8,3.08,1.94
2014-05-01 09:00:00+00:00,50,8.775,24.94,3.4,4.97,6.53,,,9.32,,,5.99,3.4,342.0,,103.0,110.0,20.0,287.5,190.8,122.7,68.2,132.0,27.9,2.84,1.67
2014-05-01 09:15:00+00:00,50,8.875,25.98,3.72,4.32,6.22,,,9.43,,,6.1,3.72,311.0,,103.0,110.0,20.0,277.9,189.4,111.6,62.5,121.1,26.3,2.93,1.64
2014-05-01 09:30:00+00:00,70,9.175,26.01,6.1,,6.1,,,9.75,0.03,,6.2,,306.0,,,110.0,20.0,297.2,198.0,130.2,72.7,136.1,32.4,2.84,1.9
2014-05-01 09:45:00+00:00,70,9.15,27.27,5.6,,5.6,,,9.7,,,6.3,,316.0,,,110.0,20.0,278.7,200.6,97.0,56.6,103.9,25.7,2.98,1.65
2014-05-01 10:00:00+00:00,100,9.375,27.78,4.65,,4.65,,,9.93,,,6.39,,230.0,,,110.0,20.0,289.9,215.1,98.2,58.4,99.9,27.8,2.96,2.08
2014-05-01 10:15:00+00:00,50,9.525,28.46,7.05,,7.05,,,10.07,,,6.46,,320.0,,,110.0,20.0,269.4,185.5,106.7,58.6,118.1,28.4,2.99,1.56
2014-05-01 10:30:00+00:00,70,9.325,29.34,6.15,,6.15,,,9.88,,,6.52,,300.0,,,110.0,20.0,256.0,186.0,85.8,48.9,103.7,23.1,3.15,1.34
2014-05-01 10:45:00+00:00,70,9.325,29.09,6.2,,6.2,,,9.88,,,6.55,,285.0,,,110.0,20.0,257.2,183.5,93.6,52.8,103.2,24.7,3.12,1.63
2014-05-01 11:00:00+00:00,70,9.15,27.08,6.2,,6.2,,,9.7,,,6.57,,287.5,,,110.0,20.0,278.2,188.8,117.7,65.7,124.6,29.1,2.96,1.89
