Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FE,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2014-07-01 00:00:00+00:00,100,6.275,,17.78,3.45,,3.45,,,6.82,,3.52,,297.5,,,,110.0,20.0,352.2,294.6,82.3,44.1,75.2,8.9,2.83,3.11
2014-07-01 00:15:00+00:00,100,4.3,,14.34,2.45,3.58,3.3,,,4.85,,3.44,2.45,307.5,,,92.0,110.0,20.0,286.3,260.4,37.7,19.0,40.5,1.9,3.34,1.56
2014-07-01 00:30:00+00:00,100,4.925,,15.69,3.28,,3.28,,,5.47,,3.38,,312.5,,,,110.0,20.0,305.2,273.2,46.8,23.6,49.7,3.1,3.19,1.6
2014-07-01 00:45:00+00:00,100,4.975,,15.38,2.45,3.0,3.45,,,5.53,,3.33,2.45,318.5,,,95.0,110.0,20.0,312.4,276.3,52.6,26.9,54.2,3.5,3.09,1.79
2014-07-01 01:00:00+00:00,100,4.9,,15.3,2.75,,2.75,,,5.45,,3.3,,306.0,,,,110.0,20.0,311.2,276.5,50.6,25.8,53.2,3.3,3.12,1.68
2014-07-01 01:15:00+00:00,100,6.175,,16.98,3.1,,3.1,,,6.72,,3.28,,312.5,,,,110.0,20.0,365.0,303.2,88.8,47.0,84.0,9.3,2.75,2.57
2014-07-01 01:30:00+00:00,100,4.525,,14.56,2.47,,2.47,,,5.07,,3.27,,295.0,,,,110.0,20.0,299.5,267.7,46.4,23.6,49.3,2.6,3.22,1.62
2014-07-01 01:45:00+00:00,100,4.825,,14.57,2.9,,2.9,,,5.38,,3.27,,309.5,,,,110.0,20.0,318.1,276.7,60.0,30.8,62.3,3.8,3.02,1.77
2014-07-01 02:00:00+00:00,100,4.9,,15.01,2.8,,2.8,,,5.45,,3.28,,305.0,,,,110.0,20.0,313.3,272.2,59.5,30.6,62.4,3.9,3.06,1.74
2014-07-01 02:15:00+00:00,100,4.8,,15.41,2.13,,2.13,,,5.35,,3.3,,286.0,,,,110.0,20.0,295.6,263.9,46.0,23.8,51.5,3.0,3.21,1.45
2014-07-01 02:30:00+00:00,100,6.025,,17.3,2.83,,2.83,,,6.57,,3.32,,296.0,,,,110.0,20.0,334.8,276.7,83.1,43.9,83.0,8.4,2.87,2.12
2014-07-01 02:45:00+00:00,70,5.95,,17.17,1.75,,1.75,,,6.5,,3.36,,282.5,,,,110.0,20.0,329.5,272.0,82.1,44.3,80.9,8.3,2.89,2.3
2014-07-01 03:00:00+00:00,70,5.85,,16.77,2.1,,2.1,,,6.4,,3.41,,277.5,,,,110.0,20.0,324.2,259.4,92.1,49.9,92.4,9.1,2.87,2.19
2014-07-01 03:15:00+00:00,70,5.25,,16.5,2.78,,2.78,,,5.8,,3.48,,282.5,,,,110.0,20.0,279.4,229.7,67.6,37.2,83.5,5.7,3.14,1.32
2014-07-01 03:30:00+00:00,70,6.0,,17.04,3.2,,3.2,,,6.55,,3.57,,283.5,,,,110.0,20.0,314.6,235.3,109.6,59.8,114.5,11.5,2.84,1.97
2014-07-01 03:45:00+00:00,100,4.925,,14.51,2.58,,2.58,,,5.47,,3.67,,231.0,,,,110.0,20.0,295.1,198.0,134.1,72.2,147.1,9.2,2.94,2.0
2014-07-01 04:00:00+00:00,50,6.2,,19.01,4.07,,4.07,,,6.75,,3.79,,342.0,,,,110.0,20.0,281.3,218.4,77.4,43.1,112.0,9.4,3.07,1.0
2014-07-01 04:15:00+00:00,50,6.15,,20.54,2.5,2.9,3.83,,,6.7,,3.92,2.5,311.0,,,118.0,110.0,20.0,255.7,207.2,56.6,33.8,88.3,7.4,3.34,1.0
2014-07-01 04:30:00+00:00,70,6.675,,21.8,2.15,3.03,4.07,2.15,2.36,7.22,0.05,4.06,2.38,302.0,,117.5,120.0,102.9,12.6,253.0,198.7,63.7,38.8,97.1,9.9,3.27,1.0
2014-07-01 04:45:00+00:00,50,7.3,,23.13,2.85,3.3,4.05,,,7.85,,4.21,2.85,288.5,,,116.0,110.0,20.0,266.7,210.1,73.6,42.8,88.8,12.7,3.17,1.46
2014-07-01 05:00:00+00:00,100,6.525,,23.53,2.55,3.22,3.42,2.55,2.68,7.07,0.08,4.36,2.7,225.0,,117.5,117.0,100.7,10.5,231.5,193.5,37.0,28.0,70.1,7.2,3.61,1.0
2014-07-01 05:15:00+00:00,70,6.75,,24.58,4.22,,4.22,,,7.3,,4.51,,278.5,,,,110.0,20.0,226.1,184.8,44.9,28.4,76.6,7.6,3.64,1.0
2014-07-01 05:30:00+00:00,50,7.125,,25.44,3.22,3.8,4.2,,,7.7,,4.64,3.22,274.5,,,111.0,110.0,20.0,230.4,191.5,43.4,28.2,73.5,8.4,3.57,1.0
2014-07-01 05:45:00+00:00,50,7.6,,25.78,3.33,4.07,4.4,,,8.15,,4.76,3.33,273.5,,,111.0,110.0,20.0,240.0,191.6,59.1,35.8,87.1,11.6,3.39,1.06
2014-07-01 06:00:00+00:00,70,7.725,,24.33,5.32,,5.32,,,8.27,,4.86,,270.0,,,,110.0,20.0,254.7,183.0,93.1,51.9,103.6,16.6,3.15,1.71
2014-07-01 06:15:00+00:00,50,8.075,,26.1,3.63,4.3,6.9,,,8.63,,4.94,3.63,329.5,,,106.0,110.0,20.0,234.5,171.3,79.5,42.9,105.0,15.2,3.23,1.24
2014-07-01 06:30:00+00:00,50,7.175,,22.22,3.63,5.45,5.72,,,7.72,,5.0,3.63,282.5,,,106.0,110.0,20.0,268.1,177.4,123.7,68.7,134.4,18.5,3.1,2.09
2014-07-01 06:45:00+00:00,50,7.475,,21.52,5.03,6.13,5.82,,,8.02,,5.05,5.03,346.0,,,105.0,110.0,20.0,278.9,185.0,118.1,65.9,131.7,19.6,2.88,1.63
2014-07-01 07:00:00+00:00,50,7.175,,22.67,5.4,6.43,5.4,,,7.75,,5.07,5.82,321.0,,,104.0,110.0,20.0,246.3,171.7,86.4,49.9,117.1,14.0,3.16,1.21
2014-07-01 07:15:00+00:00,50,7.525,,22.21,6.53,,6.53,,,8.07,,5.09,,344.5,,,,110.0,20.0,267.6,176.5,119.8,66.5,131.3,19.8,2.95,1.87
2014-07-01 07:30:00+00:00,70,7.05,,22.53,5.35,,5.35,,,7.6,,5.11,,314.5,,,,110.0,20.0,237.9,165.0,82.3,48.0,120.3,13.0,3.19,1.12
2014-07-01 07:45:00+00:00,70,7.15,,20.36,5.4,,5.4,,,7.7,,5.13,,310.0,,,,110.0,20.0,284.0,179.4,133.5,75.2,147.3,20.3,2.85,1.8
2014-07-01 08:00:00+00:00,70,7.2,,19.26,6.03,,6.03,,,7.75,,5.16,,406.0,,,,110.0,20.0,294.3,180.9,140.4,78.7,159.0,21.6,2.67,1.61
2014-07-01 08:30:00+00:00,50,7.7,,21.97,6.78,,6.78,,,8.25,,5.24,,385.0,,,,110.0,20.0,269.0,174.1,120.8,67.2,136.7,21.0,2.85,1.67
2014-07-01 08:45:00+00:00,50,7.625,,23.08,5.32,6.07,6.25,,,8.18,,5.3,5.32,336.0,,,106.0,110.0,20.0,252.7,167.5,104.5,58.7,124.0,18.2,3.03,1.5
2014-07-01 09:00:00+00:00,50,7.85,,22.58,6.53,,6.53,,,8.4,,5.36,,356.0,,,,110.0,20.0,271.4,174.8,121.9,67.9,136.9,22.1,2.88,1.66
2014-07-01 09:15:00+00:00,70,8.1,,22.9,6.2,,6.2,,,8.65,,5.43,,343.5,,,,110.0,20.0,286.2,184.1,128.6,72.2,140.3,25.1,2.83,1.71
2014-07-01 09:30:00+00:00,50,8.075,,23.3,6.55,,6.55,,,8.63,,5.51,,348.5,,,,110.0,20.0,272.8,176.0,122.5,68.2,136.3,23.5,2.88,1.68
2014-07-01 09:45:00+00:00,50,8.15,,23.61,6.53,,6.53,,,8.7,,5.58,,348.5,,,,110.0,20.0,271.7,176.3,119.7,66.7,133.9,23.5,2.9,1.63
2014-07-01 10:00:00+00:00,50,8.3,,24.07,6.53,,6.53,,,8.85,,5.64,,346.0,,,,110.0,20.0,273.2,178.3,118.3,66.0,132.3,24.2,2.9,1.6
2014-07-01 10:15:00+00:00,50,8.0,,24.23,6.53,,6.53,,,8.55,,5.69,,333.5,,,,110.0,20.0,252.1,167.0,105.6,58.8,123.6,20.0,3.03,1.53
2014-07-01 10:30:00+00:00,50,8.1,,24.69,6.82,,6.82,,,8.65,,5.72,,360.5,,,,110.0,20.0,250.9,167.5,100.7,55.9,129.8,19.6,3.05,1.29
2014-07-01 10:45:00+00:00,50,8.05,,24.34,6.82,,6.82,,,8.6,,5.75,,336.0,,,,110.0,20.0,252.8,167.5,108.7,60.4,123.2,20.7,3.02,1.67
2014-07-01 11:00:00+00:00,50,8.1,,22.52,6.7,,6.7,,,8.65,,5.75,,362.5,,,,110.0,20.0,292.8,183.6,141.5,78.8,153.5,27.1,2.78,1.83
2014-07-01 11:15:00+00:00,50,7.95,,23.31,6.82,,6.82,,,8.5,,5.74,,365.0,,,,110.0,20.0,257.7,168.9,111.7,61.9,129.2,20.7,2.93,1.58
2014-07-01 11:30:00+00:00,50,8.2,,23.73,7.47,,7.47,,,8.75,,5.72,,382.0,,,,110.0,20.0,267.9,174.8,122.5,67.9,134.7,24.0,2.89,1.85
2014-07-01 11:45:00+00:00,50,8.075,,24.05,6.7,,6.7,,,8.63,,5.69,,346.0,,,,110.0,20.0,258.4,171.3,108.6,60.4,125.9,20.9,2.98,1.54
2014-07-01 12:00:00+00:00,50,8.225,,23.63,6.63,,6.63,,,8.77,,5.66,,340.0,,,,110.0,20.0,279.8,180.7,128.3,71.3,139.6,25.4,2.87,1.8
