Time,CS,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,fbEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2014-12-08 11:20:35+00:00,85,9.975,33.75,2.0,,4.1,2.0,2.48,10.0,0.08,7.36,,,220.0,220.0,98.0,,95.3,5.2,235.5,191.1,59.7,33.2,80.2,18.3,3.38,1.11
2014-12-08 11:25:39+00:00,90,9.725,32.64,2.1,2.55,3.4,2.1,2.26,10.5,0.13,7.35,2.28,,205.0,205.0,99.1,97.5,93.5,3.4,239.1,190.8,66.2,36.2,78.3,18.6,3.36,1.46
2014-12-08 11:33:35+00:00,65,7.0,27.79,5.25,,5.25,,,7.53,0.03,7.34,,,220.0,220.0,,,110.0,20.0,186.8,150.0,41.1,23.7,64.0,6.6,3.97,1.04
2014-12-08 11:39:56+00:00,75,,,,,,,,,,7.32,,,,,,,,,,,,,,,,
2014-12-08 11:47:19+00:00,95,9.85,33.52,3.33,,3.33,,,10.63,0.1,7.32,,,195.0,195.0,,,110.0,20.0,241.8,200.5,53.9,30.3,69.0,16.6,3.4,1.28
2014-12-08 12:00:00+00:00,85,9.85,31.55,3.6,,3.6,,,10.52,0.1,7.29,,,222.5,222.5,,,110.0,20.0,254.6,197.4,75.7,41.0,86.0,21.7,3.2,1.59
2014-12-08 12:07:30+00:00,100,9.125,31.17,4.53,,4.53,,,9.63,0.05,7.26,,,225.0,225.0,,,110.0,20.0,231.9,186.9,56.0,31.5,81.0,14.8,3.42,1.03
2014-12-08 12:15:00+00:00,65,9.5,31.72,3.47,,3.47,,,10.52,0.1,7.23,,,222.5,222.5,,,110.0,20.0,247.9,200.1,63.4,35.4,76.8,17.7,3.34,1.45
2014-12-08 12:21:55+00:00,75,,,,,,,,,,7.17,,,,,,,,,,,,,,,,
2014-12-08 12:37:30+00:00,85,10.175,32.43,4.13,,4.13,,,10.8,0.05,7.09,,,232.5,232.5,,,110.0,20.0,260.0,206.9,71.3,39.4,88.8,22.4,3.19,1.34
2014-12-08 12:45:00+00:00,95,10.175,32.31,3.75,,3.75,,,10.77,0.13,7.04,,,232.5,232.5,,,110.0,20.0,260.8,207.2,71.6,38.9,86.4,22.1,3.17,1.4
2014-12-08 12:52:30+00:00,70,10.15,32.62,3.83,,3.83,,,10.43,0.05,6.98,,,227.5,227.5,,,110.0,20.0,256.5,207.1,64.9,35.2,83.4,20.2,3.21,1.21
2014-12-08 13:00:00+00:00,95,10.3,33.21,5.28,,5.28,,,10.9,0.05,6.91,,,242.5,242.5,,,110.0,20.0,255.4,205.1,66.3,36.1,89.5,21.3,3.22,1.09
2014-12-08 13:07:30+00:00,85,10.7,34.16,4.13,,4.13,,,11.25,0.05,6.84,,,237.5,237.5,,,110.0,20.0,262.3,214.3,64.7,35.3,83.8,22.5,3.19,1.17
