column,mean_availability
foF2p,100.0
Time,100.0
foF2,98.47073406056292
fmin,98.47073406056292
fminF,98.47073406056292
hF,98.47073406056292
hF2,98.47073406056292
yE,98.45081085758586
hmE,98.45081085758586
MD,98.43620018029814
MUFD,98.43620018029814
fxI,98.25793415878785
FF,97.42062624083282
TEC,96.58723768624746
caleF2,96.58723768624746
B1,96.58723768624746
halfNm,96.58723768624746
hmF2,96.58723768624746
B0,96.58304850271934
yF2,96.58304850271934
fminE,13.850446999447712
foE,13.850446999447712
hE,13.817917128759193
foEs,11.548556885859696
minEs,11.548556885859696
hEs,11.548556885859696
fbEs,2.386792952181249
foF1,1.1832592374884248
hmF1,1.1238249588172506
yF1,1.0997125723120689
D1,1.0246840188166277
QF,0.0274744410050561
hEa,0.0
foEa,0.0
QE,0.0
FE,0.0
foP,0.0
peEs,0.0
hP,0.0
