Time,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,fbEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2021-07-01 00:00:00+00:00,5.025,,14.79,1.7,2.08,1.85,,,5.72,0.15,5.03,1.7,1.85,265.0,265.0,,102.5,110.0,20.0,332.6,,269.9,88.7,,47.8,73.1,6.1,2.94,4.08,
2021-07-01 00:05:00+00:00,5.05,,14.73,1.6,1.8,2.08,,,5.6,0.25,5.0,1.6,,272.5,272.5,,100.0,110.0,20.0,326.6,,275.4,73.0,,38.3,67.0,5.1,2.92,2.71,
2021-07-01 00:10:00+00:00,4.975,,14.68,1.55,3.17,1.65,,,5.75,0.13,4.97,1.55,1.65,202.5,202.5,,100.0,110.0,20.0,,,,,,,,,2.95,,
2021-07-01 00:15:00+00:00,5.125,,15.07,1.58,3.08,3.0,,,5.78,0.22,4.95,1.58,3.0,300.0,300.0,,100.0,110.0,20.0,325.5,,283.9,60.3,,30.7,62.1,4.3,2.94,1.81,
2021-07-01 00:20:00+00:00,5.025,,14.87,1.48,3.03,2.95,,,5.7,0.13,4.92,1.48,2.95,297.5,297.5,,100.0,110.0,20.0,332.3,,283.2,70.4,,37.4,67.2,4.9,2.96,2.48,
2021-07-01 00:25:00+00:00,4.9,,14.72,1.63,2.92,2.13,,,5.57,0.08,4.89,1.63,2.13,300.0,300.0,,100.0,110.0,20.0,323.8,,280.1,63.0,,33.4,61.7,4.2,3.0,2.26,
2021-07-01 00:30:00+00:00,4.875,,14.48,1.58,3.28,2.72,,,5.53,0.15,4.87,1.58,2.72,292.5,292.5,,100.0,110.0,20.0,325.5,,279.6,65.9,,34.6,64.4,4.3,2.97,2.22,
2021-07-01 00:35:00+00:00,4.25,,14.03,1.52,4.0,2.95,,,5.65,0.15,4.84,1.52,2.95,300.0,300.0,,97.5,110.0,20.0,291.5,,262.2,42.3,,21.5,45.1,2.1,3.3,1.64,
2021-07-01 00:40:00+00:00,4.725,,16.34,0.98,3.78,2.53,,,5.4,0.08,4.82,0.98,2.53,102.5,102.5,,97.5,110.0,20.0,,,,,,,,,3.46,,
2021-07-01 00:45:00+00:00,4.75,,14.19,1.63,4.25,3.78,,,5.22,0.1,4.8,1.63,3.78,342.5,342.5,,97.5,110.0,20.0,330.1,,283.5,67.1,,35.1,67.0,4.2,2.99,2.07,
2021-07-01 00:50:00+00:00,4.7,,13.87,1.52,4.03,2.63,,,5.3,0.13,4.78,1.52,2.63,202.5,202.5,,100.0,110.0,20.0,,,,,,,,,2.95,,
2021-07-01 00:55:00+00:00,4.575,,13.83,1.5,3.7,3.72,,,5.15,0.1,4.76,1.5,,337.5,337.5,,100.0,110.0,20.0,315.7,,275.8,57.5,,29.5,59.1,3.3,3.02,1.84,
2021-07-01 01:00:00+00:00,4.725,,16.47,1.67,4.2,3.15,,,5.13,,4.74,1.67,3.15,202.5,202.5,,97.5,110.0,20.0,,,,,,,,,3.48,,
2021-07-01 01:05:00+00:00,4.6,,16.11,1.83,3.33,2.97,,,5.47,0.17,4.72,1.83,2.97,100.0,100.0,,100.0,110.0,20.0,,,,,,,,,3.5,,
2021-07-01 01:10:00+00:00,4.6,,13.52,1.95,3.55,1.95,,,5.35,0.17,4.7,2.42,,305.0,305.0,,100.0,110.0,20.0,331.0,,282.9,69.1,,36.6,68.4,4.1,2.94,2.19,
2021-07-01 01:15:00+00:00,4.425,,13.44,1.73,3.35,3.47,,,5.13,0.15,4.69,1.73,,330.0,330.0,,97.5,110.0,20.0,314.6,,274.2,58.2,,29.9,60.0,3.1,3.04,1.83,
2021-07-01 01:20:00+00:00,4.425,,13.07,1.63,3.08,1.65,,,5.03,0.05,4.67,1.63,1.65,200.0,200.0,,97.5,110.0,20.0,,,,,,,,,2.95,,
2021-07-01 01:25:00+00:00,4.3,,13.24,1.13,3.05,2.78,,,5.07,0.13,4.66,1.13,2.78,297.5,297.5,,97.5,110.0,20.0,312.4,,269.7,61.2,,32.3,61.0,3.1,3.08,2.13,
2021-07-01 01:30:00+00:00,4.3,,12.94,1.65,2.47,2.4,,,4.95,0.2,4.64,1.65,2.4,287.5,287.5,,100.0,110.0,20.0,319.8,,270.7,70.1,,37.4,66.3,3.6,3.01,2.58,
2021-07-01 01:35:00+00:00,3.625,,12.46,1.8,2.22,1.8,,,4.28,0.1,4.63,1.98,,270.0,270.0,,100.0,110.0,20.0,278.5,,255.2,33.8,,17.0,40.2,1.3,3.44,1.23,
2021-07-01 01:40:00+00:00,3.875,,12.57,1.63,2.08,2.15,,,4.85,0.15,4.62,1.63,,277.5,277.5,,97.5,110.0,20.0,291.4,,257.5,48.6,,25.3,50.6,2.0,3.24,1.82,
2021-07-01 01:45:00+00:00,4.175,,12.7,1.08,2.72,1.75,,,4.82,0.1,4.61,1.08,1.75,197.5,197.5,,97.5,110.0,20.0,,,,,,,,,3.04,,
2021-07-01 01:50:00+00:00,4.05,,12.25,1.27,2.78,2.67,,,4.8,0.17,4.61,1.27,2.67,287.5,287.5,,97.5,110.0,20.0,321.4,,266.2,78.9,,43.3,65.4,3.7,3.02,4.12,
2021-07-01 01:55:00+00:00,3.975,,12.15,1.55,2.4,2.03,,,4.63,0.08,4.6,1.55,2.03,265.0,265.0,,97.5,110.0,20.0,309.4,,257.2,74.2,,40.1,63.7,3.3,3.06,3.58,
2021-07-01 02:00:00+00:00,3.925,,11.95,1.25,2.25,1.67,,,4.55,0.05,4.59,1.25,1.67,255.0,255.0,,100.0,110.0,20.0,310.2,,254.9,78.6,,42.2,68.6,3.4,3.04,3.36,
2021-07-01 02:05:00+00:00,3.275,,11.19,1.65,2.5,1.92,,,4.5,0.05,4.59,1.65,1.92,270.0,270.0,,97.5,110.0,20.0,272.3,,244.8,38.8,,20.1,45.0,1.2,3.42,1.39,
2021-07-01 02:10:00+00:00,3.75,,11.22,1.5,2.4,2.38,,,4.63,0.2,4.59,1.5,2.38,290.0,290.0,,97.5,110.0,20.0,311.5,,260.5,72.3,,38.3,71.9,2.8,2.99,2.18,
2021-07-01 02:15:00+00:00,3.75,,10.93,2.4,,2.4,,,4.85,0.52,4.59,,,307.5,307.5,,,110.0,20.0,322.6,,265.6,80.8,,43.2,79.9,3.2,2.92,2.26,
2021-07-01 02:20:00+00:00,3.8,,11.25,1.95,,1.95,,,4.47,0.08,4.59,,,297.5,297.5,,,110.0,20.0,313.2,,265.1,67.7,,35.7,74.5,2.8,2.96,1.63,
2021-07-01 02:25:00+00:00,3.775,,11.18,1.38,,1.38,,,4.43,0.08,4.59,,,275.0,275.0,,,110.0,20.0,316.5,,263.4,75.1,,40.4,77.3,3.1,2.96,2.05,
2021-07-01 02:30:00+00:00,3.075,,10.49,1.55,,1.55,,,4.5,0.13,4.6,,,280.0,280.0,,,110.0,20.0,274.4,,245.8,38.1,,21.1,54.7,1.2,3.41,1.0,
2021-07-01 02:35:00+00:00,3.65,,10.86,1.55,,1.55,,,4.25,0.03,4.61,,,285.0,285.0,,,110.0,20.0,306.3,,258.7,64.6,,34.1,76.5,2.5,2.97,1.38,
2021-07-01 02:40:00+00:00,3.625,,10.71,1.67,,1.67,,,4.25,0.08,4.62,,,287.5,287.5,,,110.0,20.0,314.8,,255.9,83.1,,45.8,85.0,3.2,2.95,2.25,
2021-07-01 02:45:00+00:00,3.575,,10.58,0.8,,1.55,0.8,0.93,4.18,0.1,4.63,,,287.5,287.5,102.6,,97.5,7.7,317.1,,248.6,98.4,,55.5,84.1,3.8,2.96,3.6,
2021-07-01 02:50:00+00:00,3.5,,10.18,1.5,,1.5,,,4.2,0.13,4.65,,,280.0,280.0,,,110.0,20.0,327.6,,249.6,112.3,,62.6,95.5,4.1,2.91,3.61,
2021-07-01 02:55:00+00:00,3.35,,9.74,1.2,,2.03,1.2,1.23,4.03,0.08,4.66,,,300.0,300.0,130.4,,110.0,20.0,307.5,,229.4,107.0,,59.9,111.9,3.7,2.91,2.19,
2021-07-01 03:00:00+00:00,3.35,,9.69,1.7,,1.7,,,3.97,0.1,4.68,,,277.5,277.5,,,110.0,20.0,306.7,,234.1,97.4,,54.8,110.6,3.4,2.89,1.77,
2021-07-01 03:05:00+00:00,3.35,,9.82,1.77,,1.77,,,4.05,0.08,4.71,,,272.5,272.5,,,110.0,20.0,302.3,,229.9,94.8,,54.5,115.3,3.4,2.93,1.59,
2021-07-01 03:10:00+00:00,3.363,2.61,10.02,1.75,,1.75,,,3.95,0.05,4.73,,,267.5,345.0,,,110.0,20.0,291.3,237.1,220.2,76.2,53.6,51.7,90.9,3.2,2.99,1.95,0.3
2021-07-01 03:15:00+00:00,3.363,2.84,9.91,1.25,2.13,2.13,,,4.03,0.05,4.76,1.25,,275.0,360.0,,120.0,110.0,20.0,282.7,238.7,206.5,72.7,60.0,53.3,92.4,3.3,2.96,1.8,0.29
2021-07-01 03:20:00+00:00,3.35,,9.91,1.42,2.17,2.2,,,4.05,0.05,4.79,1.42,,265.0,265.0,,120.0,110.0,20.0,275.6,,199.3,92.8,,53.3,123.7,3.3,2.96,1.37,
2021-07-01 03:25:00+00:00,3.488,3.09,9.73,1.65,2.25,1.88,1.65,1.8,4.3,0.28,4.82,1.83,,245.0,397.5,118.5,120.0,101.9,11.8,285.5,229.4,177.5,116.9,74.0,75.7,134.4,4.9,2.8,2.02,0.21
2021-07-01 03:30:00+00:00,3.025,,10.01,1.4,2.22,2.28,,,3.65,0.08,4.86,1.4,,245.0,245.0,,120.0,110.0,20.0,237.5,,169.3,93.0,,51.0,100.2,2.6,3.31,2.09,
2021-07-01 03:35:00+00:00,3.707,3.09,10.34,1.42,2.53,2.53,,,4.28,0.13,4.89,1.42,,257.5,415.0,,117.5,110.0,20.0,281.5,228.8,184.5,63.2,82.8,61.0,120.2,4.6,2.79,1.49,0.36
2021-07-01 03:40:00+00:00,3.788,3.16,10.76,1.42,2.25,2.4,,,4.4,0.05,4.93,1.42,,240.0,400.0,,117.5,110.0,20.0,281.5,224.5,179.8,84.2,82.3,66.0,116.8,5.1,2.85,1.82,0.43
