Time,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,fbEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2021-08-01 00:00:00+00:00,3.825,,12.3,1.73,4.07,3.0,,,4.57,0.1,4.92,1.73,3.0,297.5,297.5,,102.5,110.0,20.0,295.4,,262.1,47.7,,25.3,47.2,2.0,3.22,2.22,
2021-08-01 00:05:00+00:00,,,,1.5,3.92,,,,,,4.82,1.5,,,,,100.0,,,,,,,,,,,,,
2021-08-01 00:10:00+00:00,3.775,,11.91,1.63,3.6,2.2,,,3.28,0.13,4.87,1.63,2.2,270.0,270.0,,100.0,110.0,20.0,299.7,,260.8,55.5,,30.0,50.3,2.2,3.16,3.03,
2021-08-01 00:15:00+00:00,3.75,,11.6,1.63,3.13,2.4,,,4.22,0.03,4.85,1.63,2.4,277.5,277.5,,102.5,110.0,20.0,311.6,,263.2,68.9,,38.0,56.7,2.7,3.09,4.17,
2021-08-01 00:20:00+00:00,3.725,,11.29,1.63,1.88,2.13,,,4.4,0.13,4.82,1.63,,295.0,295.0,,100.0,110.0,20.0,321.8,,274.4,67.7,,36.3,64.4,2.6,3.03,2.57,
2021-08-01 00:25:00+00:00,3.65,,10.79,1.63,2.47,1.7,,,4.63,0.4,4.8,1.63,1.7,285.0,285.0,,102.5,110.0,20.0,329.4,,274.6,78.0,,42.0,69.3,2.9,2.96,3.23,
2021-08-01 00:30:00+00:00,3.575,,10.73,1.8,2.72,1.85,,,4.18,0.1,4.78,1.8,1.85,272.5,272.5,,102.5,110.0,20.0,319.1,,273.9,64.3,,33.5,64.3,2.3,3.0,2.06,
2021-08-01 00:35:00+00:00,3.575,,10.37,1.4,2.05,1.95,,,4.5,0.38,4.75,1.4,1.95,285.0,285.0,,102.5,110.0,20.0,334.7,,279.6,78.5,,41.9,73.3,2.8,2.9,2.67,
2021-08-01 00:40:00+00:00,3.975,,12.21,1.58,1.9,1.58,,,4.43,0.03,4.73,1.6,,207.5,207.5,,100.0,110.0,20.0,,,,,,,,,3.07,,
2021-08-01 00:45:00+00:00,3.8,,11.63,1.63,2.22,2.0,,,4.45,0.08,4.7,1.63,2.0,285.0,285.0,,102.5,110.0,20.0,312.4,,270.1,60.4,,31.9,58.9,2.4,3.06,2.28,
2021-08-01 00:50:00+00:00,3.775,,12.43,1.5,2.25,2.6,,,4.6,0.15,4.68,1.5,,297.5,297.5,,100.0,110.0,20.0,289.7,,260.5,41.9,,21.6,44.2,1.7,3.29,1.73,
2021-08-01 00:55:00+00:00,3.925,,12.5,1.55,2.83,2.7,,,4.53,0.08,4.66,1.55,2.7,292.5,292.5,,100.0,110.0,20.0,296.5,,263.9,46.8,,24.0,48.8,2.0,3.18,1.77,
2021-08-01 01:00:00+00:00,3.8,,11.83,1.55,3.67,3.17,,,4.43,0.13,4.63,1.55,3.17,327.5,327.5,,97.5,110.0,20.0,312.4,,271.5,58.6,,31.0,58.4,2.4,3.11,2.14,
2021-08-01 01:05:00+00:00,3.65,,11.8,1.65,3.92,3.03,,,4.43,0.25,4.61,1.65,3.03,322.5,322.5,,97.5,110.0,20.0,289.8,,259.7,43.1,,21.9,45.8,1.6,3.23,1.66,
2021-08-01 01:10:00+00:00,3.725,,12.49,1.77,3.3,2.88,,,4.3,0.1,4.59,1.77,2.88,287.5,287.5,,102.5,110.0,20.0,281.1,,252.0,41.6,,21.9,41.9,1.6,3.35,2.06,
2021-08-01 01:15:00+00:00,3.675,,11.95,1.63,3.22,2.83,,,4.13,0.08,4.56,1.63,2.83,300.0,300.0,,102.5,110.0,20.0,291.8,,259.1,46.8,,24.4,47.8,1.8,3.25,1.94,
2021-08-01 01:20:00+00:00,3.675,,11.45,1.4,3.33,3.13,,,4.28,0.08,4.54,1.4,3.13,317.5,317.5,,107.5,110.0,20.0,304.0,,264.9,55.9,,29.5,55.8,2.1,3.12,2.13,
2021-08-01 01:25:00+00:00,3.525,,11.48,1.35,3.22,2.7,,,4.38,0.1,4.52,1.35,2.7,290.0,290.0,,107.5,110.0,20.0,286.7,,255.3,44.8,,23.2,46.1,1.5,3.26,1.87,
2021-08-01 01:30:00+00:00,3.65,,11.18,1.67,2.75,1.75,,,4.47,0.28,4.5,1.67,1.75,285.0,285.0,,107.5,110.0,20.0,308.7,,265.8,61.3,,32.9,58.6,2.3,3.06,2.52,
2021-08-01 01:35:00+00:00,3.9,,12.56,1.5,3.0,1.75,,,4.45,0.25,4.49,1.5,1.75,272.5,272.5,,105.0,110.0,20.0,298.5,,264.0,49.7,,25.9,51.5,2.1,3.22,1.85,
