column,mean_availability
foF2p,100.0
Time,100.0
foF2,97.38533511987174
fmin,97.38533511987174
fminF,97.38533511987174
hF2,97.38533511987174
hF,97.38533511987174
MD,97.3683021568879
MUFD,97.3683021568879
yE,97.35886504124024
hmE,97.35886504124024
fxI,97.10931290078815
FF,96.3768929990991
B0,94.85636498139951
B1,94.85636498139951
hmF2,94.85636498139951
halfNm,94.85636498139951
yF2,94.85636498139951
TEC,94.85636498139951
caleF2,94.85636498139951
hEs,24.642598550408735
minEs,24.642598550408735
foEs,24.642598550408735
fminE,17.219459600367877
foE,17.219459600367877
hE,16.95387769264997
fbEs,7.037668934880048
foF1,3.549407274118993
hmF1,3.4406655528683423
yF1,3.429171072854949
D1,3.0213491003721047
QF,0.014833493038641602
hEa,0.0
foP,0.0
foEa,0.0
hP,0.0
QE,0.0
FE,0.0
peEs,0.0
