Time,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2024-10-01 00:00:00+00:00,5.95,16.2,1.64,,1.64,,,6.78,0.14,3.38,,300.0,300.0,,,110.0,20.0,369.4,319.6,72.8,36.9,74.2,7.0,2.72,1.83
2024-10-01 00:05:00+00:00,5.15,15.71,2.7,,2.7,,,6.8,0.1,3.39,,322.5,322.5,,,110.0,20.0,333.4,302.1,46.9,22.5,54.3,3.3,3.05,1.3
2024-10-01 00:10:00+00:00,6.335,16.84,1.89,,1.89,,,7.05,0.17,3.41,,302.5,302.5,,,110.0,20.0,379.7,320.5,85.8,44.1,83.4,9.3,2.66,2.17
2024-10-01 00:15:00+00:00,6.335,17.3,1.82,,1.82,,,7.02,0.14,3.41,,297.5,297.5,,,110.0,20.0,366.2,315.6,73.9,37.6,74.0,8.0,2.73,1.94
2024-10-01 00:20:00+00:00,5.15,16.44,2.4,,2.4,,,6.72,,3.42,,305.0,305.0,,,110.0,20.0,318.3,292.7,38.6,18.6,45.8,2.8,3.19,1.2
2024-10-01 00:25:00+00:00,6.37,17.93,1.82,,1.82,,,7.02,0.1,3.42,,287.5,287.5,,,110.0,20.0,350.3,305.0,66.1,33.5,66.3,7.2,2.82,1.93
2024-10-01 00:30:00+00:00,6.51,18.16,2.1,,2.1,,,7.16,0.1,3.42,,287.5,287.5,,,110.0,20.0,354.4,302.4,75.3,38.8,71.8,8.6,2.79,2.32
2024-10-01 00:35:00+00:00,6.275,18.61,1.77,,1.77,,,6.88,0.05,3.41,,277.5,277.5,,,110.0,20.0,331.3,295.1,53.2,26.8,55.2,5.6,2.97,1.72
2024-10-01 00:40:00+00:00,6.51,18.72,1.64,,1.64,,,7.16,0.1,3.4,,272.5,272.5,,,110.0,20.0,339.1,292.1,68.0,34.9,65.2,7.7,2.88,2.28
2024-10-01 00:45:00+00:00,6.265,18.79,1.78,,1.78,,,7.05,0.17,3.39,,270.0,270.0,,,110.0,20.0,321.8,285.9,52.4,26.4,52.8,5.5,3.0,1.9
2024-10-01 00:50:00+00:00,6.225,18.82,1.77,,1.77,,,6.78,0.05,3.37,,267.5,267.5,,,110.0,20.0,317.9,284.1,49.5,24.9,50.5,5.1,3.02,1.83
2024-10-01 00:55:00+00:00,6.265,19.0,1.75,,1.75,,,7.05,0.17,3.35,,265.0,265.0,,,110.0,20.0,316.7,281.4,51.5,26.0,51.3,5.4,3.03,1.97
2024-10-01 01:00:00+00:00,6.16,19.0,1.92,,1.92,,,6.74,0.1,3.33,,265.0,265.0,,,110.0,20.0,311.8,277.4,49.9,25.5,49.2,5.1,3.08,2.05
2024-10-01 01:05:00+00:00,3.525,13.17,2.95,,2.95,,,6.85,0.03,3.31,,277.5,277.5,,,110.0,20.0,255.4,241.7,19.7,10.6,21.1,0.7,3.74,1.57
2024-10-01 01:10:00+00:00,6.545,19.11,1.78,,1.78,,,7.2,0.1,3.28,,257.5,257.5,,,110.0,20.0,330.1,277.6,75.3,39.1,67.3,8.6,2.92,2.94
