Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2016-03-03 17:50:00+00:00,45,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,
2016-03-03 17:55:00+00:00,65,8.05,,22.55,6.5,,6.5,,,8.6,0.15,4.89,,455.0,455.0,,,110.0,20.0,407.6,,365.0,66.8,,29.9,82.9,11.2,2.8,1.14,
2016-03-03 18:00:00+00:00,50,,,,,,,,,,,4.77,,,,,,,,,,,,,,,,,,
2016-03-03 18:05:00+00:00,75,,,,,,,,,,,4.71,,,,,,,,,,,,,,,,,,
2016-03-03 18:10:00+00:00,100,4.7,,14.43,1.75,,1.75,,,5.45,0.15,4.7,,234.5,234.5,,,110.0,20.0,304.9,,247.1,81.8,,43.6,67.4,4.9,3.07,4.15,
2016-03-03 18:15:00+00:00,100,4.675,,14.25,1.77,,1.77,,,5.45,0.17,4.64,,235.0,235.0,,,110.0,20.0,304.4,,248.7,78.7,,41.9,65.0,4.7,3.05,3.99,
2016-03-03 18:20:00+00:00,95,4.675,,14.23,1.85,,1.85,,,5.32,0.1,4.58,,239.0,239.0,,,110.0,20.0,310.7,,250.3,85.1,,46.0,68.6,5.1,3.04,4.55,
2016-03-03 18:25:00+00:00,100,4.65,,14.18,1.65,,1.65,,,5.38,0.13,4.52,,237.0,237.0,,,110.0,20.0,304.9,,252.6,74.3,,39.3,63.5,4.3,3.05,3.49,
2016-03-03 18:30:00+00:00,100,4.675,,14.27,1.75,,1.75,,,5.25,0.08,4.46,,242.0,242.0,,,110.0,20.0,308.4,,254.5,76.3,,40.7,64.0,4.5,3.05,3.82,
2016-03-03 18:35:00+00:00,95,4.675,,14.4,1.77,,1.77,,,5.35,0.1,4.4,,244.0,244.0,,,110.0,20.0,307.0,,253.9,75.0,,40.2,62.1,4.5,3.08,4.02,
