Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,fbEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2016-09-01 00:00:00+00:00,100,4.05,,11.54,1.8,,1.8,,,4.6,0.15,3.83,,,293.0,293.0,,,110.0,20.0,347.7,,288.5,84.4,,45.2,73.9,3.8,2.85,3.27,
2016-09-01 00:05:00+00:00,95,4.0,,11.54,2.25,,2.25,,,4.8,0.15,3.82,,,308.0,308.0,,,110.0,20.0,341.2,,288.9,74.8,,39.7,71.3,3.3,2.89,2.47,
2016-09-01 00:10:00+00:00,100,3.95,,11.54,1.8,,1.8,,,4.7,0.25,3.81,,,297.0,297.0,,,110.0,20.0,333.1,,288.3,64.5,,33.6,64.8,2.8,2.92,2.01,
2016-09-01 00:15:00+00:00,100,4.0,,11.54,1.7,,1.7,,,4.8,0.2,3.8,,,294.0,294.0,,,110.0,20.0,339.4,,287.9,73.7,,38.9,70.4,3.3,2.89,2.42,
2016-09-01 00:20:00+00:00,95,4.0,,11.46,2.15,,2.15,,,4.75,0.15,3.79,,,305.0,305.0,,,110.0,20.0,343.7,,288.6,78.6,,41.9,72.1,3.5,2.86,2.83,
2016-09-01 00:25:00+00:00,100,4.0,,11.46,1.75,,1.75,,,4.65,0.15,3.77,,,293.0,293.0,,,110.0,20.0,345.2,,287.4,82.4,,44.0,74.7,3.6,2.86,2.94,
2016-09-01 00:30:00+00:00,100,4.0,,11.54,1.65,,1.65,,,4.7,0.1,3.76,,,290.0,290.0,,,110.0,20.0,340.8,,286.5,77.6,,41.2,71.8,3.4,2.89,2.73,
2016-09-01 00:35:00+00:00,100,3.95,,11.47,2.05,,2.05,,,4.6,0.1,3.74,,,301.0,301.0,,,110.0,20.0,335.2,,285.3,71.4,,37.7,68.7,3.1,2.9,2.37,
2016-09-01 00:40:00+00:00,100,3.95,,11.39,2.15,,2.15,,,4.65,0.1,3.72,,,303.0,303.0,,,110.0,20.0,340.1,,285.9,77.4,,41.3,71.8,3.3,2.88,2.74,
2016-09-01 00:45:00+00:00,95,3.65,,11.25,2.45,,2.45,,,4.4,0.2,3.7,,,313.3,313.3,,,110.0,20.0,314.2,,279.7,49.8,,25.2,54.0,1.8,3.08,1.57,
2016-09-01 00:50:00+00:00,95,3.55,,11.05,1.85,,1.85,,,4.25,0.35,3.68,,,295.5,295.5,,,110.0,20.0,312.7,,280.1,47.1,,23.9,52.1,1.6,3.11,1.48,
2016-09-01 00:55:00+00:00,100,3.8,,11.0,1.75,,1.75,,,4.5,0.15,3.65,,,293.0,293.0,,,110.0,20.0,334.3,,286.0,69.2,,36.1,68.3,2.7,2.89,2.14,
2016-09-01 01:00:00+00:00,100,3.8,,10.85,2.05,,2.05,,,4.55,0.15,3.63,,,306.0,306.0,,,110.0,20.0,342.9,,287.7,78.8,,41.8,73.6,3.1,2.85,2.63,
2016-09-01 01:05:00+00:00,100,3.8,,10.8,2.05,,2.05,,,4.5,0.15,3.6,,,307.0,307.0,,,110.0,20.0,345.7,,288.3,81.9,,43.8,75.7,3.3,2.84,2.79,
2016-09-01 01:10:00+00:00,95,3.7,,10.76,1.8,,1.8,,,4.45,0.1,3.58,,,298.0,298.0,,,110.0,20.0,336.3,,285.2,73.1,,38.5,70.8,2.8,2.91,2.32,
2016-09-01 01:15:00+00:00,95,3.75,,10.68,1.75,,1.75,,,4.5,0.1,3.55,,,297.0,297.0,,,110.0,20.0,348.8,,286.6,88.5,,47.7,77.4,3.5,2.85,3.43,
2016-09-01 01:20:00+00:00,100,3.7,,10.72,2.4,,2.4,,,4.6,0.25,3.53,,,321.0,321.0,,,110.0,20.0,339.0,,286.3,75.5,,40.1,73.0,2.9,2.9,2.39,
2016-09-01 01:25:00+00:00,95,3.65,,10.53,2.45,,2.45,,,4.35,0.15,3.5,,,319.0,319.0,,,110.0,20.0,335.0,,285.7,70.5,,37.0,69.9,2.6,2.88,2.14,
2016-09-01 01:30:00+00:00,100,3.65,,10.57,2.7,,2.7,,,4.3,0.1,3.47,,,331.0,331.0,,,110.0,20.0,335.3,,285.8,70.9,,37.3,70.2,2.6,2.9,2.16,
2016-09-01 01:35:00+00:00,100,3.65,,10.57,2.15,,2.15,,,4.35,0.15,3.45,,,302.5,302.5,,,110.0,20.0,331.8,,282.6,70.5,,36.9,69.2,2.6,2.9,2.18,
2016-09-01 01:40:00+00:00,100,3.75,,10.73,1.95,,1.95,,,4.4,0.1,3.42,,,295.5,295.5,,,110.0,20.0,342.4,,281.9,85.9,,46.2,74.7,3.3,2.86,3.4,
2016-09-01 01:45:00+00:00,100,3.7,,10.85,2.1,,2.1,,,4.5,0.15,3.4,,,298.8,298.8,,,110.0,20.0,330.4,,277.7,75.1,,40.0,69.2,2.8,2.93,2.79,
2016-09-01 01:50:00+00:00,100,3.8,,11.22,2.35,,2.35,,,4.6,0.1,3.38,,,301.0,301.0,,,110.0,20.0,331.6,,277.3,77.5,,41.9,69.7,3.1,2.95,3.21,
2016-09-01 01:55:00+00:00,95,3.85,,11.51,1.65,,1.65,,,4.65,0.15,3.36,,,275.5,275.5,,,110.0,20.0,323.0,,269.1,76.7,,41.3,66.7,3.1,2.99,3.45,
2016-09-01 02:00:00+00:00,100,3.8,,11.85,1.75,,1.75,,,4.55,0.15,3.34,,,269.0,269.0,,,110.0,20.0,302.2,,262.5,56.7,,29.8,54.1,2.3,3.12,2.41,
2016-09-01 02:05:00+00:00,100,3.85,,12.21,2.05,,2.05,,,4.6,0.1,3.33,,,267.0,267.0,,,110.0,20.0,297.0,,256.8,57.3,,30.7,51.3,2.4,3.17,3.13,
2016-09-01 02:10:00+00:00,100,3.9,,12.51,1.8,,1.8,,,4.7,0.1,3.31,,,249.5,249.5,,,110.0,20.0,290.7,,250.3,57.5,,30.7,49.2,2.4,3.21,3.52,
2016-09-01 02:15:00+00:00,100,3.95,,12.78,2.55,,2.55,,,4.7,0.2,3.3,,,260.0,260.0,,,110.0,20.0,287.6,,250.9,52.2,,28.4,44.5,2.3,3.23,3.77,
2016-09-01 02:20:00+00:00,100,3.95,,13.13,1.75,,1.75,,,4.6,0.15,3.3,,,235.5,235.5,,,110.0,20.0,272.4,,235.9,51.8,,27.5,44.2,2.2,3.32,3.61,
2016-09-01 02:25:00+00:00,100,4.0,,13.44,1.7,,1.7,,,4.7,0.15,3.29,,,229.3,229.3,,,110.0,20.0,270.6,,230.3,56.9,,30.7,46.9,2.5,3.36,4.12,
2016-09-01 02:30:00+00:00,100,4.05,,13.69,1.8,,1.8,,,4.65,0.1,3.29,,,222.5,222.5,,,110.0,20.0,265.2,,223.8,58.4,,31.6,47.5,2.6,3.38,4.35,
2016-09-01 02:35:00+00:00,65,3.9,,13.64,2.05,,2.05,,,,0.2,3.29,,,222.5,222.5,,,110.0,20.0,254.7,,220.8,47.8,,25.9,39.4,2.0,3.5,4.05,
2016-09-01 02:40:00+00:00,60,3.85,,13.54,1.75,,1.75,,,4.55,0.15,3.3,,,217.5,217.5,,,110.0,20.0,250.4,,217.1,47.1,,25.3,39.3,1.9,3.52,3.86,
