Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2016-12-01 00:00:00+00:00,95,3.45,,10.59,2.2,,2.2,,,4.1,0.05,3.44,,283.0,283.0,,,110.0,20.0,313.1,,270.8,60.2,,32.7,50.1,2.0,3.07,4.02,
2016-12-01 00:05:00+00:00,95,3.45,,10.59,1.75,,1.75,,,4.05,0.1,3.46,,265.5,265.5,,,110.0,20.0,310.8,,262.9,67.8,,36.4,56.9,2.2,3.07,3.87,
2016-12-01 00:10:00+00:00,95,3.4,,10.56,1.6,,1.6,,,4.1,0.1,3.47,,260.8,260.8,,,110.0,20.0,303.3,,259.5,62.2,,33.0,55.8,2.0,3.11,3.07,
2016-12-01 00:15:00+00:00,100,3.4,,10.43,1.85,,1.85,,,4.2,0.15,3.48,,272.0,272.0,,,110.0,20.0,310.7,,267.7,61.1,,32.6,53.3,2.0,3.07,3.27,
2016-12-01 00:20:00+00:00,100,3.4,,10.26,1.65,,1.65,,,4.25,0.15,3.48,,271.0,271.0,,,110.0,20.0,313.9,,268.9,63.8,,33.7,57.3,2.0,3.02,2.93,
2016-12-01 00:25:00+00:00,100,3.45,,10.43,1.9,,1.9,,,4.1,0.1,3.49,,282.5,282.5,,,110.0,20.0,320.0,,272.8,67.1,,36.2,57.4,2.2,3.02,3.64,
2016-12-01 00:30:00+00:00,100,3.5,,10.71,1.75,,1.75,,,4.2,0.1,3.49,,277.0,277.0,,,110.0,20.0,315.2,,270.8,63.1,,33.9,54.9,2.2,3.06,3.43,
2016-12-01 00:35:00+00:00,100,3.55,,10.8,1.5,,1.5,,,4.1,0.1,3.49,,269.0,269.0,,,110.0,20.0,317.7,,267.6,71.1,,38.4,59.3,2.5,3.04,3.97,
2016-12-01 00:40:00+00:00,100,3.5,,10.83,2.05,,2.05,,,4.15,0.1,3.48,,280.0,280.0,,,110.0,20.0,310.8,,268.2,60.5,,32.7,51.0,2.1,3.1,3.81,
2016-12-01 00:45:00+00:00,95,3.5,,10.73,1.8,,1.8,,,4.25,0.1,3.47,,271.0,271.0,,,110.0,20.0,314.9,,264.7,71.2,,38.7,58.8,2.4,3.06,4.15,
