column,mean_availability
Time,100.0
caleF2,91.6131217337402
halfNm,91.6131217337402
foF2p,83.33333333333333
fmin,79.28328190610888
foF2,79.28328190610888
hF,79.28328190610888
fminF,79.28328190610888
hF2,79.28328190610888
MD,79.27482178997998
MUFD,79.27482178997998
yE,79.27130367541784
hmE,79.27130367541784
fxI,79.15624939027093
FF,78.4182062308664
TEC,76.34426811145016
hmF2,76.34426811145016
B1,76.34426811145016
yF2,76.34426811145016
B0,76.34426811145016
minEs,22.817997922131976
foEs,19.014998268443314
hEs,19.014998268443314
fminE,12.61591795264488
foE,12.61591795264488
hE,12.574368369493996
fbEs,7.513386474574591
foF1,1.6572659338208162
hmF1,1.5864152798826432
yF1,1.577448705077823
D1,1.532772462477232
QF,0.0018978992433295778
hEa,0.0
foP,0.0
foEa,0.0
fminEs,0.0
hP,0.0
TypeEs,0.0
QE,0.0
FE,0.0
peEs,0.0
scaleF2,0.0
CS,0.0
zhalfNm,0.0
