Time,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2020-02-01 00:00:00+00:00,3.0,,9.8,1.85,,1.85,,,3.65,0.1,3.29,,252.5,252.5,,,110.0,20.0,293.4,,245.1,68.4,,37.6,53.6,1.7,3.27,5.5,
2020-02-01 00:05:00+00:00,3.0,,9.62,1.7,,1.7,,,3.75,0.1,3.31,,252.5,252.5,,,110.0,20.0,302.1,,244.1,82.0,,45.2,65.4,2.0,3.21,5.69,
2020-02-01 00:10:00+00:00,3.0,,9.58,1.6,,1.6,,,3.7,0.15,3.33,,247.5,247.5,,,110.0,20.0,290.9,,242.5,68.6,,37.4,52.6,1.7,3.19,5.71,
2020-02-01 00:15:00+00:00,3.0,,9.71,1.85,,1.85,,,3.65,0.15,3.34,,257.5,257.5,,,110.0,20.0,289.5,,250.1,56.0,,30.8,43.8,1.4,3.24,5.02,
2020-02-01 00:20:00+00:00,3.1,,10.01,1.7,,1.7,,,3.7,0.1,3.36,,255.0,255.0,,,110.0,20.0,289.7,,248.6,58.3,,31.6,48.5,1.6,3.23,4.02,
2020-02-01 00:25:00+00:00,3.1,,10.32,1.6,,1.6,,,3.75,0.1,3.37,,250.0,250.0,,,110.0,20.0,276.4,,243.5,46.8,,25.0,42.3,1.3,3.33,2.99,
2020-02-01 00:30:00+00:00,3.15,,10.43,1.6,,1.6,,,3.75,0.15,3.38,,242.5,242.5,,,110.0,20.0,276.7,,239.1,53.2,,28.7,44.4,1.5,3.31,3.82,
2020-02-01 00:35:00+00:00,3.15,,10.43,1.55,,1.55,,,3.75,0.1,3.38,,240.0,240.0,,,110.0,20.0,276.4,,235.6,57.8,,31.4,48.0,1.6,3.31,4.23,
2020-02-01 00:40:00+00:00,3.1,,10.4,1.65,,1.65,,,3.75,0.1,3.39,,237.5,237.5,,,110.0,20.0,271.3,,233.5,53.6,,29.1,45.0,1.4,3.35,4.03,
2020-02-01 00:45:00+00:00,3.05,,10.2,1.65,,1.65,,,3.65,0.1,3.39,,235.0,235.0,,,110.0,20.0,269.5,,230.6,55.1,,29.9,45.4,1.4,3.35,4.2,
2020-02-01 00:50:00+00:00,3.05,,10.17,1.65,,1.65,,,3.7,0.1,3.38,,235.0,235.0,,,110.0,20.0,272.9,,229.9,60.9,,33.4,47.1,1.6,3.33,5.7,
2020-02-01 00:55:00+00:00,3.0,,10.03,1.55,,1.55,,,3.7,0.1,3.38,,227.5,227.5,,,110.0,20.0,267.0,,225.5,58.8,,31.8,48.5,1.5,3.34,4.33,
2020-02-01 01:00:00+00:00,3.0,,9.81,1.75,,1.75,,,3.65,0.1,3.37,,235.0,235.0,,,110.0,20.0,298.4,,228.1,99.0,,55.0,80.5,2.5,3.27,6.36,
2020-02-01 01:05:00+00:00,2.95,,9.62,1.55,,1.55,,,3.65,0.1,3.36,,232.5,232.5,,,110.0,20.0,276.7,,230.6,65.0,,35.0,52.8,1.6,3.26,4.45,
2020-02-01 01:10:00+00:00,2.95,,9.62,1.35,,1.35,,,3.6,0.1,3.35,,227.5,227.5,,,110.0,20.0,274.6,,227.3,67.0,,35.9,57.5,1.6,3.26,3.83,
2020-02-01 01:15:00+00:00,2.9,,9.58,1.55,,1.55,,,3.6,0.15,3.33,,235.0,235.0,,,110.0,20.0,271.3,,231.9,55.7,,29.9,46.2,1.3,3.3,3.9,
