column,mean_availability
foF2p,100.0
Time,100.0
fmin,89.88133965137426
yE,87.23860024916401
hmE,87.23860024916401
foF2,81.55127234853369
fminF,81.55127234853369
hF,81.55127234853369
hF2,81.55127234853369
MD,81.50442141167504
MUFD,81.50442141167504
fxI,81.33557181372213
FF,81.29717437253554
B0,79.70741456099093
caleF2,79.70741456099093
B1,79.70741456099093
halfNm,79.70741456099093
hmF2,79.70741456099093
TEC,79.70741456099093
yF2,79.70648085417486
foEs,43.615756166469104
hEs,43.615756166469104
minEs,43.6005781160302
foE,40.454825477804484
hE,40.454825477804484
fminE,40.454825477804484
foF1,15.124930692553308
fbEs,14.522260453659364
hmF1,14.082584284520118
yF1,14.0669355927514
D1,13.02238873512603
QF,0.17294983430829192
hEa,0.0
foEa,0.0
QE,0.0
FE,0.0
foP,0.0
peEs,0.0
hP,0.0
