DATE,TIME (GMT),LAT. (N),LONG. (E),DEPTH (km),MAGNITUDE (Local)
2022 JAN  1,00 44 59.3,35.1732,25.3047,6,1.0
2022 JAN  1,00 45 57.8,35.1077,25.2090,12,1.2
2022 JAN  1,01 10 41.6,38.3437,22.0345,9,0.9
2022 JAN  1,02 42 36.9,37.8625,23.0164,12,1.9
2022 JAN  1,02 49 01.2,36.6385,21.4590,12,2.2
2022 JAN  1,03 28 57.7,36.4517,21.7960,6,1.9
2022 JAN  1,03 42 03.9,37.3114,20.5389,12,2.0
2022 JAN  1,03 47 45.9,35.1787,25.3276,5,0.9
2022 JAN  1,03 52 10.4,39.4972,20.6703,9,2.2
2022 JAN  1,03 52 47.6,35.6168,27.2562,14,2.8
2022 JAN  1,04 14 17.4,35.1448,25.3157,13,1.6
2022 JAN  1,04 30 14.9,35.1759,25.3139,7,2.4
2022 JAN  1,04 54 21.8,38.3611,22.2972,12,1.7
2022 JAN  1,05 22 49.7,38.2814,23.3693,14,1.1
2022 JAN  1,05 22 56.3,35.1494,25.2534,12,1.0
2022 JAN  1,05 45 58.4,37.3407,20.6085,12,2.7
2022 JAN  1,06 49 55.3,38.3194,21.8417,9,1.2
2022 JAN  1,07 02 01.0,35.1572,25.2109,10,1.1
2022 JAN  1,07 26 03.8,34.9864,25.1436,11,2.0
2022 JAN  1,08 02 36.0,37.8433,27.0218,13,2.9
2022 JAN  1,08 40 31.9,38.3066,21.8253,7,0.6
2022 JAN  1,09 08 02.4,39.7929,22.0445,15,1.4
2022 JAN  1,09 35 02.2,35.1411,25.2086,12,1.1
2022 JAN  1,09 51 21.1,36.6083,26.4716,130,3.0
2022 JAN  1,09 57 33.6,36.1176,27.5116,6,2.6
2022 JAN  1,10 27 59.0,39.5966,20.5280,9,2.4
2022 JAN  1,10 55 29.0,38.3125,21.8221,11,1.9
2022 JAN  1,11 13 15.8,35.1695,25.3056,6,2.0
2022 JAN  1,11 20 42.3,38.3089,21.8294,8,0.9
2022 JAN  1,11 47 53.9,35.0972,25.3038,7,1.1
2022 JAN  1,12 00 47.6,34.4632,26.4615,15,2.6
2022 JAN  1,12 07 53.2,34.8212,23.3514,28,2.8
2022 JAN  1,12 28 51.1,34.4879,26.4752,13,2.9
2022 JAN  1,12 35 41.5,35.1530,25.2077,11,1.8
2022 JAN  1,12 37 43.4,38.3194,21.8362,9,0.8
2022 JAN  1,12 47 43.2,38.4096,22.0967,6,0.9
2022 JAN  1,12 50 40.1,39.7476,22.0578,12,1.6
2022 JAN  1,12 52 10.8,39.7458,22.0377,10,2.1
2022 JAN  1,12 53 19.4,38.3162,21.8440,7,2.3
2022 JAN  1,13 01 55.8,38.3638,21.7387,12,3.3
2022 JAN  1,13 06 22.1,38.3185,21.8353,9,1.9
2022 JAN  1,14 20 14.1,39.7018,22.2025,15,1.7
2022 JAN  1,14 25 03.4,38.2887,21.8513,7,0.7
2022 JAN  1,15 33 29.6,35.1759,25.2113,12,1.5
2022 JAN  1,15 59 02.7,38.1546,24.1946,16,1.0
2022 JAN  1,15 59 35.3,35.1961,25.2434,12,1.0
2022 JAN  1,16 31 00.6,35.2011,25.3885,11,1.1
2022 JAN  1,17 14 09.9,35.1576,25.1866,13,1.7
2022 JAN  1,18 39 02.1,38.3363,22.1086,13,1.4
2022 JAN  1,20 02 23.6,38.3107,21.8367,6,1.4
2022 JAN  1,20 04 45.6,38.3180,21.8312,7,1.3
2022 JAN  1,20 33 55.8,39.4345,24.0134,17,2.3
2022 JAN  1,20 59 11.3,36.7548,21.6522,17,2.9
2022 JAN  1,21 06 16.7,35.0070,23.4988,26,2.2
2022 JAN  1,21 30 49.4,35.1201,25.2397,14,1.5
2022 JAN  1,21 46 55.2,38.2745,22.2382,12,1.2
2022 JAN  1,22 39 21.7,35.2052,25.3203,8,1.1
2022 JAN  1,23 08 45.4,35.1567,25.2242,9,1.6
2022 JAN  1,23 29 52.9,35.1622,25.2342,12,2.1
2022 JAN  1,23 33 44.0,35.1549,25.2397,13,1.8
2022 JAN  2,00 03 38.6,39.3489,20.5852,19,1.8
2022 JAN  2,00 06 26.4,35.1224,25.2109,12,1.2
2022 JAN  2,00 07 36.4,38.3546,21.7653,15,3.1
2022 JAN  2,00 21 09.0,35.1096,25.2164,12,1.6
2022 JAN  2,00 23 06.7,39.4400,24.0262,23,2.0
2022 JAN  2,00 26 38.1,36.4865,21.8234,12,2.2
2022 JAN  2,00 32 44.3,35.1320,25.2654,8,1.3
2022 JAN  2,01 00 43.1,38.8792,22.8731,18,2.1
2022 JAN  2,01 16 20.6,35.0093,25.1656,14,1.2
2022 JAN  2,01 34 03.1,35.1064,25.2040,12,1.0
2022 JAN  2,02 10 14.6,35.1540,25.2278,12,1.3
2022 JAN  2,02 26 46.7,35.1741,25.3047,6,1.3
2022 JAN  2,02 41 16.4,39.4560,24.0147,18,2.6
2022 JAN  2,03 00 34.5,38.1583,22.7811,35,1.3
2022 JAN  2,03 20 59.5,37.8145,21.2434,26,1.7
2022 JAN  2,03 29 49.9,37.9207,21.8449,26,1.2
2022 JAN  2,03 50 48.1,35.1773,25.3152,8,0.8
2022 JAN  2,03 58 26.7,35.1448,25.2086,10,1.0
2022 JAN  2,04 01 28.6,39.4510,24.0152,22,2.3
2022 JAN  2,05 12 16.7,38.7749,20.5769,17,2.1
2022 JAN  2,05 38 20.8,37.6071,21.6422,15,1.6
2022 JAN  2,05 48 28.1,35.2391,25.3056,12,2.4
2022 JAN  2,06 34 35.8,38.2631,23.4270,6,0.8
2022 JAN  2,06 35 29.0,35.1247,25.2928,12,1.8
2022 JAN  2,06 55 54.7,39.7495,20.5856,11,1.7
2022 JAN  2,08 32 34.7,35.1540,25.2571,8,1.6
2022 JAN  2,09 29 33.6,35.2373,25.3084,11,1.5
2022 JAN  2,10 19 26.5,39.7298,22.1251,10,3.0
2022 JAN  2,10 55 47.5,39.7476,22.1201,8,2.7
2022 JAN  2,10 57 56.8,37.1512,20.8640,9,4.1
2022 JAN  2,11 31 53.5,35.1389,25.2383,9,1.2
2022 JAN  2,12 05 00.6,36.9516,22.6859,12,1.9
2022 JAN  2,12 06 43.5,38.2961,23.3913,7,1.4
2022 JAN  2,12 34 09.8,38.0099,21.9955,21,1.1
2022 JAN  2,12 49 44.5,37.1365,20.8163,4,3.4
2022 JAN  2,12 58 11.1,38.2695,22.5444,11,1.6
2022 JAN  2,13 10 58.8,37.6035,23.1253,83,2.4
2022 JAN  2,13 21 00.7,40.1830,25.1198,18,3.0
2022 JAN  2,13 49 16.2,35.1512,25.2232,10,1.0
2022 JAN  2,14 17 42.1,37.1375,20.8557,7,2.1
2022 JAN  2,14 56 58.8,38.4288,21.9850,9,1.5
2022 JAN  2,17 34 23.4,39.3375,20.6314,20,2.1
2022 JAN  2,18 07 41.1,38.3208,22.3274,10,1.8
2022 JAN  2,19 42 29.5,35.1768,25.3139,7,0.7
2022 JAN  2,19 43 46.2,35.1302,25.2141,12,1.3
2022 JAN  2,20 04 31.1,35.1242,25.2951,14,1.5
2022 JAN  2,20 37 44.0,34.2023,25.7465,8,2.6
2022 JAN  2,20 55 58.3,37.9674,21.0374,18,1.0
2022 JAN  2,21 43 06.5,35.1201,25.2855,13,2.0
2022 JAN  2,21 45 37.2,37.5961,20.4556,14,2.3
2022 JAN  2,21 51 47.9,35.1741,25.3075,6,1.4
2022 JAN  2,22 32 18.5,38.2274,23.1798,15,1.4
2022 JAN  2,22 38 37.7,38.3263,23.3638,10,1.4
2022 JAN  2,23 00 02.9,38.0974,23.1725,7,1.1
2022 JAN  2,23 13 17.9,37.5357,20.5966,11,1.7
2022 JAN  2,23 37 47.3,34.4916,25.2191,14,2.5
2022 JAN  3,00 38 24.1,35.1773,25.3079,7,1.0
2022 JAN  3,01 09 48.0,37.1585,20.8456,13,2.1
2022 JAN  3,02 37 58.5,37.9967,21.9356,14,1.4
2022 JAN  3,03 07 55.9,35.1677,25.3047,7,1.2
2022 JAN  3,03 32 01.4,34.7443,24.9738,15,2.0
2022 JAN  3,03 42 44.2,37.7225,24.1232,9,0.8
2022 JAN  3,04 01 46.1,38.3121,24.0390,14,1.2
2022 JAN  3,04 23 34.1,38.3487,21.7227,10,1.0
2022 JAN  3,04 32 05.9,36.0704,23.2347,14,2.1
2022 JAN  3,05 14 09.1,35.1457,25.1839,17,1.5
2022 JAN  3,05 20 40.1,34.8061,24.4643,23,2.4
2022 JAN  3,06 02 16.5,34.7690,24.8337,15,1.9
2022 JAN  3,06 15 34.6,38.2997,22.5050,11,1.6
2022 JAN  3,06 18 03.1,38.8229,25.8243,24,2.4
2022 JAN  3,08 12 28.2,40.1349,19.9200,11,2.8
2022 JAN  3,08 52 33.5,35.1320,24.2244,30,2.1
2022 JAN  3,10 09 20.6,38.1047,22.0171,9,1.8
2022 JAN  3,10 31 27.6,38.2173,23.0571,8,2.5
2022 JAN  3,11 01 45.7,38.2027,22.6048,16,1.5
2022 JAN  3,11 14 10.3,40.0900,20.4849,21,1.9
2022 JAN  3,11 25 44.6,39.6767,22.2322,7,2.4
2022 JAN  3,11 30 01.8,35.1393,25.2095,11,1.4
2022 JAN  3,11 38 04.0,35.1375,25.2122,12,1.6
2022 JAN  3,11 54 30.9,35.1324,25.2264,13,1.8
2022 JAN  3,13 05 51.8,35.1402,25.2196,11,1.2
2022 JAN  3,13 30 20.5,34.9567,26.9366,13,2.4
2022 JAN  3,15 12 14.8,35.1347,25.1802,16,3.1
2022 JAN  3,15 12 36.5,35.1260,25.1651,14,2.9
2022 JAN  3,15 27 01.1,35.1183,25.1637,13,1.6
2022 JAN  3,15 40 40.5,35.1411,25.1930,15,1.8
2022 JAN  3,15 49 29.0,35.1466,25.2187,10,0.6
2022 JAN  3,16 34 32.4,38.5771,21.9814,19,1.4
2022 JAN  3,17 33 57.2,34.7195,25.4764,14,2.6
2022 JAN  3,17 43 25.8,40.4581,23.6215,11,1.4
2022 JAN  3,18 09 00.1,38.3510,21.7094,8,2.5
2022 JAN  3,18 10 21.0,35.1228,25.2104,13,1.7
2022 JAN  3,18 23 39.7,38.3231,21.8381,11,0.6
2022 JAN  3,18 33 04.2,36.5671,25.5991,16,2.3
2022 JAN  3,18 34 05.7,36.5190,25.6380,17,3.2
2022 JAN  3,19 14 23.8,36.5034,25.5345,15,3.4
2022 JAN  3,19 21 06.4,39.7774,22.0674,5,1.5
2022 JAN  3,19 23 23.4,39.7696,22.0743,11,1.2
2022 JAN  3,19 50 27.7,36.5117,25.5107,15,2.1
2022 JAN  3,19 55 21.7,35.1292,25.2260,13,2.0
2022 JAN  3,20 07 02.9,38.4215,21.9868,10,1.2
2022 JAN  3,20 15 38.1,36.4261,27.1188,17,2.7
2022 JAN  3,20 16 24.0,35.1878,25.3194,6,1.3
2022 JAN  3,20 30 53.8,35.1201,25.2113,10,2.2
2022 JAN  3,20 48 26.4,35.1045,25.2113,13,1.6
2022 JAN  3,20 49 07.9,38.5826,21.9923,23,1.1
2022 JAN  3,20 59 35.0,39.1379,23.8632,12,2.0
2022 JAN  3,21 09 57.2,34.0997,25.2374,11,2.2
2022 JAN  3,21 24 09.7,37.4670,20.6506,17,1.9
2022 JAN  3,21 31 02.6,34.8093,24.9710,19,2.4
2022 JAN  3,21 43 10.8,34.5245,26.3727,12,2.4
2022 JAN  3,22 24 19.8,35.1805,25.3111,7,1.5
2022 JAN  3,22 35 11.2,37.9683,22.5142,9,1.7
2022 JAN  3,22 39 17.7,36.6646,21.9493,15,2.1
2022 JAN  3,23 02 39.6,35.1512,25.1994,10,1.7
2022 JAN  3,23 37 48.6,38.4224,21.9411,10,1.0
2022 JAN  3,23 49 25.2,34.8560,25.0122,16,1.7
2022 JAN  3,23 59 17.2,39.1379,23.2773,20,1.3
2022 JAN  4,00 01 23.9,38.2594,21.7241,25,1.1
2022 JAN  4,00 08 12.5,34.7621,24.8250,34,2.4
2022 JAN  4,00 16 10.0,39.7275,22.0798,11,1.6
2022 JAN  4,01 12 01.9,39.7934,22.0029,9,1.3
2022 JAN  4,01 50 08.5,35.1595,25.2498,10,3.4
2022 JAN  4,02 14 48.6,37.3856,20.8658,18,1.7
2022 JAN  4,02 43 09.9,36.8472,28.0472,69,3.2
2022 JAN  4,02 52 50.3,38.5268,21.5749,13,1.2
2022 JAN  4,03 08 47.4,35.1247,25.2113,12,1.3
2022 JAN  4,03 13 45.0,35.1004,25.1889,8,1.1
2022 JAN  4,03 23 48.1,35.1549,25.3313,11,1.0
2022 JAN  4,03 24 16.3,36.7438,21.5936,16,1.8
2022 JAN  4,03 49 21.5,38.1436,20.7358,14,0.8
2022 JAN  4,04 20 43.2,35.9015,26.8781,54,2.4
2022 JAN  4,04 34 55.4,38.1404,23.5121,9,1.0
2022 JAN  4,05 23 05.6,36.3968,27.1133,17,2.7
2022 JAN  4,06 42 45.3,38.0663,22.8429,14,1.7
2022 JAN  4,08 49 56.2,36.0590,26.9220,45,3.0
2022 JAN  4,09 35 03.0,38.2164,21.8596,11,1.2
2022 JAN  4,10 09 05.9,34.3121,25.7428,15,2.4
2022 JAN  4,10 34 52.6,35.1297,25.2109,11,2.0
2022 JAN  4,11 00 34.2,35.1608,25.1779,12,1.5
2022 JAN  4,11 24 56.9,38.2741,22.3521,12,1.2
2022 JAN  4,11 41 49.8,38.3977,22.2734,15,1.4
2022 JAN  4,11 48 06.5,35.1402,25.2031,10,1.0
2022 JAN  4,12 20 04.7,36.6843,21.3748,15,2.1
2022 JAN  4,12 54 28.9,35.7632,23.6600,19,3.8
2022 JAN  4,14 06 51.4,35.1521,25.2489,11,1.8
2022 JAN  4,14 34 28.3,38.3226,21.8404,7,1.4
2022 JAN  4,15 08 00.6,35.7339,23.6472,20,2.0
2022 JAN  4,16 06 53.5,38.1139,23.5268,11,1.9
2022 JAN  4,16 09 06.2,37.2043,20.4575,9,2.6
2022 JAN  4,16 14 18.0,39.3755,26.2358,17,2.7
2022 JAN  4,16 41 03.6,37.8246,21.2526,18,1.7
2022 JAN  4,17 36 01.0,35.1869,25.2242,11,1.0
2022 JAN  4,17 52 17.4,35.2071,25.2864,10,1.3
2022 JAN  4,18 14 17.1,38.2466,22.1938,59,1.9
2022 JAN  4,18 15 27.0,38.3427,21.6966,15,1.4
2022 JAN  4,18 25 49.3,41.3223,20.8237,17,2.3
2022 JAN  4,18 34 21.6,38.3286,21.7429,17,1.0
2022 JAN  4,18 40 35.4,37.1585,20.8749,22,2.2
2022 JAN  4,18 41 39.2,35.0194,24.8698,12,2.0
2022 JAN  4,19 02 38.4,36.3290,22.6474,9,2.5
2022 JAN  4,19 04 31.1,34.8509,25.2791,19,2.2
2022 JAN  4,20 00 22.0,35.1402,25.1747,16,1.8
2022 JAN  4,20 14 41.0,35.0276,25.1289,12,1.5
2022 JAN  4,20 41 16.7,38.8371,20.7161,39,1.9
2022 JAN  4,20 52 26.4,36.7566,26.9128,135,3.0
2022 JAN  4,21 18 45.0,38.2997,20.4131,19,1.0
2022 JAN  4,21 28 36.8,35.1741,25.3111,6,0.8
2022 JAN  4,21 47 23.9,35.1714,25.3084,6,0.9
2022 JAN  4,21 50 29.7,35.1695,25.3102,6,1.4
2022 JAN  4,23 13 54.8,35.2029,23.2809,30,2.6
2022 JAN  4,23 51 36.0,37.4222,20.4977,8,2.3
2022 JAN  5,01 00 54.9,35.1288,23.0731,27,2.1
2022 JAN  5,01 01 01.5,38.5561,21.7332,14,0.4
2022 JAN  5,02 02 40.4,35.8832,27.0062,27,2.3
2022 JAN  5,02 24 57.8,34.6490,33.6896,27,2.2
2022 JAN  5,02 33 54.1,34.7296,25.1971,35,1.5
2022 JAN  5,02 50 23.9,34.9356,24.7037,32,1.9
2022 JAN  5,03 07 03.5,36.5396,22.0853,13,2.0
2022 JAN  5,03 36 02.4,38.3839,22.0564,6,0.9
2022 JAN  5,04 40 38.2,35.1512,25.2141,13,0.9
2022 JAN  5,05 14 29.1,35.1457,25.2260,12,1.6
2022 JAN  5,06 37 15.8,35.1022,25.2109,10,0.9
2022 JAN  5,07 24 56.9,35.1741,25.3093,7,1.8
2022 JAN  5,08 44 34.0,35.1242,25.2090,11,1.2
2022 JAN  5,08 56 30.8,35.1814,25.2818,8,1.2
2022 JAN  5,09 03 47.4,38.4032,22.0207,10,1.1
2022 JAN  5,10 46 46.3,38.0525,23.1322,19,1.3
2022 JAN  5,11 30 23.3,35.1778,25.3130,6,1.5
2022 JAN  5,11 56 50.1,35.1402,25.2498,10,2.2
2022 JAN  5,12 00 36.8,35.1567,25.2397,9,1.6
2022 JAN  5,12 18 53.5,37.6675,20.5417,19,2.3
2022 JAN  5,12 29 07.9,37.6602,20.5911,23,2.1
2022 JAN  5,12 38 37.6,35.1952,25.3056,8,1.3
2022 JAN  5,13 20 16.8,38.5524,21.6252,15,1.3
2022 JAN  5,13 38 11.4,35.1947,25.2631,8,1.2
2022 JAN  5,13 56 35.9,38.5703,21.6220,10,1.4
2022 JAN  5,14 06 36.0,35.1768,25.3020,8,0.9
2022 JAN  5,15 39 16.6,34.4147,26.0907,8,2.6
2022 JAN  5,15 40 43.0,34.4119,26.0568,16,2.3
2022 JAN  5,17 05 33.2,35.0368,25.1152,12,1.3
2022 JAN  5,17 41 01.3,35.1164,25.2278,12,1.2
2022 JAN  5,18 55 01.7,34.7415,24.5261,15,2.2
2022 JAN  5,19 32 30.7,39.3228,20.9756,9,1.6
2022 JAN  5,19 32 31.8,37.8745,26.7471,16,2.8
2022 JAN  5,19 38 40.8,35.1860,25.3230,5,1.1
2022 JAN  5,19 40 05.3,39.2752,24.8117,14,2.1
2022 JAN  5,19 40 05.5,39.2033,24.7737,10,2.1
2022 JAN  5,19 53 44.2,37.7765,23.6334,13,1.1
2022 JAN  5,20 29 30.3,37.7499,20.3677,4,2.1
2022 JAN  5,20 59 48.9,34.4000,26.1346,7,2.2
2022 JAN  5,21 16 26.3,35.3888,26.4276,13,2.4
2022 JAN  5,21 48 38.7,35.1778,25.3111,7,0.4
2022 JAN  5,22 04 38.5,35.1485,25.2159,10,0.8
2022 JAN  5,22 05 24.6,35.1183,25.1802,8,1.3
2022 JAN  5,22 24 25.9,37.9152,26.7659,14,3.0
2022 JAN  5,22 37 23.4,37.6753,23.5085,15,1.2
2022 JAN  5,23 04 38.7,37.1365,22.0322,6,2.2
2022 JAN  5,23 19 15.6,35.1732,25.3166,7,1.4
2022 JAN  5,23 36 01.4,37.7733,23.6137,10,1.5
2022 JAN  6,00 08 25.3,37.8598,21.7300,24,1.3
2022 JAN  6,00 30 12.2,39.0903,21.7319,13,2.4
2022 JAN  6,00 34 14.8,35.1338,25.2141,12,1.3
2022 JAN  6,00 56 55.8,35.2162,25.3212,10,1.6
2022 JAN  6,01 04 30.1,34.7836,24.7385,22,2.1
2022 JAN  6,01 34 26.5,34.7159,26.1758,14,2.2
2022 JAN  6,02 19 41.8,38.4251,21.9072,10,1.3
2022 JAN  6,02 21 05.6,35.2098,25.3166,10,1.2
2022 JAN  6,02 31 29.5,35.2473,25.3496,9,0.6
2022 JAN  6,02 53 09.7,39.8795,22.0505,9,2.3
2022 JAN  6,03 02 53.0,35.0702,22.9742,20,2.4
2022 JAN  6,03 15 52.0,37.8506,21.2631,8,2.9
2022 JAN  6,05 05 07.3,35.1906,25.2553,12,1.5
2022 JAN  6,05 26 37.2,34.4000,26.2848,7,2.0
2022 JAN  6,05 33 24.6,38.9676,24.1946,12,2.5
2022 JAN  6,06 32 18.7,38.2828,21.1697,18,1.5
2022 JAN  6,06 43 32.4,38.1642,23.3080,15,1.4
2022 JAN  6,06 59 13.2,39.7018,20.3476,6,2.0
2022 JAN  6,08 20 08.5,38.8472,21.2013,19,1.7
2022 JAN  6,08 47 55.6,38.9145,22.1402,15,1.4
2022 JAN  6,10 52 06.4,37.9440,23.7607,10,1.6
2022 JAN  6,11 38 05.7,40.6888,21.6000,10,2.1
2022 JAN  6,12 10 43.8,39.8245,20.6241,13,2.2
2022 JAN  6,13 09 29.5,38.3711,22.3036,12,0.9
2022 JAN  6,15 33 58.2,37.7037,21.1684,15,2.6
2022 JAN  6,16 38 43.3,39.7604,22.0596,6,1.7
2022 JAN  6,18 07 27.7,35.9723,24.7229,46,1.8
2022 JAN  6,18 08 36.5,38.4856,21.4980,24,1.7
2022 JAN  6,18 21 13.5,38.8605,25.9845,14,2.3
2022 JAN  6,18 32 52.7,39.4885,20.7458,12,1.6
2022 JAN  6,19 15 07.2,35.1448,25.2022,12,1.1
2022 JAN  6,19 18 18.7,35.0844,24.3224,9,2.8
2022 JAN  6,20 08 57.3,38.3615,22.0212,11,0.5
2022 JAN  6,20 24 37.8,39.0152,26.5329,10,2.9
2022 JAN  6,20 38 28.4,38.3894,22.0152,10,1.0
2022 JAN  6,20 55 22.9,35.1370,25.2255,12,2.3
2022 JAN  6,21 38 11.7,38.3125,23.3501,9,0.9
2022 JAN  6,22 21 07.5,35.1128,25.1930,12,1.1
2022 JAN  6,22 23 17.6,34.5969,23.7973,13,2.9
2022 JAN  6,22 58 05.4,35.1237,25.2269,10,1.9
2022 JAN  6,23 01 56.8,35.1265,25.2232,12,1.4
2022 JAN  6,23 03 12.3,35.1265,25.2187,12,1.4
2022 JAN  6,23 21 42.1,35.0061,27.2131,6,3.4
2022 JAN  7,00 47 39.8,38.3025,23.3711,7,1.4
2022 JAN  7,00 54 54.0,35.2043,25.2379,6,1.3
2022 JAN  7,01 25 52.9,35.1279,25.2164,13,1.4
2022 JAN  7,01 48 36.9,35.1869,25.3185,6,1.3
2022 JAN  7,01 49 09.8,38.1070,24.2075,9,1.6
2022 JAN  7,01 54 54.3,35.7152,23.6266,19,2.0
2022 JAN  7,02 24 25.1,38.8792,21.1565,16,1.9
2022 JAN  7,02 33 07.3,38.3501,21.7561,10,1.0
2022 JAN  7,02 39 16.5,37.6529,22.6529,60,2.8
2022 JAN  7,03 43 03.2,39.1379,21.8564,14,1.4
2022 JAN  7,04 00 05.5,35.1970,25.3102,8,1.3
2022 JAN  7,04 01 32.0,35.1956,25.3061,8,1.7
2022 JAN  7,04 36 50.3,35.5783,23.5208,13,1.9
2022 JAN  7,06 07 23.5,37.1677,21.1166,13,2.0
2022 JAN  7,07 05 56.3,38.5066,23.2310,16,1.4
2022 JAN  7,07 20 50.2,37.7559,20.7408,14,2.2
2022 JAN  7,08 33 02.6,37.7211,23.2310,12,1.5
2022 JAN  7,08 51 44.4,35.4501,23.1766,22,2.0
2022 JAN  7,10 01 46.0,35.5696,23.5094,18,2.4
2022 JAN  7,10 23 52.7,38.1033,20.1498,12,2.2
2022 JAN  7,12 25 33.0,38.3441,23.1940,13,1.0
2022 JAN  7,12 27 31.4,38.2347,20.8058,19,2.9
2022 JAN  7,12 59 31.0,38.2329,20.8031,20,2.0
2022 JAN  7,13 09 09.7,40.3024,25.2017,9,1.7
2022 JAN  7,14 11 23.2,35.1924,25.2818,11,1.0
2022 JAN  7,14 21 17.9,38.5464,21.3089,18,1.5
2022 JAN  7,14 45 07.9,35.1237,25.2122,13,1.4
2022 JAN  7,15 57 04.3,34.6399,25.6750,15,1.7
2022 JAN  7,16 16 32.7,37.6968,25.9854,11,2.1
2022 JAN  7,17 28 17.2,35.0377,25.1884,11,1.0
2022 JAN  7,17 43 05.1,35.1173,25.2168,8,1.9
2022 JAN  7,17 52 02.0,35.0597,25.2278,14,0.9
2022 JAN  7,18 21 22.5,38.2201,23.9433,13,1.8
2022 JAN  7,18 28 51.8,38.2045,22.7953,16,1.9
2022 JAN  7,20 12 35.3,37.7866,21.0654,13,1.6
2022 JAN  7,20 42 03.1,35.2936,26.8744,12,2.1
2022 JAN  7,21 02 10.3,39.4016,20.5307,29,1.8
2022 JAN  7,21 30 06.9,35.1173,25.2095,11,0.8
2022 JAN  7,21 42 03.2,35.1704,25.3413,4,1.2
2022 JAN  7,21 43 45.2,39.9028,22.9243,20,2.1
2022 JAN  7,21 43 56.4,35.2716,23.0255,28,2.2
2022 JAN  7,21 56 21.7,38.2013,20.7330,30,2.0
2022 JAN  7,22 09 20.2,35.0468,25.1701,15,1.9
2022 JAN  7,23 14 10.8,35.1201,25.2800,9,1.9
2022 JAN  7,23 28 23.1,37.5719,23.5075,18,2.2
2022 JAN  7,23 49 39.1,39.3027,20.0711,32,2.5
2022 JAN  8,00 02 46.6,38.2388,20.7816,32,1.7
2022 JAN  8,00 33 36.8,39.8209,22.0010,11,1.5
2022 JAN  8,00 35 34.2,35.1242,25.2145,14,1.8
2022 JAN  8,01 08 29.4,38.4059,22.1342,9,1.0
2022 JAN  8,01 24 21.4,39.2775,20.6017,26,2.6
2022 JAN  8,01 56 00.1,34.8972,24.9838,18,1.9
2022 JAN  8,02 56 24.9,35.1297,25.2310,13,1.6
2022 JAN  8,03 20 53.2,38.3139,23.4146,13,1.2
2022 JAN  8,03 43 15.7,38.7227,22.9225,11,1.6
2022 JAN  8,03 53 13.3,35.1302,25.2168,13,1.1
2022 JAN  8,03 55 43.7,37.0779,21.3803,26,2.1
2022 JAN  8,04 49 27.9,38.2027,22.7284,13,1.4
2022 JAN  8,05 41 30.7,36.4865,21.5689,11,2.6
2022 JAN  8,06 27 25.0,39.7261,20.6090,12,2.2
2022 JAN  8,06 43 02.6,38.7643,23.8193,12,1.8
2022 JAN  8,06 43 07.5,38.3665,21.8706,8,1.2
2022 JAN  8,06 45 10.7,36.9717,27.3880,10,2.3
2022 JAN  8,08 51 41.9,34.6866,25.5496,11,2.1
2022 JAN  8,09 19 33.4,38.3743,22.0193,13,1.1
2022 JAN  8,09 26 05.8,36.1725,28.2733,50,2.7
2022 JAN  8,09 28 45.4,34.7186,25.5011,13,1.9
2022 JAN  8,10 56 43.6,38.1670,23.4004,12,1.4
2022 JAN  8,12 08 08.8,34.4476,24.2706,11,3.9
2022 JAN  8,12 42 42.4,41.1617,23.3620,11,2.0
2022 JAN  8,13 13 57.9,38.9113,21.3670,18,1.9
2022 JAN  8,13 29 11.4,34.3416,24.2622,5,2.9
2022 JAN  8,14 12 32.1,38.2951,23.3693,11,0.7
2022 JAN  8,15 00 41.1,35.1361,25.2155,12,1.0
2022 JAN  8,15 45 07.6,39.6254,20.4488,6,1.8
2022 JAN  8,15 49 17.8,38.0521,21.5414,23,1.8
2022 JAN  8,16 33 10.0,35.1219,25.2287,12,1.4
2022 JAN  8,17 33 31.9,38.3715,22.3614,5,1.0
2022 JAN  8,17 45 22.5,36.0473,22.3651,5,2.4
2022 JAN  8,21 58 15.4,37.4556,21.8092,19,2.3
2022 JAN  8,22 49 16.2,37.4721,21.9264,13,1.8
2022 JAN  8,23 05 40.8,38.4801,21.0136,16,2.5
2022 JAN  8,23 18 27.7,35.1265,25.2232,10,1.1
2022 JAN  8,23 20 18.1,37.4661,21.8692,21,1.8
2022 JAN  8,23 42 52.4,38.0653,21.6151,22,1.7
2022 JAN  8,23 59 33.9,38.3267,23.4219,23,1.0
2022 JAN  9,00 47 57.9,35.1640,25.2269,11,1.4
2022 JAN  9,01 14 34.5,38.0209,21.5268,26,1.5
2022 JAN  9,01 19 45.4,38.8632,20.0198,11,1.9
2022 JAN  9,02 14 45.9,38.3839,22.0152,11,1.5
2022 JAN  9,02 50 33.6,35.0999,25.2068,10,1.4
2022 JAN  9,03 24 13.9,37.4020,20.7468,10,2.5
2022 JAN  9,04 18 29.8,39.7664,22.0839,5,2.3
2022 JAN  9,04 30 23.6,35.1091,25.1994,10,1.8
2022 JAN  9,04 43 25.7,35.1329,25.2122,11,1.3
2022 JAN  9,04 47 08.7,39.4286,25.8952,15,2.3
2022 JAN  9,04 57 30.8,37.6396,24.1109,8,1.4
2022 JAN  9,05 18 55.2,35.2061,25.3157,7,1.9
2022 JAN  9,05 26 15.0,35.5600,23.5007,14,2.9
