Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,fbEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2015-04-01 00:00:00+00:00,100,6.2,,17.8,1.65,,1.65,,,6.85,0.1,4.09,,,272.0,272.0,,,110.0,20.0,346.4,,288.1,83.2,,44.0,74.7,8.7,2.87,3.03,
2015-04-01 00:05:00+00:00,80,6.2,,17.76,1.65,,1.65,,,6.8,0.1,4.08,,,271.5,271.5,,,110.0,20.0,345.0,,286.4,83.7,,44.2,75.0,8.7,2.87,3.05,
2015-04-01 00:10:00+00:00,100,6.2,,17.9,1.7,,1.7,,,6.85,0.15,4.07,,,268.5,268.5,,,110.0,20.0,339.8,,283.7,80.1,,42.2,72.5,8.4,2.89,2.92,
2015-04-01 00:15:00+00:00,100,6.15,,17.87,1.65,,1.65,,,6.8,0.1,4.05,,,266.0,266.0,,,110.0,20.0,340.0,,281.4,83.5,,44.4,73.6,8.6,2.91,3.3,
2015-04-01 00:20:00+00:00,100,6.15,,17.85,1.9,,1.9,,,6.8,0.1,4.04,,,267.0,267.0,,,110.0,20.0,340.1,,280.4,85.0,,45.1,73.7,8.7,2.9,3.44,
2015-04-01 00:25:00+00:00,100,6.15,,17.83,1.75,,1.75,,,6.8,0.15,4.03,,,264.0,264.0,,,110.0,20.0,340.8,,278.6,88.4,,47.0,76.3,9.1,2.9,3.58,
2015-04-01 00:30:00+00:00,100,6.15,,17.86,1.65,,1.65,,,6.75,0.2,4.01,,,258.0,258.0,,,110.0,20.0,339.3,,276.0,90.1,,47.8,79.0,9.2,2.9,3.39,
2015-04-01 00:35:00+00:00,100,6.1,,17.79,1.75,,1.75,,,6.7,0.25,4.0,,,259.0,259.0,,,110.0,20.0,340.6,,274.8,93.1,,49.9,76.8,9.4,2.92,4.29,
2015-04-01 00:40:00+00:00,100,6.05,,17.56,1.65,,1.65,,,6.7,0.2,3.98,,,256.0,256.0,,,110.0,20.0,340.0,,272.3,96.0,,51.5,81.3,9.6,2.9,4.03,
2015-04-01 00:45:00+00:00,100,6.0,,17.47,1.65,,1.65,,,6.65,0.15,3.96,,,253.8,253.8,,,110.0,20.0,333.3,,272.3,86.8,,45.8,76.9,8.5,2.91,3.22,
2015-04-01 00:50:00+00:00,100,5.9,,17.38,1.65,,1.65,,,6.6,0.2,3.95,,,254.0,254.0,,,110.0,20.0,325.9,,271.8,77.5,,40.5,70.4,7.3,2.94,2.83,
2015-04-01 00:55:00+00:00,95,5.9,,17.31,1.65,,1.65,,,6.65,0.1,3.93,,,254.0,254.0,,,110.0,20.0,331.3,,271.2,85.6,,45.3,75.8,8.1,2.93,3.23,
2015-04-01 01:00:00+00:00,100,5.85,,17.33,2.0,,2.0,,,6.55,0.1,3.91,,,259.0,259.0,,,110.0,20.0,327.5,,272.5,78.3,,41.3,68.7,7.2,2.96,3.26,
2015-04-01 01:05:00+00:00,90,5.8,,17.12,1.65,,1.65,,,6.45,0.15,3.9,,,251.0,251.0,,,110.0,20.0,325.6,,269.4,80.1,,42.0,72.3,7.3,2.95,2.94,
2015-04-01 01:10:00+00:00,100,5.8,,16.92,1.6,,1.6,,,6.5,0.1,3.88,,,253.0,253.0,,,110.0,20.0,328.8,,269.4,84.5,,44.5,75.3,7.7,2.92,3.11,
2015-04-01 01:15:00+00:00,100,5.8,,16.92,1.75,,1.75,,,6.45,0.1,3.86,,,253.0,253.0,,,110.0,20.0,336.4,,269.7,94.4,,50.5,78.6,8.6,2.92,4.18,
2015-04-01 01:20:00+00:00,100,5.7,,16.54,1.7,,1.7,,,6.3,0.1,3.85,,,251.5,251.5,,,110.0,20.0,335.6,,267.9,95.8,,51.4,79.8,8.5,2.9,4.26,
2015-04-01 01:25:00+00:00,100,5.65,,16.28,1.7,,1.7,,,6.3,0.1,3.83,,,251.5,251.5,,,110.0,20.0,341.2,,268.6,102.8,,54.8,85.0,8.9,2.88,4.33,
2015-04-01 01:30:00+00:00,100,5.6,,15.83,1.5,,1.5,,,6.3,0.1,3.81,,,242.0,242.0,,,110.0,20.0,343.8,,268.7,106.6,,56.6,93.3,9.0,2.83,3.44,
2015-04-01 01:35:00+00:00,100,5.55,,15.71,1.65,,1.65,,,6.2,0.1,3.8,,,252.0,252.0,,,110.0,20.0,339.1,,273.2,93.9,,49.1,84.8,7.8,2.83,2.92,
2015-04-01 01:40:00+00:00,95,5.55,,15.75,1.7,,1.7,,,6.25,0.1,3.78,,,255.0,255.0,,,110.0,20.0,344.2,,275.0,98.3,,52.0,86.4,8.2,2.84,3.32,
2015-04-01 01:45:00+00:00,100,5.55,,15.62,1.65,,1.65,,,6.15,0.1,3.77,,,253.0,253.0,,,110.0,20.0,349.0,,274.4,105.9,,56.3,92.1,8.8,2.81,3.55,
2015-04-01 01:50:00+00:00,100,5.5,,15.35,1.8,,1.8,,,6.15,0.1,3.76,,,259.0,259.0,,,110.0,20.0,349.0,,276.7,102.7,,54.3,89.8,8.4,2.79,3.38,
2015-04-01 01:55:00+00:00,100,5.45,,15.27,1.7,,1.7,,,6.1,0.1,3.74,,,257.0,257.0,,,110.0,20.0,344.4,,277.9,94.8,,49.5,85.3,7.6,2.8,2.95,
2015-04-01 02:00:00+00:00,95,5.45,,15.33,1.6,,1.6,,,6.05,0.1,3.73,,,254.0,254.0,,,110.0,20.0,346.0,,277.4,97.7,,51.2,88.3,7.8,2.81,2.94,
2015-04-01 02:05:00+00:00,100,5.4,,15.27,1.65,,1.65,,,6.05,0.15,3.72,,,258.0,258.0,,,110.0,20.0,342.9,,278.6,91.8,,47.9,83.5,7.2,2.83,2.81,
2015-04-01 02:10:00+00:00,95,5.4,,15.16,2.05,,2.05,,,6.1,0.1,3.72,,,270.0,270.0,,,110.0,20.0,346.1,,281.5,92.1,,48.4,81.7,7.3,2.81,3.09,
2015-04-01 02:15:00+00:00,100,5.4,,15.11,1.65,,1.65,,,6.1,0.1,3.71,,,259.0,259.0,,,110.0,20.0,347.8,,279.4,97.6,,51.3,88.1,7.7,2.8,2.96,
2015-04-01 02:20:00+00:00,100,5.4,,15.21,1.7,,1.7,,,6.15,0.15,3.71,,,262.0,262.0,,,110.0,20.0,344.5,,280.4,91.6,,47.9,83.3,7.2,2.82,2.83,
2015-04-01 02:25:00+00:00,95,5.4,,15.31,1.8,,1.8,,,6.15,0.15,3.71,,,265.0,265.0,,,110.0,20.0,342.0,,280.6,87.8,,45.9,80.4,6.9,2.84,2.75,
2015-04-01 02:30:00+00:00,95,5.4,,15.23,1.85,,1.85,,,6.05,0.1,3.72,,,266.0,266.0,,,110.0,20.0,347.6,,280.3,95.8,,50.7,84.4,7.6,2.82,3.23,
2015-04-01 02:35:00+00:00,95,5.45,,15.35,1.65,,1.65,,,6.3,0.2,3.72,,,264.0,264.0,,,110.0,20.0,350.8,,279.3,101.6,,54.3,87.8,8.2,2.82,3.6,
2015-04-01 02:40:00+00:00,100,5.4,,15.46,1.7,,1.7,,,6.25,0.2,3.73,,,263.0,263.0,,,110.0,20.0,338.0,,277.2,86.9,,45.5,79.3,6.9,2.86,2.8,
2015-04-01 02:45:00+00:00,100,5.35,,15.42,1.75,,1.75,,,6.1,0.1,3.74,,,261.5,261.5,,,110.0,20.0,333.5,,275.6,82.8,,43.3,76.1,6.4,2.88,2.72,
2015-04-01 02:50:00+00:00,95,5.45,,15.58,1.65,,1.65,,,6.1,0.15,3.76,,,259.0,259.0,,,110.0,20.0,347.2,,275.1,102.3,,54.9,88.1,8.3,2.86,3.71,
2015-04-01 02:55:00+00:00,100,5.3,,15.74,1.65,,1.65,,,6.0,0.15,3.78,,,259.0,259.0,,,110.0,20.0,321.4,,271.7,71.3,,37.0,67.8,5.4,2.97,2.38,
2015-04-01 03:00:00+00:00,100,5.25,,15.64,1.65,,1.65,,,6.0,0.15,3.8,,,259.0,259.0,,,110.0,20.0,320.3,,268.6,73.9,,38.7,68.8,5.5,2.98,2.6,
2015-04-01 03:05:00+00:00,100,5.35,,15.55,1.7,,1.7,,,5.95,0.35,3.83,,,253.5,253.5,,,110.0,20.0,334.7,,266.9,96.3,,51.5,83.2,7.5,2.91,3.6,
2015-04-01 03:10:00+00:00,95,5.15,,15.47,1.7,,1.7,,,5.8,0.15,3.86,,,254.0,254.0,,,110.0,20.0,312.4,,262.6,71.1,,37.0,66.7,5.1,3.0,2.49,
2015-04-01 03:15:00+00:00,90,5.25,,15.27,1.8,,1.8,,,5.9,0.15,3.89,,,253.0,253.0,,,110.0,20.0,328.6,,263.1,93.1,,49.2,82.2,7.0,2.91,3.19,
2015-04-01 03:20:00+00:00,95,5.3,,15.42,1.7,,1.7,,,5.9,0.2,3.93,,,248.5,248.5,,,110.0,20.0,327.6,,261.9,93.4,,49.4,84.6,7.1,2.91,2.95,
2015-04-01 03:25:00+00:00,100,5.2,,15.41,1.8,,1.8,,,5.8,0.15,3.97,,,251.5,251.5,,,110.0,20.0,316.5,,258.7,82.2,,43.2,76.5,6.1,2.96,2.63,
2015-04-01 03:30:00+00:00,95,5.2,,15.35,1.7,,1.7,,,5.85,0.15,4.01,,,246.5,246.5,,,110.0,20.0,319.3,,256.5,89.1,,47.2,82.1,6.6,2.95,2.78,
2015-04-01 03:35:00+00:00,100,5.25,,15.47,1.9,,1.9,,,5.9,0.15,4.06,,,249.0,249.0,,,110.0,20.0,318.2,,254.5,90.3,,47.7,83.2,6.8,2.95,2.73,
2015-04-01 03:40:00+00:00,100,5.2,,15.69,1.75,,1.75,,,5.9,0.2,4.11,,,244.0,244.0,,,110.0,20.0,303.2,,251.4,73.1,,37.9,73.1,5.4,3.02,2.05,
2015-04-01 03:45:00+00:00,95,5.4,,15.99,1.75,,1.75,,,6.3,0.2,4.16,,,246.0,246.0,,,110.0,20.0,323.4,,251.8,102.1,,55.5,89.2,8.3,2.96,3.59,
2015-04-01 03:50:00+00:00,100,5.5,,16.65,1.85,,1.85,,,6.3,0.15,4.22,,,249.0,249.0,,,110.0,20.0,311.4,,249.9,87.7,,47.6,80.2,7.5,3.03,2.99,
2015-04-01 03:55:00+00:00,100,5.6,,17.26,1.95,,1.95,,,6.2,0.15,4.28,,,251.0,251.0,,,110.0,20.0,301.1,,245.3,79.4,,43.0,75.3,7.1,3.08,2.65,
2015-04-01 04:00:00+00:00,100,5.75,,17.91,1.8,,1.8,,,6.35,0.1,4.34,,,251.0,251.0,,,110.0,20.0,299.7,,239.9,85.8,,47.5,71.3,8.2,3.12,3.74,
2015-04-01 04:05:00+00:00,100,5.7,,18.66,1.8,,1.8,,,6.4,0.1,4.4,,,248.0,248.0,,,110.0,20.0,272.1,,232.4,55.4,,29.9,57.1,5.3,3.27,1.96,
2015-04-01 04:10:00+00:00,80,5.95,,19.17,1.75,,1.75,,,6.65,0.15,4.47,,,243.0,243.0,,,110.0,20.0,279.6,,228.3,72.5,,39.5,63.5,7.4,3.22,2.62,
2015-04-01 04:15:00+00:00,100,6.15,,19.87,1.9,,1.9,,,6.75,0.3,4.54,,,241.0,241.0,,,110.0,20.0,279.0,,223.4,79.2,,43.4,65.7,8.7,3.23,3.2,
2015-04-01 04:20:00+00:00,100,6.25,,20.67,1.85,,1.85,,,6.9,0.05,4.61,,,238.0,238.0,,,110.0,20.0,268.7,,221.6,66.5,,36.1,51.6,7.5,3.31,3.08,
2015-04-01 04:25:00+00:00,95,6.45,,21.6,2.05,,2.05,,,7.15,0.15,4.68,,,236.0,236.0,,,110.0,20.0,263.4,,216.6,66.3,,36.5,57.6,8.1,3.35,2.58,
2015-04-01 04:30:00+00:00,100,6.65,,22.54,2.1,,2.1,,,7.05,0.1,4.75,,,233.5,233.5,,,110.0,20.0,257.8,,212.9,63.4,,34.7,52.4,8.3,3.39,2.67,
2015-04-01 04:35:00+00:00,0,6.8,2.0,23.13,1.55,,1.75,1.55,1.71,7.45,0.1,4.82,,,143.7,231.0,119.8,,104.2,14.1,,,,,,,,,3.4,,
2015-04-01 04:40:00+00:00,80,6.9,,23.8,1.55,,2.15,1.55,1.76,7.6,0.1,4.89,,,228.5,228.5,120.0,,102.7,12.6,255.2,,209.0,66.3,,36.5,47.7,9.3,3.45,4.45,
2015-04-01 04:45:00+00:00,100,7.012,,24.35,1.75,,2.15,1.75,2.06,7.65,0.1,4.96,,,176.0,176.0,118.5,,111.2,21.0,247.5,,200.3,67.9,,37.8,50.8,10.0,3.48,3.74,
2015-04-01 04:50:00+00:00,100,7.05,,24.55,1.6,,2.35,1.6,1.96,7.7,0.1,5.03,,,216.0,216.0,114.0,,104.1,14.0,242.8,,199.3,61.3,,33.5,47.1,9.0,3.48,3.05,
2015-04-01 04:55:00+00:00,100,7.075,,24.36,1.5,,2.1,1.5,2.01,7.65,0.15,5.1,,,160.0,160.0,110.0,,103.2,13.0,239.9,,195.9,61.9,,35.1,58.2,9.6,3.45,2.53,
2015-04-01 05:00:00+00:00,0,7.1,2.35,24.19,1.7,,2.15,1.7,1.96,7.85,0.1,5.17,,,141.0,221.0,111.7,,100.7,10.6,,,,,,,,,3.41,,
2015-04-01 05:05:00+00:00,100,7.3,,24.62,1.7,2.2,2.6,1.7,2.11,7.9,0.1,5.24,2.15,,221.0,221.0,107.7,125.0,100.8,10.7,254.6,,196.4,83.7,,46.7,65.4,13.2,3.37,3.49,
2015-04-01 05:10:00+00:00,100,7.325,,24.99,1.8,,2.35,1.8,2.16,8.0,0.15,5.3,,,164.0,164.0,107.5,,100.7,10.5,243.3,,194.6,67.5,,37.6,64.6,11.0,3.42,2.24,
2015-04-01 05:15:00+00:00,100,7.4,,24.92,1.85,2.25,2.55,1.85,2.16,8.0,0.1,5.37,2.2,,226.5,226.5,107.7,117.5,100.4,10.2,258.5,,199.1,85.7,,47.3,65.2,13.7,3.37,4.0,
2015-04-01 05:20:00+00:00,95,7.6,,25.02,1.55,,2.75,1.55,2.31,8.3,0.15,5.43,,,224.0,224.0,105.5,,102.1,11.9,255.9,,196.9,82.5,,45.7,76.3,14.2,3.29,2.35,
2015-04-01 05:25:00+00:00,0,7.7,2.65,26.26,1.0,2.45,2.45,1.0,2.36,8.35,0.1,5.49,2.4,,139.0,223.5,101.0,126.3,102.7,12.5,,,,,,,,,3.41,,
2015-04-01 05:30:00+00:00,95,7.9,,26.96,1.1,2.5,2.85,1.1,2.36,8.5,0.1,5.55,2.4,,222.0,222.0,101.6,123.3,101.8,11.6,253.6,,199.2,78.6,,44.9,61.6,15.0,3.41,3.43,
2015-04-01 05:35:00+00:00,95,7.975,3.27,27.25,1.6,,2.8,1.6,2.31,8.65,0.15,5.61,,,223.0,231.0,103.4,,99.8,9.6,243.7,162.5,199.7,59.4,27.0,34.4,68.7,11.9,3.43,1.75,0.54
2015-04-01 05:40:00+00:00,95,8.0,,27.76,1.15,2.55,2.75,1.15,2.36,8.65,0.1,5.66,2.4,,152.0,152.0,100.2,115.0,100.3,10.1,241.6,,197.9,60.9,,35.1,59.5,12.3,3.47,2.21,
2015-04-01 05:45:00+00:00,95,8.125,,28.08,1.5,,2.75,1.5,2.51,8.75,0.15,5.72,,,142.0,142.0,102.6,,101.8,11.6,241.5,,195.6,64.7,,37.8,59.0,13.6,3.47,2.71,
2015-04-01 05:50:00+00:00,95,8.05,,28.26,1.9,,2.85,1.9,2.56,8.8,0.1,5.77,,,147.0,147.0,105.5,,101.5,11.2,237.7,,192.7,63.2,,36.6,60.5,13.0,3.51,2.28,
2015-04-01 05:55:00+00:00,75,8.025,2.96,27.66,1.6,,2.85,1.6,2.61,8.65,0.15,5.82,,,156.0,228.0,102.6,,101.8,11.6,240.6,125.5,191.6,67.2,3.8,38.6,81.0,13.4,3.46,1.48,2.11
2015-04-01 06:00:00+00:00,75,7.95,,27.42,1.7,2.7,3.1,1.7,2.56,8.6,0.15,5.86,2.6,,228.0,228.0,104.0,120.0,101.3,11.1,240.8,,192.6,67.5,,38.5,63.8,13.2,3.45,2.12,
2015-04-01 06:05:00+00:00,95,7.9,,27.1,1.8,3.05,3.15,1.8,2.61,8.55,0.1,5.9,2.65,,226.0,226.0,104.2,125.8,101.0,10.8,241.5,,189.9,72.1,,40.8,67.6,13.8,3.43,2.16,
2015-04-01 06:10:00+00:00,70,7.85,,26.48,1.8,3.2,3.3,1.8,2.71,8.5,0.1,5.95,2.5,,224.0,224.0,104.0,126.3,101.8,11.6,251.4,,187.1,93.0,,52.6,72.0,17.2,3.37,3.77,
2015-04-01 06:15:00+00:00,70,7.975,3.35,25.66,1.45,2.85,3.0,1.45,2.71,8.45,0.1,5.99,2.5,,133.5,218.0,101.7,128.3,102.2,12.0,264.5,127.8,185.0,114.2,14.8,63.9,115.3,21.1,3.23,2.43,1.64
2015-04-01 06:20:00+00:00,100,7.95,,26.25,1.8,3.15,3.35,1.8,2.71,8.7,0.1,6.02,2.5,,219.0,219.0,103.8,117.5,101.3,11.1,254.6,,190.4,90.1,,51.4,83.4,17.3,3.3,2.68,
2015-04-01 06:25:00+00:00,75,7.95,,26.32,1.85,,3.1,1.85,2.71,8.7,0.1,6.06,,,136.0,136.0,103.9,,100.9,10.7,249.6,,188.7,84.3,,48.2,82.7,16.4,3.31,2.41,
2015-04-01 06:30:00+00:00,75,8.1,,25.84,1.9,,3.15,1.9,2.71,8.7,0.15,6.1,,,136.0,136.0,104.5,,100.6,10.4,262.5,,187.0,104.1,,57.8,104.2,20.1,3.19,2.27,
2015-04-01 06:35:00+00:00,75,8.25,,26.88,2.05,3.05,3.05,2.05,2.76,8.95,0.1,6.13,2.8,,134.0,134.0,105.7,117.5,100.9,10.7,254.5,,191.6,84.9,,48.8,98.6,17.9,3.26,1.73,
2015-04-01 06:40:00+00:00,100,8.3,,27.46,2.05,3.05,3.25,2.05,2.81,8.9,0.15,6.16,2.9,,139.0,139.0,105.4,117.5,101.0,10.8,250.7,,190.6,81.5,,47.4,91.5,17.6,3.31,1.93,
2015-04-01 06:45:00+00:00,95,8.3,,27.36,1.9,3.1,3.2,1.9,2.81,8.9,0.1,6.2,2.85,,144.0,144.0,104.1,115.0,101.2,11.0,256.4,,189.9,92.7,,52.9,86.7,19.4,3.3,2.71,
2015-04-01 06:50:00+00:00,90,8.275,4.97,26.67,1.9,3.15,3.4,1.9,2.81,8.95,0.1,6.23,2.85,,216.0,241.5,104.7,115.0,101.1,10.9,260.6,176.4,190.0,99.1,30.9,56.0,93.7,20.2,3.23,2.89,0.36
2015-04-01 06:55:00+00:00,70,8.425,4.77,26.02,2.1,3.15,3.3,2.1,2.86,9.0,0.15,6.26,2.9,,141.0,241.0,103.5,115.0,99.9,9.7,263.0,167.6,189.4,95.1,35.0,55.8,109.0,21.0,3.1,1.87,0.19
2015-04-01 07:00:00+00:00,100,8.4,,26.94,2.05,3.25,3.35,2.05,2.96,9.05,0.1,6.29,3.0,,142.0,142.0,104.0,133.3,101.6,11.3,260.4,,192.5,91.0,,52.7,103.3,20.0,3.21,1.86,
2015-04-01 07:05:00+00:00,95,8.45,,27.18,2.0,3.3,3.65,2.0,2.91,9.1,0.1,6.33,2.95,,208.5,208.5,104.1,117.5,101.1,10.8,262.0,,194.8,92.2,,53.2,93.5,20.4,3.22,2.33,
2015-04-01 07:10:00+00:00,95,8.55,,27.35,2.05,3.35,3.5,2.05,2.96,9.25,0.1,6.36,3.0,,206.5,206.5,103.6,129.2,100.8,10.6,263.3,,194.3,94.2,,53.9,95.7,21.1,3.2,2.23,
2015-04-01 07:15:00+00:00,100,8.6,,27.65,1.9,3.35,3.75,1.9,2.91,9.3,0.15,6.39,2.95,,201.5,201.5,103.0,115.0,100.6,10.4,257.0,,195.2,82.0,,47.5,98.2,19.1,3.21,1.62,
2015-04-01 07:20:00+00:00,95,8.6,,28.2,2.2,3.2,3.6,2.2,2.91,9.35,0.1,6.43,2.95,,201.0,201.0,105.7,115.0,100.4,10.2,253.1,,196.6,75.2,,44.3,89.7,17.9,3.28,1.69,
2015-04-01 07:25:00+00:00,95,8.65,,28.38,2.6,3.55,3.7,2.6,3.06,9.3,0.1,6.47,3.1,,207.0,207.0,104.9,117.5,99.2,9.0,254.1,,193.2,82.9,,48.5,83.5,19.6,3.28,2.28,
