Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,fbEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2015-12-01 00:00:00+00:00,75,2.775,,8.13,1.77,,1.77,,,3.4,0.15,3.54,,,277.0,277.0,,,110.0,20.0,331.4,,276.0,78.8,,43.0,65.8,1.7,2.93,3.79,
2015-12-01 00:05:00+00:00,100,2.8,,8.16,1.98,,1.98,,,3.47,0.05,3.56,,,299.0,299.0,,,110.0,20.0,335.0,,278.4,81.0,,44.5,66.7,1.8,2.91,4.25,
2015-12-01 00:10:00+00:00,100,2.8,,8.22,1.83,,1.83,,,3.35,0.08,3.57,,,292.0,292.0,,,110.0,20.0,327.9,,277.0,72.3,,39.0,63.6,1.6,2.94,3.32,
2015-12-01 00:15:00+00:00,75,2.8,,8.3,1.88,,1.88,,,3.47,0.1,3.58,,,296.8,296.8,,,110.0,20.0,322.5,,276.5,65.4,,35.0,61.7,1.4,2.97,2.63,
2015-12-01 00:20:00+00:00,100,2.875,,8.37,1.9,,1.9,,,3.45,0.08,3.59,,,297.0,297.0,,,110.0,20.0,339.5,,281.1,83.3,,45.8,69.2,2.0,2.91,4.02,
2015-12-01 00:25:00+00:00,80,2.85,,8.37,1.7,,1.7,,,3.47,0.08,3.59,,,285.0,285.0,,,110.0,20.0,330.5,,274.1,80.2,,43.8,67.5,1.8,2.94,3.85,
2015-12-01 00:30:00+00:00,80,2.85,,8.34,1.95,,1.95,,,3.47,0.08,3.59,,,302.0,302.0,,,110.0,20.0,334.3,,280.0,77.5,,42.4,64.6,1.8,2.92,4.01,
2015-12-01 00:35:00+00:00,100,2.875,,8.36,1.83,,1.83,,,3.53,0.13,3.59,,,294.5,294.5,,,110.0,20.0,337.5,,280.0,81.9,,44.8,68.5,1.9,2.91,3.93,
2015-12-01 00:40:00+00:00,100,2.85,,8.4,1.73,,1.73,,,3.42,0.08,3.58,,,291.5,291.5,,,110.0,20.0,327.0,,276.6,71.6,,38.6,63.3,1.6,2.95,3.24,
2015-12-01 00:45:00+00:00,80,2.825,,8.32,1.67,,1.67,,,3.45,0.1,3.57,,,288.0,288.0,,,110.0,20.0,324.1,,275.1,69.6,,37.1,63.9,1.6,2.94,2.81,
2015-12-01 00:50:00+00:00,100,2.775,,8.25,2.1,,2.1,,,3.38,0.15,3.56,,,319.8,319.8,,,110.0,20.0,320.6,,278.7,59.5,,31.1,61.0,1.3,2.97,1.94,
2015-12-01 00:55:00+00:00,100,2.875,,8.2,1.75,,1.75,,,3.45,0.08,3.55,,,297.0,297.0,,,110.0,20.0,343.9,,284.1,85.0,,46.1,72.8,2.0,2.85,3.55,
2015-12-01 01:00:00+00:00,95,2.85,,8.22,2.03,,2.03,,,3.47,0.08,3.53,,,316.5,316.5,,,110.0,20.0,338.7,,284.8,77.0,,41.6,72.2,1.8,2.88,2.76,
2015-12-01 01:05:00+00:00,100,2.9,,8.31,1.75,,1.75,,,3.5,0.05,3.51,,,301.0,301.0,,,110.0,20.0,341.6,,283.7,82.5,,44.7,71.4,2.0,2.87,3.5,
2015-12-01 01:10:00+00:00,100,2.925,,8.4,1.65,,1.65,,,3.55,0.05,3.48,,,299.0,299.0,,,110.0,20.0,337.0,,281.4,79.1,,42.6,72.1,1.9,2.87,2.97,
2015-12-01 01:15:00+00:00,80,2.925,,8.58,1.73,,1.73,,,3.53,0.05,3.45,,,301.0,301.0,,,110.0,20.0,331.4,,279.7,73.8,,39.8,68.6,1.8,2.93,2.8,
2015-12-01 01:20:00+00:00,95,2.925,,8.61,1.75,,1.75,,,3.6,0.08,3.43,,,297.0,297.0,,,110.0,20.0,324.2,,278.3,65.3,,34.6,63.4,1.6,2.94,2.33,
2015-12-01 01:25:00+00:00,100,2.975,,8.7,1.92,,1.92,,,3.6,0.05,3.39,,,307.0,307.0,,,110.0,20.0,330.7,,279.9,72.4,,39.1,67.1,1.8,2.92,2.85,
2015-12-01 01:30:00+00:00,80,3.0,,8.82,1.95,,1.95,,,3.63,0.08,3.36,,,305.8,305.8,,,110.0,20.0,334.6,,281.0,76.6,,41.8,67.8,2.0,2.94,3.38,
2015-12-01 01:35:00+00:00,80,2.975,,8.86,1.83,,1.83,,,3.63,0.05,3.33,,,295.0,295.0,,,110.0,20.0,325.8,,275.5,71.7,,39.0,63.3,1.8,2.98,3.34,
2015-12-01 01:40:00+00:00,100,2.8,,8.7,1.88,,1.88,,,3.55,0.13,3.29,,,296.0,296.0,,,110.0,20.0,306.8,,268.4,54.7,,29.0,54.2,1.2,3.11,2.19,
2015-12-01 01:45:00+00:00,75,2.9,,8.62,1.75,,1.75,,,3.55,0.17,3.25,,,293.0,293.0,,,110.0,20.0,320.5,,275.1,64.5,,34.2,62.3,1.5,2.97,2.37,
2015-12-01 01:50:00+00:00,100,2.9,,8.54,1.95,,1.95,,,3.55,0.17,3.21,,,307.3,307.3,,,110.0,20.0,325.0,,278.2,66.6,,35.4,64.8,1.6,2.94,2.33,
