column,mean_availability
foF2p,100.0
CS,100.0
Time,100.0
fmin,99.72968768810915
hmE,98.86477131612288
yE,98.86477131612288
fminF,97.56131906003588
foF2,97.56131906003588
hF,97.56131906003588
hF2,97.56131906003588
MD,97.51966815435821
MUFD,97.51966815435821
FF,97.45878736734414
fxI,97.40326546390544
halfNm,94.45340324278403
caleF2,94.45340324278403
hmF2,94.45340324278403
B0,94.45340324278403
yF2,94.45340324278403
B1,94.45340324278403
TEC,94.44180500571606
minEs,42.4088192898036
foEs,42.4088192898036
hEs,42.4088192898036
foE,34.53275947853484
fminE,34.53275947853484
hE,34.53275947853484
foF1,17.824289700334564
hmF1,17.22499152471838
yF1,17.20812514933932
D1,16.83135123009642
fbEs,15.886185111326748
QF,0.35697574806348625
peEs,0.0
hEa_QD,0.0
yF1_QD,0.0
hEs_QD,0.0
yE_QD,0.0
peEs_QD,0.0
hEa,0.0
hmF1_QD,0.0
hmE_QD,0.0
hF_QD,0.0
minEs_QD,0.0
hP,0.0
hP_QD,0.0
hmF2_QD,0.0
halfNm_QD,0.0
hF2_QD,0.0
foF1_QD,0.0
hE_QD,0.0
fxI_QD,0.0
B1_QD,0.0
D1_QD,0.0
FE,0.0
FE_QD,0.0
FF_QD,0.0
MD_QD,0.0
MUFD_QD,0.0
QE,0.0
QE_QD,0.0
QF_QD,0.0
TEC_QD,0.0
caleF2_QD,0.0
fbEs_QD,0.0
fminE_QD,0.0
fminF_QD,0.0
fmin_QD,0.0
foE_QD,0.0
foEa,0.0
foEa_QD,0.0
foEs_QD,0.0
B0_QD,0.0
foF2_QD,0.0
foF2p_QD,0.0
foP,0.0
foP_QD,0.0
yF2_QD,0.0
