Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,fbEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2022-09-01 00:00:00+00:00,65,3.71,,10.24,1.64,3.88,2.48,,,4.26,0.31,3.45,1.64,2.48,335.0,335.0,,100.0,110.0,20.0,356.2,,300.9,79.3,,41.5,78.1,3.0,2.76,2.15,
2022-09-01 00:05:00+00:00,45,3.5,,10.18,1.8,7.05,2.47,,,4.15,0.17,3.44,1.8,2.47,342.5,342.5,,97.5,110.0,20.0,338.6,,294.6,63.4,,32.2,67.0,2.1,2.91,1.69,
2022-09-01 00:10:00+00:00,65,3.36,,10.12,1.72,8.4,2.13,,,4.36,0.46,3.43,1.72,2.13,322.5,322.5,,97.5,110.0,20.0,323.4,,287.0,52.7,,26.6,58.0,1.6,3.01,1.51,
2022-09-01 00:15:00+00:00,65,3.605,,10.29,1.68,3.01,2.48,,,4.26,0.07,3.42,1.68,2.48,362.5,362.5,,97.5,110.0,20.0,348.5,,299.6,70.4,,36.5,72.7,2.5,2.85,1.85,
2022-09-01 00:20:00+00:00,25,3.225,,9.94,1.5,5.68,2.83,,,3.78,0.05,3.41,1.5,2.83,365.0,365.0,,106.3,110.0,20.0,314.5,,278.9,51.1,,25.8,54.7,1.5,3.08,1.62,
2022-09-01 00:25:00+00:00,75,,,,,7.21,,,,,,5.82,1.86,,,,,100.0,,,,,,,,,,,,,
2022-09-01 00:30:00+00:00,75,,,,,5.91,,,,,,5.79,1.54,,,,,97.5,,,,,,,,,,,,,
2022-09-01 00:35:00+00:00,75,,,,,5.93,,,,,,5.76,2.47,,,,,97.5,,,,,,,,,,,,,
2022-09-01 00:40:00+00:00,75,,,,,4.69,,,,,,5.73,1.64,,,,,106.3,,,,,,,,,,,,,
2022-09-01 00:45:00+00:00,75,,,,,6.13,,,,,,5.7,2.45,,,,,97.5,,,,,,,,,,,,,
2022-09-01 00:50:00+00:00,75,,,,,6.15,,,,,,5.67,1.85,,,,,100.0,,,,,,,,,,,,,
2022-09-01 00:55:00+00:00,75,,,,,7.18,,,,,,5.64,2.13,,,,,97.5,,,,,,,,,,,,,
2022-09-01 01:00:00+00:00,75,,,,,7.03,,,,,,5.6,1.15,,,,,97.5,,,,,,,,,,,,,
2022-09-01 01:05:00+00:00,25,,,,,3.2,,,,,,5.57,1.73,,,,,97.5,,,,,,,,,,,,,
2022-09-01 01:10:00+00:00,75,,,,,7.18,,,,,,5.53,1.4,,,,,97.5,,,,,,,,,,,,,
