column,mean_availability
Time,100.0
foF2p,91.66666666666667
CS,91.66666666666667
fmin,86.09736055037013
hmE,82.42179843418018
yE,82.42179843418018
halfNm,81.00408362816115
caleF2,81.00408362816115
hF,75.53034779058626
fminF,75.53034779058626
hF2,75.53034779058626
foF2,75.53034779058626
MD,75.45793179559224
MUFD,75.45793179559224
fxI,75.29726185161601
FF,75.0449714649999
hmF2,74.2537433258144
B0,74.2537433258144
B1,74.2537433258144
yF2,74.2482815172197
TEC,73.77376251373325
minEs,42.49969319821616
foEs,38.95805209836481
hEs,38.95805209836481
foE,36.23995425251842
fminE,36.23995425251842
hE,35.9197549138756
foF1,13.672482058405237
hmF1,13.13942244430657
yF1,13.134125087983294
D1,12.390920230070394
fbEs,10.037945335149084
QF,0.36561321460043167
hEa_QD,0.0
yF2_QD,0.0
hEs_QD,0.0
yF1_QD,0.0
yE_QD,0.0
scaleF2,0.0
hF2_QD,0.0
hmF1_QD,0.0
hEa,0.0
peEs_QD,0.0
hP,0.0
hP_QD,0.0
peEs,0.0
halfNm_QD,0.0
minEs_QD,0.0
hmF2_QD,0.0
hmE_QD,0.0
hF_QD,0.0
foF1_QD,0.0
hE_QD,0.0
fxI_QD,0.0
B1_QD,0.0
D1_QD,0.0
FE,0.0
FE_QD,0.0
FF_QD,0.0
MD_QD,0.0
MUFD_QD,0.0
QE,0.0
QE_QD,0.0
QF_QD,0.0
TEC_QD,0.0
TypeEs,0.0
caleF2_QD,0.0
fbEs_QD,0.0
fminE_QD,0.0
fminEs,0.0
fminF_QD,0.0
fmin_QD,0.0
foE_QD,0.0
foEa,0.0
foEa_QD,0.0
foEs_QD,0.0
B0_QD,0.0
foF2_QD,0.0
foF2p_QD,0.0
foP,0.0
foP_QD,0.0
zhalfNm,0.0
