Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,FE,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2011-10-01 00:00:00+00:00,100,3.975,,11.6,3.55,,3.55,,,4.55,0.03,,3.38,,371.0,,,,110.0,20.0,340.0,,293.8,66.4,,34.8,66.4,2.9,2.92,2.07,
2011-10-01 00:30:00+00:00,100,3.725,,11.67,2.55,,2.55,,,4.28,,,3.42,,291.0,,,,110.0,20.0,306.4,,270.5,51.4,,27.3,49.7,2.0,3.13,2.4,
2011-10-01 00:45:00+00:00,100,3.6,,10.91,2.65,,2.65,,,4.18,0.03,,3.39,,309.0,,,,110.0,20.0,317.3,,277.0,57.9,,30.6,56.8,2.1,3.03,2.24,
2011-10-01 01:00:00+00:00,100,3.6,,10.11,2.58,,2.58,,,4.15,,,3.33,,338.0,,,,110.0,20.0,348.5,,296.6,74.5,,39.2,74.2,2.7,2.81,2.12,
2011-10-01 01:15:00+00:00,100,3.625,,9.63,2.6,,2.6,,,4.18,,,3.25,,360.0,,,,110.0,20.0,379.3,,314.0,93.6,,49.7,91.3,3.4,2.65,2.3,
2011-10-01 01:30:00+00:00,100,3.875,,9.59,3.05,,3.05,,,4.43,,,3.15,,413.0,,,,110.0,20.0,425.0,,341.0,120.7,,64.0,116.7,5.0,2.47,2.37,
2011-10-01 01:45:00+00:00,100,3.6,,9.71,2.55,,2.55,,,4.15,,,3.06,,365.0,,,,110.0,20.0,370.7,,309.9,87.3,,45.6,88.0,3.1,2.7,2.02,
2011-10-01 02:15:00+00:00,100,3.55,,9.63,2.92,,2.92,,,4.1,,,2.89,,395.0,,,,110.0,20.0,367.4,,305.8,88.4,,46.5,88.1,3.1,2.71,2.11,
2011-10-01 02:30:00+00:00,100,3.475,,9.69,3.1,,3.1,,,4.03,,,2.85,,408.0,,,,110.0,20.0,349.6,,296.0,77.0,,39.9,79.0,2.6,2.79,1.89,
2011-10-01 03:00:00+00:00,100,3.75,,10.19,2.8,,2.8,,,4.3,,,2.89,,361.0,,,,110.0,20.0,367.3,,303.2,92.0,,48.7,90.2,3.6,2.72,2.25,
2011-10-01 03:15:00+00:00,100,3.75,,10.19,1.9,,1.9,,,4.3,,,2.97,,333.0,,,,110.0,20.0,364.4,,302.0,89.6,,47.2,90.4,3.5,2.72,2.03,
2011-10-01 03:30:00+00:00,100,3.75,,10.89,2.83,,2.83,,,4.3,,,3.09,,338.0,,,,110.0,20.0,325.4,,274.0,73.3,,38.4,75.7,2.9,2.9,1.9,
2011-10-01 03:45:00+00:00,100,3.9,,11.89,1.7,,1.7,,,4.45,,,3.26,,258.0,,,,110.0,20.0,304.0,,250.7,75.7,,40.6,72.5,3.2,3.05,2.57,
2011-10-01 04:15:00+00:00,50,4.55,,16.17,3.72,,3.72,,,5.13,0.03,,3.67,,282.0,,,,110.0,20.0,239.8,,205.9,45.4,,23.6,54.0,2.7,3.55,1.37,
