Time,CS,foF2,MUFD,fmin,fminF,fxI,foF2p,hF,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2011-12-01 00:45:00+00:00,100,3.725,11.56,2.25,2.25,4.3,3.35,268.0,110.0,20.0,305.4,266.1,55.8,30.5,48.8,2.2,3.1,4.08
2011-12-01 01:00:00+00:00,100,3.65,11.63,3.15,3.15,4.2,3.3,320.0,110.0,20.0,302.0,270.0,45.9,24.1,45.9,1.7,3.18,2.08
2011-12-01 01:30:00+00:00,100,3.575,11.59,2.5,2.5,4.13,3.14,270.0,110.0,20.0,291.8,259.9,45.6,24.7,41.8,1.6,3.24,3.14
2011-12-01 02:15:00+00:00,100,3.325,9.71,3.13,3.13,3.88,2.81,395.0,110.0,20.0,334.9,287.8,67.5,35.5,67.8,2.1,2.92,2.06
2011-12-01 02:30:00+00:00,100,3.3,9.79,2.63,2.63,3.85,2.71,325.0,110.0,20.0,323.1,279.1,63.0,33.3,62.3,1.9,2.96,2.2
2011-12-01 03:00:00+00:00,100,3.25,9.64,2.5,2.5,3.8,2.59,318.0,110.0,20.0,323.3,278.0,64.9,34.5,63.3,1.9,2.96,2.32
2011-12-01 03:15:00+00:00,100,3.825,10.16,3.05,3.05,4.38,2.57,414.0,110.0,20.0,378.6,319.0,86.2,43.9,91.5,3.4,2.66,1.65
2011-12-01 03:30:00+00:00,100,4.475,12.17,3.08,3.08,5.03,2.58,420.0,110.0,20.0,384.3,332.6,76.5,37.1,90.1,4.1,2.72,1.13
2011-12-01 03:45:00+00:00,100,4.475,12.94,2.92,2.92,5.03,2.63,385.0,110.0,20.0,354.4,310.7,64.7,31.2,76.9,3.5,2.89,1.1
2011-12-01 04:00:00+00:00,100,3.25,9.53,2.67,2.67,3.8,2.71,344.0,110.0,20.0,327.6,277.3,71.9,38.0,71.6,2.1,2.93,2.15
2011-12-01 04:15:00+00:00,100,4.475,10.18,1.75,1.75,5.03,2.82,275.0,110.0,20.0,429.0,311.3,166.7,86.8,175.1,8.9,2.28,2.02
2011-12-01 04:30:00+00:00,100,3.55,11.27,1.8,1.8,4.18,2.96,259.0,110.0,20.0,288.0,245.1,60.9,32.6,58.0,2.2,3.18,2.63
2011-12-01 04:45:00+00:00,100,4.425,13.19,2.47,2.47,4.97,3.13,250.0,110.0,20.0,304.2,247.0,81.1,43.4,74.4,4.4,2.98,3.09
2011-12-01 05:00:00+00:00,50,4.475,15.65,3.47,3.47,5.03,3.31,255.0,110.0,20.0,251.0,220.3,43.2,23.0,44.4,2.5,3.5,2.03
2011-12-01 05:30:00+00:00,100,5.475,21.88,2.08,2.08,6.03,3.69,214.0,110.0,20.0,211.0,194.9,22.1,12.7,28.6,2.3,4.0,1.21
2011-12-01 06:00:00+00:00,50,7.05,25.87,4.07,4.07,7.6,4.09,214.0,110.0,20.0,219.6,182.4,51.5,28.0,54.9,7.5,3.67,1.91
2011-12-01 06:15:00+00:00,70,6.4,24.29,3.8,3.8,6.95,4.29,205.0,110.0,20.0,207.3,173.9,44.4,24.5,52.4,5.6,3.8,1.55
2011-12-01 06:30:00+00:00,70,7.1,27.9,3.17,3.17,7.65,4.47,215.0,110.0,20.0,206.0,183.4,29.8,17.8,42.4,5.3,3.93,1.07
2011-12-01 06:45:00+00:00,50,6.975,25.7,5.15,5.15,7.53,4.64,235.0,110.0,20.0,216.2,172.5,60.3,33.5,64.0,8.8,3.68,2.04
2011-12-01 07:15:00+00:00,70,7.825,28.75,3.4,3.4,8.38,4.94,219.0,110.0,20.0,223.2,188.6,45.9,26.9,60.2,9.3,3.67,1.27
2011-12-01 07:30:00+00:00,70,6.95,27.91,3.53,3.53,7.5,5.07,214.0,110.0,20.0,196.4,172.1,29.3,18.4,47.9,5.3,4.01,1.0
2011-12-01 07:45:00+00:00,100,7.7,25.7,3.4,3.4,8.25,5.18,219.0,110.0,20.0,242.9,188.6,72.8,41.0,80.8,13.2,3.34,1.83
2011-12-01 08:00:00+00:00,0,8.85,29.9,3.67,3.67,9.4,,225.0,110.0,20.0,,,,,,,3.38,
2011-12-01 08:30:00+00:00,70,7.3,27.5,2.55,4.15,7.85,5.42,249.0,104.1,13.8,210.2,175.7,37.9,25.3,66.7,7.9,3.77,1.0
2011-12-01 08:45:00+00:00,0,11.425,43.76,3.8,3.8,11.98,5.47,234.0,110.0,20.0,223.9,203.4,28.0,16.6,39.9,13.0,3.83,1.0
2011-12-01 09:00:00+00:00,70,8.525,33.15,4.72,4.72,9.07,5.52,213.0,110.0,20.0,200.5,169.3,39.5,23.2,57.9,9.6,3.89,1.04
2011-12-01 09:15:00+00:00,70,9.05,30.55,5.1,5.1,9.6,5.56,229.0,110.0,20.0,237.5,182.6,73.4,40.9,82.2,18.1,3.38,1.74
2011-12-01 09:30:00+00:00,50,8.875,30.09,6.32,6.32,9.43,5.59,250.0,110.0,20.0,232.4,175.5,74.8,40.9,88.4,17.4,3.39,1.53
2011-12-01 10:00:00+00:00,50,9.75,31.86,7.5,7.5,10.3,5.66,305.0,110.0,20.0,245.4,183.7,78.5,41.4,107.7,21.5,3.27,1.09
2011-12-01 10:15:00+00:00,0,8.7,28.48,3.03,4.43,9.25,,215.0,100.4,10.2,,,,,,,3.27,
2011-12-01 10:30:00+00:00,70,8.725,28.47,5.03,5.03,9.27,5.73,235.0,110.0,20.0,250.6,183.5,91.8,51.1,96.2,20.6,3.26,2.1
2011-12-01 10:45:00+00:00,70,9.2,29.62,5.1,5.1,9.75,5.76,254.0,110.0,20.0,254.5,195.1,78.1,44.1,88.6,20.3,3.22,1.62
2011-12-01 11:00:00+00:00,50,9.775,30.95,4.05,6.03,10.32,5.79,280.0,110.0,20.0,262.4,199.5,81.7,44.9,99.1,23.4,3.17,1.33
2011-12-01 11:15:00+00:00,50,8.625,31.52,3.72,5.93,9.18,5.82,258.0,110.0,20.0,215.8,172.4,52.3,29.1,78.9,12.2,3.65,1.0
2011-12-01 11:30:00+00:00,70,9.625,33.29,4.7,4.7,10.18,5.83,259.0,110.0,20.0,241.1,203.1,49.0,29.2,72.5,15.5,3.46,1.0
2011-12-01 11:45:00+00:00,50,8.475,32.83,5.55,5.55,9.02,5.83,240.0,110.0,20.0,204.0,169.2,41.5,23.7,64.2,9.7,3.87,1.0
2011-12-01 12:00:00+00:00,50,9.025,31.04,8.65,8.65,9.57,5.8,315.0,110.0,20.0,217.2,168.6,65.8,35.7,71.7,15.6,3.44,1.85
2011-12-01 12:15:00+00:00,50,8.525,30.33,6.13,6.13,9.07,5.76,245.0,110.0,20.0,219.1,171.4,61.6,33.6,78.8,13.3,3.56,1.3
2011-12-01 12:45:00+00:00,50,10.0,34.19,8.13,8.13,10.55,5.58,284.0,110.0,20.0,230.0,180.4,66.2,34.9,80.0,18.9,3.42,1.38
2011-12-01 13:00:00+00:00,50,8.175,30.4,5.55,5.55,8.73,5.45,240.0,110.0,20.0,210.7,171.9,48.9,26.8,65.9,10.0,3.72,1.15
2011-12-01 13:30:00+00:00,50,8.725,29.46,5.28,5.28,9.27,5.12,235.0,110.0,20.0,241.0,189.0,70.9,38.6,79.1,15.8,3.38,1.72
2011-12-01 14:00:00+00:00,0,9.925,33.15,3.25,3.25,10.48,4.71,225.0,110.0,20.0,255.3,209.1,64.9,35.5,68.7,18.9,3.34,1.91
2011-12-01 14:15:00+00:00,0,9.175,34.3,3.78,3.78,9.73,4.48,224.0,110.0,20.0,222.9,197.4,35.7,20.0,45.4,9.6,3.74,1.21
2011-12-01 14:45:00+00:00,70,6.85,28.72,3.1,3.1,7.4,4.03,204.0,110.0,20.0,195.9,181.6,19.6,11.2,27.7,3.2,4.19,1.0
2011-12-01 15:15:00+00:00,70,6.675,21.08,2.45,2.45,7.22,3.6,194.0,110.0,20.0,276.6,204.9,100.8,53.0,93.9,12.1,3.16,2.9
2011-12-01 15:30:00+00:00,70,5.05,19.71,2.67,2.67,5.6,3.4,213.0,110.0,20.0,220.6,204.5,22.7,12.0,23.9,1.7,3.9,1.86
2011-12-01 16:00:00+00:00,100,4.575,16.06,2.22,2.22,5.13,3.07,203.0,110.0,20.0,243.0,206.3,51.9,28.1,44.9,3.0,3.51,4.25
2011-12-01 16:15:00+00:00,100,4.5,16.15,2.15,2.15,5.05,2.92,239.0,110.0,20.0,253.9,232.7,30.4,15.9,30.2,1.7,3.59,2.11
2011-12-01 16:30:00+00:00,100,4.2,15.08,2.45,2.45,4.75,2.81,224.0,110.0,20.0,245.1,220.3,35.3,19.0,31.8,1.7,3.59,3.39
2011-12-01 16:45:00+00:00,100,3.9,14.13,3.15,3.15,4.45,2.71,270.0,110.0,20.0,256.5,238.3,26.3,13.5,27.5,1.1,3.62,1.74
2011-12-01 17:00:00+00:00,100,2.575,6.03,1.8,1.8,3.13,2.63,490.0,110.0,20.0,447.3,365.8,115.8,58.4,141.3,2.1,2.34,1.16
2011-12-01 17:15:00+00:00,100,4.375,16.03,2.53,2.53,4.93,2.57,239.0,110.0,20.0,249.0,230.1,27.2,14.3,26.7,1.4,3.66,2.21
2011-12-01 17:45:00+00:00,100,4.175,12.88,4.05,4.05,4.72,2.51,380.0,110.0,20.0,315.0,276.9,55.0,28.7,55.1,2.6,3.09,2.04
2011-12-01 18:00:00+00:00,100,4.175,13.24,2.72,2.72,4.75,2.5,257.0,110.0,20.0,299.4,258.2,58.4,32.1,50.0,2.9,3.17,4.73
2011-12-01 18:15:00+00:00,0,,,2.5,,,,,,,,,,,,,,
2011-12-01 18:30:00+00:00,0,,,2.45,,,,,,,,,,,,,,
