Time,CS,foF2,MUFD,fmin,foEs,fminF,fxI,FF,foF2p,minEs,hF,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2011-06-01 00:00:00+00:00,100,6.525,19.17,3.15,,3.15,7.07,,3.93,,281.0,,110.0,20.0,334.8,283.0,73.8,39.5,66.8,8.6,2.94,3.25
2011-06-01 00:15:00+00:00,100,6.375,18.47,3.03,,3.03,6.95,0.03,3.85,,294.5,,110.0,20.0,340.0,289.9,71.9,38.0,68.2,8.0,2.9,2.53
2011-06-01 00:30:00+00:00,100,5.65,17.57,2.92,,2.92,6.2,,3.78,,282.0,,110.0,20.0,307.0,270.9,52.2,27.3,51.3,4.6,3.11,2.17
2011-06-01 00:45:00+00:00,100,5.325,18.03,3.4,,3.4,5.88,,3.71,,283.5,,110.0,20.0,283.1,258.4,36.2,18.3,38.0,2.8,3.39,1.66
2011-06-01 01:00:00+00:00,100,6.225,18.82,3.17,,3.17,6.78,,3.64,,273.5,,110.0,20.0,319.4,273.1,66.1,35.5,60.2,7.1,3.02,3.16
2011-06-01 01:15:00+00:00,100,6.45,18.87,3.4,,3.4,7.0,,3.59,,274.5,,110.0,20.0,329.5,279.3,71.7,38.3,65.8,8.2,2.92,3.03
2011-06-01 01:30:00+00:00,100,6.475,19.2,3.28,,3.28,7.03,,3.54,,276.0,,110.0,20.0,324.0,275.1,69.8,37.3,64.3,8.1,2.97,2.97
2011-06-01 01:45:00+00:00,100,5.2,17.48,4.68,,4.68,5.75,,3.51,,317.5,,110.0,20.0,275.0,248.8,37.9,19.4,39.0,2.8,3.36,1.82
2011-06-01 02:00:00+00:00,100,6.375,18.18,2.97,,2.97,6.93,,3.49,,279.5,,110.0,20.0,336.0,278.3,82.5,43.8,77.2,9.2,2.85,2.74
2011-06-01 02:15:00+00:00,100,5.225,17.56,3.55,,3.55,5.82,0.05,3.5,,293.5,,110.0,20.0,277.7,248.4,42.3,21.3,47.5,3.2,3.36,1.39
2011-06-01 02:30:00+00:00,50,5.225,17.42,3.45,,3.45,5.78,,3.53,,268.5,,110.0,20.0,272.8,238.3,49.1,25.8,50.4,3.8,3.33,1.96
2011-06-01 02:45:00+00:00,70,5.675,17.68,2.85,,2.85,6.22,,3.59,,256.0,,110.0,20.0,291.5,239.6,73.7,39.5,71.3,6.7,3.12,2.47
2011-06-01 03:00:00+00:00,50,5.375,18.8,3.35,,3.35,5.93,,3.68,,256.0,,110.0,20.0,245.6,210.5,48.3,25.5,56.9,4.1,3.5,1.39
2011-06-01 03:15:00+00:00,50,5.3,18.17,3.4,,3.4,5.85,,3.8,,253.5,,110.0,20.0,243.5,201.9,56.3,30.3,66.0,4.7,3.43,1.49
2011-06-01 03:30:00+00:00,70,5.15,16.79,3.45,,3.45,5.72,0.03,3.93,,258.5,,110.0,20.0,253.4,197.9,74.7,40.9,84.1,5.9,3.26,1.73
2011-06-01 03:45:00+00:00,70,5.4,16.56,3.47,,3.47,5.95,,4.09,,284.5,,110.0,20.0,272.8,206.2,87.3,48.7,100.4,7.8,3.07,1.62
2011-06-01 04:00:00+00:00,70,5.4,18.55,3.45,,3.45,5.95,,4.25,,291.0,,110.0,20.0,242.0,195.8,54.1,32.4,85.6,5.5,3.43,1.0
2011-06-01 04:15:00+00:00,50,5.175,17.4,2.95,3.55,3.7,5.75,0.03,4.42,2.95,273.5,110.0,110.0,20.0,233.2,177.3,67.5,38.9,95.5,5.8,3.36,1.19
2011-06-01 04:30:00+00:00,70,5.175,17.15,4.05,,4.05,5.75,0.03,4.59,,303.5,,110.0,20.0,233.2,171.9,70.2,40.5,109.4,6.1,3.32,1.05
2011-06-01 04:45:00+00:00,70,5.8,17.92,4.0,,4.0,6.35,,4.74,,306.0,,110.0,20.0,260.5,188.9,85.9,50.0,109.2,9.3,3.09,1.36
2011-06-01 05:00:00+00:00,50,6.15,19.62,3.1,4.63,4.3,6.7,,4.88,3.1,331.0,106.0,110.0,20.0,256.9,190.9,72.6,43.7,113.1,9.3,3.19,1.0
2011-06-01 05:15:00+00:00,50,6.425,20.75,3.95,4.7,4.63,6.97,,5.0,3.95,298.5,103.0,110.0,20.0,243.3,179.2,76.6,44.1,105.8,10.0,3.23,1.2
2011-06-01 05:45:00+00:00,50,6.4,21.82,3.6,5.9,5.07,6.95,,5.16,3.6,279.5,99.0,110.0,20.0,220.9,161.8,70.7,40.1,100.0,9.0,3.41,1.2
2011-06-01 06:00:00+00:00,0,,,4.43,5.57,,,,,4.43,,105.0,,,,,,,,,,
2011-06-01 06:15:00+00:00,0,6.175,18.81,3.75,5.1,4.03,6.78,0.05,,3.75,232.0,104.0,110.0,20.0,,,,,,,3.05,
2011-06-01 06:30:00+00:00,50,5.45,19.24,4.35,5.9,5.1,6.0,,5.25,4.35,301.0,97.0,110.0,20.0,193.6,140.8,63.4,36.2,85.3,5.9,3.53,1.41
2011-06-01 06:45:00+00:00,0,5.6,15.76,4.0,,4.0,6.15,,,,192.5,,110.0,20.0,,,,,,,2.81,
2011-06-01 07:00:00+00:00,50,6.125,18.47,3.95,5.13,5.3,6.68,,5.27,3.95,359.5,101.0,110.0,20.0,242.6,158.0,99.5,57.0,131.4,11.5,3.02,1.36
2011-06-01 07:15:00+00:00,0,,,3.7,5.65,,,,,3.7,,101.0,,,,,,,,,,
2011-06-01 07:30:00+00:00,0,,,4.07,6.9,,,,,4.07,,97.0,,,,,,,,,,
2011-06-01 07:45:00+00:00,0,,,3.78,4.8,,,,,3.78,,100.0,,,,,,,,,,
2011-06-01 08:15:00+00:00,100,5.875,19.5,4.03,,4.03,6.43,,5.44,,187.0,,110.0,20.0,275.0,153.2,133.9,77.4,241.5,14.2,3.32,1.0
2011-06-01 08:30:00+00:00,0,6.2,16.76,3.95,,3.95,6.75,,,,180.5,,110.0,20.0,,,,,,,2.7,
2011-06-01 08:45:00+00:00,70,6.375,18.72,5.55,,5.55,6.93,,5.59,,372.0,,110.0,20.0,248.8,154.8,111.5,64.0,139.9,13.8,2.94,1.48
2011-06-01 09:15:00+00:00,70,6.575,18.38,5.68,,5.68,7.13,,5.76,,401.0,,110.0,20.0,268.8,162.3,127.2,72.9,153.2,16.6,2.8,1.54
2011-06-01 09:30:00+00:00,70,6.725,20.67,5.8,,5.8,7.28,,5.84,,357.5,,110.0,20.0,236.9,153.4,95.8,55.2,135.6,13.3,3.07,1.23
