Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fxI,FF,foF2p,minEs,hF,hF2,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2011-05-01 00:00:00+00:00,100,5.7,,15.77,3.65,,3.65,6.25,,3.61,,330.0,,,110.0,20.0,356.0,,303.0,76.6,,40.1,74.7,6.8,2.77,2.23,
2011-05-01 00:15:00+00:00,100,5.05,,15.76,3.4,,3.4,5.6,,3.55,,304.5,,,110.0,20.0,309.2,,274.4,50.3,,26.1,50.3,3.5,3.12,2.03,
2011-05-01 00:30:00+00:00,100,5.7,,16.93,5.05,,5.05,6.25,,3.49,,374.5,,,110.0,20.0,327.5,,288.3,57.1,,29.3,58.0,5.0,2.97,1.88,
2011-05-01 00:45:00+00:00,100,4.725,,15.44,3.45,,3.45,5.28,,3.44,,287.0,,,110.0,20.0,289.6,,260.4,42.2,,22.0,41.7,2.6,3.27,2.12,
2011-05-01 01:00:00+00:00,100,5.175,,15.64,4.63,,4.63,5.72,,3.38,,357.5,,,110.0,20.0,323.0,,282.3,58.9,,30.6,58.7,4.3,3.02,2.04,
2011-05-01 01:15:00+00:00,100,5.0,,15.35,3.4,,3.4,5.55,,3.34,,299.5,,,110.0,20.0,312.7,,274.4,55.4,,28.9,54.7,3.8,3.07,2.12,
2011-05-01 01:30:00+00:00,100,5.175,,14.71,3.42,,3.42,5.72,,3.31,,309.5,,,110.0,20.0,348.7,,293.8,78.8,,42.1,74.0,5.8,2.84,2.7,
2011-05-01 01:45:00+00:00,100,4.875,,14.76,3.3,,3.3,5.43,,3.29,,294.5,,,110.0,20.0,312.4,,272.4,57.7,,30.2,56.8,3.8,3.03,2.16,
2011-05-01 02:00:00+00:00,100,4.775,,14.24,3.4,,3.4,5.32,,3.29,,297.0,,,110.0,20.0,315.7,,273.0,61.4,,32.4,59.7,3.9,2.98,2.29,
2011-05-01 02:15:00+00:00,100,4.625,,13.68,3.25,,3.25,5.18,,3.31,,300.0,,,110.0,20.0,319.9,,273.5,66.7,,35.3,64.7,3.9,2.96,2.33,
2011-05-01 02:30:00+00:00,100,3.875,,13.33,3.4,,3.4,4.45,0.03,3.36,,302.0,,,110.0,20.0,264.0,,238.2,36.8,,19.0,38.7,1.5,3.44,1.76,
2011-05-01 02:45:00+00:00,100,4.65,,13.99,3.1,,3.1,5.2,,3.42,,283.5,,,110.0,20.0,308.8,,258.8,71.4,,38.2,68.8,4.3,3.01,2.47,
2011-05-01 03:00:00+00:00,50,4.175,,13.63,3.4,,3.4,4.72,,3.52,,298.5,,,110.0,20.0,277.1,,237.3,56.0,,29.7,58.3,2.8,3.27,1.93,
2011-05-01 03:15:00+00:00,50,4.45,,14.44,3.33,,3.33,5.0,,3.63,,279.5,,,110.0,20.0,270.2,,225.6,62.1,,33.3,65.3,3.6,3.24,1.93,
2011-05-01 03:30:00+00:00,50,4.4,,14.64,3.4,,3.4,4.95,,3.77,,273.5,,,110.0,20.0,251.1,,203.6,64.7,,34.9,70.7,3.7,3.33,1.81,
2011-05-01 03:45:00+00:00,70,4.6,,15.2,3.2,,3.2,5.15,,3.92,,259.5,,,110.0,20.0,248.4,,196.8,68.6,,37.7,78.6,4.4,3.31,1.67,
2011-05-01 04:00:00+00:00,70,4.775,,15.87,3.22,,3.22,5.35,0.03,4.08,,257.0,,,110.0,20.0,244.5,,190.0,71.1,,39.8,85.8,5.0,3.32,1.54,
2011-05-01 04:15:00+00:00,70,4.975,,16.91,3.28,,3.28,5.53,,4.25,,256.0,,,110.0,20.0,236.0,,183.9,66.9,,38.3,83.8,5.3,3.4,1.47,
2011-05-01 04:30:00+00:00,70,4.775,,16.31,3.25,,3.25,5.32,,4.42,,236.3,,,110.0,20.0,228.5,,171.7,73.9,,42.0,84.4,5.3,3.42,1.84,
2011-05-01 04:45:00+00:00,70,4.625,,15.3,3.4,,3.4,5.18,,4.58,,237.0,,,110.0,20.0,234.8,,166.0,91.5,,51.1,100.3,5.9,3.31,2.02,
