Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fxI,FF,foF2p,minEs,hF,hF2,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2011-09-01 00:15:00+00:00,100,4.1,,12.01,2.95,,2.95,4.75,0.1,3.42,,325.0,,,110.0,20.0,335.0,,288.8,66.4,,35.1,64.9,3.1,2.93,2.27,
2011-09-01 00:30:00+00:00,100,4.1,,12.24,2.4,,2.4,4.75,0.1,3.38,,290.0,,,110.0,20.0,324.7,,274.7,71.1,,38.3,63.7,3.3,2.99,3.48,
2011-09-01 00:45:00+00:00,100,3.8,,12.41,3.4,,3.4,4.4,0.05,3.33,,332.5,,,110.0,20.0,293.4,,264.8,41.3,,21.1,43.3,1.6,3.27,1.73,
2011-09-01 01:00:00+00:00,100,4.15,,12.52,3.45,,3.45,4.8,0.1,3.26,,320.0,,,110.0,20.0,322.0,,279.4,61.1,,32.3,59.3,2.9,3.02,2.33,
2011-09-01 01:15:00+00:00,100,3.9,,12.6,1.7,1.95,3.0,4.5,0.05,3.19,1.7,292.5,,100.0,110.0,20.0,294.3,,261.3,47.4,,25.1,45.9,2.0,3.23,2.35,
2011-09-01 01:30:00+00:00,100,4.05,,12.4,3.1,,3.1,4.7,0.1,3.12,,292.5,,,110.0,20.0,312.5,,269.5,61.5,,33.1,56.6,2.8,3.06,3.03,
2011-09-01 01:45:00+00:00,0,,,,1.6,2.0,,,,,1.6,,,97.0,,,,,,,,,,,,,
2011-09-01 02:00:00+00:00,100,3.9,,12.61,1.8,2.0,2.6,4.45,,2.99,1.8,263.5,,100.0,110.0,20.0,290.3,,252.3,54.0,,29.5,47.4,2.3,3.23,4.0,
2011-09-01 02:15:00+00:00,100,3.55,,12.12,2.65,3.8,2.65,4.1,,2.95,2.65,269.5,,101.0,110.0,20.0,299.5,,238.3,85.8,,47.6,70.0,3.0,3.41,6.0,
2011-09-01 02:30:00+00:00,0,,,,2.4,3.55,,,,,2.4,,,99.0,,,,,,,,,,,,,
2011-09-01 02:45:00+00:00,100,3.5,,11.47,1.7,2.0,3.15,4.2,0.15,2.96,1.7,307.5,,100.0,110.0,20.0,282.2,,250.3,45.8,,24.0,46.2,1.6,3.28,2.03,
2011-09-01 03:00:00+00:00,0,,,,1.6,1.8,,,,,1.6,,,100.0,,,,,,,,,,,,,
2011-09-01 03:15:00+00:00,100,3.2,,10.63,1.6,1.8,2.8,3.75,,3.08,1.6,300.0,,97.0,110.0,20.0,272.7,,237.1,50.2,,26.7,51.6,1.5,3.32,2.02,
2011-09-01 03:30:00+00:00,70,3.55,,11.72,2.4,,2.4,4.15,0.05,3.19,,260.0,,,110.0,20.0,271.3,,228.7,60.4,,32.9,57.8,2.2,3.3,2.68,
2011-09-01 03:45:00+00:00,70,3.8,,13.28,2.55,,2.55,4.45,0.1,3.33,,242.5,,,110.0,20.0,244.4,,208.3,50.0,,27.1,52.3,2.2,3.49,2.01,
2011-09-01 04:00:00+00:00,70,4.3,,14.8,3.0,,3.0,4.95,0.1,3.48,,240.0,,,110.0,20.0,241.8,,196.2,63.3,,34.7,65.6,3.5,3.44,2.12,
