Time,CS,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2023-04-01 00:00:00+00:00,90,5.74,15.59,1.61,,1.61,,,6.36,0.14,3.17,,310.0,310.0,,,110.0,20.0,371.3,324.3,69.0,34.8,72.6,6.2,2.71,1.64
2023-04-01 00:05:00+00:00,95,5.05,14.96,1.77,,1.77,,,5.78,0.03,3.16,,312.5,312.5,,,110.0,20.0,345.2,313.5,47.5,23.4,56.2,3.3,2.96,1.16
2023-04-01 00:10:00+00:00,70,5.81,15.73,1.82,,1.82,,,6.46,0.14,3.15,,315.0,315.0,,,110.0,20.0,373.3,325.0,70.8,35.8,74.4,6.5,2.71,1.65
2023-04-01 00:15:00+00:00,85,5.81,16.1,1.82,,1.82,,,6.43,0.1,3.14,,315.0,315.0,,,110.0,20.0,367.1,322.2,66.1,33.5,70.2,6.1,2.77,1.59
2023-04-01 00:20:00+00:00,85,3.375,11.23,1.88,,1.88,,,3.92,,3.13,,312.5,312.5,,,110.0,20.0,302.2,279.2,33.9,16.4,42.8,1.1,3.33,1.08
2023-04-01 00:25:00+00:00,85,5.775,15.84,1.72,,1.72,,,6.49,0.17,3.13,,305.0,305.0,,,110.0,20.0,363.1,316.1,68.7,34.8,70.9,6.2,2.74,1.74
2023-04-01 00:30:00+00:00,95,5.775,15.8,2.03,,2.03,,,6.6,0.25,3.11,,307.5,307.5,,,110.0,20.0,364.0,313.6,73.4,37.6,74.3,6.6,2.73,1.9
2023-04-01 00:35:00+00:00,70,5.3,15.58,1.77,,1.77,,,5.85,0.03,3.1,,300.0,300.0,,,110.0,20.0,339.8,305.1,51.4,25.6,57.2,3.9,2.94,1.37
2023-04-01 00:40:00+00:00,90,5.705,15.65,1.68,,1.68,,,6.36,0.1,3.09,,295.0,295.0,,,110.0,20.0,358.8,310.1,70.9,36.0,71.9,6.2,2.74,1.87
2023-04-01 00:45:00+00:00,90,5.74,15.75,1.89,,1.89,,,6.43,0.14,3.08,,297.5,297.5,,,110.0,20.0,360.7,310.6,73.1,37.2,73.8,6.5,2.74,1.91
2023-04-01 00:50:00+00:00,65,5.175,15.43,1.77,,1.77,,,5.75,0.05,3.07,,292.5,292.5,,,110.0,20.0,332.9,299.8,49.0,24.3,54.7,3.6,2.98,1.37
2023-04-01 00:55:00+00:00,90,5.705,15.61,1.75,,1.75,,,6.36,0.1,3.06,,290.0,290.0,,,110.0,20.0,359.2,306.2,77.0,39.3,75.7,6.7,2.74,2.07
2023-04-01 01:00:00+00:00,90,5.355,15.52,1.72,,1.72,,,5.97,0.1,3.05,,290.0,290.0,,,110.0,20.0,340.1,299.7,59.1,29.9,61.8,4.6,2.9,1.7
2023-04-01 01:05:00+00:00,75,4.05,13.38,1.77,,1.77,,,4.65,0.03,3.03,,290.0,290.0,,,110.0,20.0,301.1,278.9,33.2,16.2,40.6,1.5,3.3,1.11
2023-04-01 01:10:00+00:00,90,5.565,15.45,1.78,,1.78,,,6.18,0.07,3.02,,287.5,287.5,,,110.0,20.0,350.1,301.4,70.7,36.0,70.6,5.9,2.78,1.98
2023-04-01 01:15:00+00:00,85,5.285,15.31,1.75,,1.75,,,5.97,0.17,3.01,,285.0,285.0,,,110.0,20.0,336.8,296.3,59.2,29.8,61.4,4.5,2.9,1.72
2023-04-01 01:20:00+00:00,50,4.0,13.41,1.98,,1.98,,,5.88,0.08,3.0,,287.5,287.5,,,110.0,20.0,296.2,273.6,33.5,16.2,40.4,1.5,3.35,1.18
2023-04-01 01:25:00+00:00,100,5.145,14.68,2.03,,2.03,,,5.86,0.17,2.99,,287.5,287.5,,,110.0,20.0,337.9,294.6,63.0,31.9,64.3,4.5,2.85,1.83
2023-04-01 01:30:00+00:00,100,5.075,14.52,1.82,,1.82,,,5.86,0.17,2.98,,282.5,282.5,,,110.0,20.0,338.3,293.0,65.7,33.4,66.1,4.6,2.86,1.93
2023-04-01 01:35:00+00:00,70,5.25,14.56,2.03,,2.03,,,5.85,0.08,2.97,,285.0,285.0,,,110.0,20.0,347.0,299.4,69.3,35.0,70.2,5.1,2.77,1.87
2023-04-01 01:40:00+00:00,90,5.25,14.43,1.82,,1.82,,,5.97,0.21,2.96,,275.0,275.0,,,110.0,20.0,348.8,296.2,76.2,38.5,74.7,5.6,2.75,2.07
2023-04-01 01:45:00+00:00,90,5.215,14.14,1.72,,1.72,,,5.83,0.07,2.95,,270.0,270.0,,,110.0,20.0,350.9,295.5,80.2,40.4,77.8,5.8,2.71,2.14
2023-04-01 01:50:00+00:00,45,4.65,13.83,1.77,,1.77,,,4.93,0.03,2.94,,272.5,272.5,,,110.0,20.0,324.2,286.7,54.9,27.3,58.3,3.2,2.97,1.62
2023-04-01 01:55:00+00:00,90,5.075,14.18,1.75,,1.75,,,5.86,0.25,2.94,,272.5,272.5,,,110.0,20.0,344.3,296.5,69.6,34.7,70.7,4.8,2.8,1.84
2023-04-01 02:00:00+00:00,90,5.215,14.33,1.89,,1.89,,,5.93,0.21,2.93,,282.5,282.5,,,110.0,20.0,350.7,299.9,73.9,37.3,74.2,5.4,2.75,1.92
2023-04-01 02:05:00+00:00,50,5.2,14.22,1.65,,1.65,,,5.8,0.05,2.93,,275.0,275.0,,,110.0,20.0,352.5,299.2,77.3,38.9,77.0,5.6,2.73,1.98
2023-04-01 02:10:00+00:00,95,5.145,14.38,1.78,,1.78,,,5.8,0.1,2.93,,277.5,277.5,,,110.0,20.0,345.7,295.9,72.4,36.6,72.5,5.1,2.79,1.95
2023-04-01 02:15:00+00:00,90,5.39,14.48,1.78,,1.78,,,6.01,0.07,2.93,,280.0,280.0,,,110.0,20.0,362.6,300.3,89.7,46.1,85.4,7.0,2.69,2.33
2023-04-01 02:20:00+00:00,90,5.25,14.79,1.83,,1.83,,,5.78,0.03,2.93,,280.0,280.0,,,110.0,20.0,342.1,297.0,66.0,33.1,68.3,4.9,2.82,1.74
2023-04-01 02:25:00+00:00,100,5.075,14.57,1.64,,1.64,,,5.83,0.14,2.94,,272.5,272.5,,,110.0,20.0,335.1,287.9,68.4,34.7,68.1,4.7,2.87,1.99
2023-04-01 02:30:00+00:00,100,5.11,14.63,1.78,,1.78,,,5.8,0.07,2.94,,272.5,272.5,,,110.0,20.0,333.4,287.0,67.4,34.2,67.3,4.7,2.86,1.96
2023-04-01 02:35:00+00:00,50,3.75,12.89,1.75,,1.75,,,5.88,0.13,2.95,,267.5,267.5,,,110.0,20.0,283.1,261.5,31.8,15.5,38.2,1.2,3.44,1.18
2023-04-01 02:40:00+00:00,70,4.62,9.38,2.56,,2.56,,,5.3,0.21,2.96,,580.0,580.0,,,110.0,20.0,565.8,471.9,140.9,67.3,169.2,8.1,2.03,1.19
2023-04-01 02:45:00+00:00,85,4.865,14.85,2.69,,2.69,,,5.48,0.1,2.98,,287.5,287.5,,,110.0,20.0,313.7,277.3,53.3,26.8,55.9,3.4,3.05,1.68
2023-04-01 02:50:00+00:00,45,4.075,13.77,1.98,,1.98,,,5.88,0.15,2.99,,270.0,270.0,,,110.0,20.0,285.2,261.2,35.3,17.3,40.9,1.6,3.38,1.29
2023-04-01 02:55:00+00:00,90,5.25,14.89,4.41,,4.41,,,5.86,0.1,3.02,,362.5,362.5,,,110.0,20.0,341.2,292.9,70.2,36.0,71.3,5.3,2.84,1.88
2023-04-01 03:00:00+00:00,100,5.005,14.9,2.9,,2.9,,,5.76,0.17,3.04,,292.5,292.5,,,110.0,20.0,318.3,277.8,59.0,29.9,61.1,4.0,2.98,1.76
2023-04-01 03:05:00+00:00,70,4.75,14.83,1.77,,1.77,,,5.05,0.08,3.06,,262.5,262.5,,,110.0,20.0,302.7,270.0,47.7,23.8,52.2,2.9,3.12,1.48
2023-04-01 03:10:00+00:00,100,5.04,14.8,1.54,,1.54,,,5.76,0.14,3.09,,257.5,257.5,,,110.0,20.0,319.5,269.5,71.8,36.9,69.4,4.9,2.94,2.21
2023-04-01 03:15:00+00:00,70,5.11,14.74,2.03,,2.03,,,5.69,0.04,3.13,,265.0,265.0,,,110.0,20.0,323.0,272.1,73.0,37.4,71.6,5.2,2.88,2.12
2023-04-01 03:20:00+00:00,65,4.975,14.5,1.75,,1.75,,,5.18,0.1,3.16,,257.5,257.5,,,110.0,20.0,317.3,266.3,72.8,37.5,71.1,4.9,2.91,2.16
2023-04-01 03:25:00+00:00,90,4.76,14.41,1.64,,1.64,,,5.51,0.28,3.2,,250.0,250.0,,,110.0,20.0,302.0,259.0,61.2,31.0,62.8,3.8,3.03,1.83
2023-04-01 03:30:00+00:00,100,4.865,14.36,1.78,,1.78,,,5.3,0.14,3.24,,250.0,250.0,,,110.0,20.0,310.5,258.7,73.4,37.6,72.6,4.7,2.95,2.07
2023-04-01 03:35:00+00:00,90,4.775,14.32,1.8,,1.8,,,5.32,0.13,3.28,,247.5,247.5,,,110.0,20.0,300.3,255.3,63.5,32.2,66.6,3.9,3.0,1.73
