Time,CS,foF2,MUFD,fmin,foEs,fminF,fxI,FF,foF2p,minEs,hF,hF2,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2023-01-01 00:00:00+00:00,100,3.185,9.28,1.82,,1.82,3.87,0.1,3.14,,287.5,287.5,,110.0,20.0,326.9,280.4,66.2,35.0,61.9,1.9,2.91,2.58
2023-01-01 00:05:00+00:00,100,3.025,9.5,1.83,,1.83,3.55,0.08,3.16,,282.5,282.5,,110.0,20.0,302.1,271.0,44.4,22.8,46.3,1.1,3.14,1.78
2023-01-01 00:10:00+00:00,100,3.185,9.69,1.78,,1.78,3.84,0.17,3.17,,277.5,277.5,,110.0,20.0,310.8,271.5,55.9,29.4,52.5,1.6,3.04,2.51
2023-01-01 00:15:00+00:00,100,3.255,9.8,1.86,,1.86,3.84,0.1,3.18,,275.0,275.0,,110.0,20.0,313.0,271.8,58.4,30.8,53.3,1.7,3.01,2.74
2023-01-01 00:20:00+00:00,95,3.175,9.9,2.13,,2.13,3.83,0.08,3.19,,285.0,285.0,,110.0,20.0,301.4,268.9,46.5,24.3,46.3,1.3,3.12,2.09
2023-01-01 00:25:00+00:00,100,3.185,10.22,1.72,,1.72,3.84,0.1,3.2,,262.5,262.5,,110.0,20.0,291.5,258.6,46.7,24.5,44.0,1.3,3.21,2.47
2023-01-01 00:30:00+00:00,95,3.185,10.22,1.72,,1.72,3.97,0.17,3.2,,255.0,255.0,,110.0,20.0,285.5,252.6,46.7,24.4,43.9,1.3,3.21,2.47
2023-01-01 00:35:00+00:00,100,3.15,10.1,1.73,,1.73,3.85,0.08,3.21,,250.0,250.0,,110.0,20.0,283.2,249.8,47.5,24.8,44.2,1.3,3.2,2.54
2023-01-01 00:40:00+00:00,100,3.08,10.25,1.75,,1.75,3.69,0.17,3.2,,250.0,250.0,,110.0,20.0,275.2,246.9,40.3,20.7,39.9,1.0,3.33,2.06
2023-01-01 00:45:00+00:00,100,3.115,10.4,1.86,,1.86,3.73,0.25,3.2,,250.0,250.0,,110.0,20.0,273.4,245.6,39.5,20.5,38.5,1.1,3.34,2.21
2023-01-01 00:50:00+00:00,100,3.075,10.15,2.25,,2.25,3.83,0.15,3.19,,267.5,267.5,,110.0,20.0,281.1,255.7,36.3,19.3,35.1,1.0,3.3,2.36
2023-01-01 00:55:00+00:00,100,3.185,9.95,2.1,,2.1,3.9,0.14,3.18,,260.0,260.0,,110.0,20.0,296.8,259.1,53.6,28.9,46.7,1.5,3.12,3.37
