Time,CS,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,fbEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2023-09-09 17:35:00+00:00,85,8.05,25.44,1.92,3.6,2.47,,,8.63,0.1,5.33,1.92,2.47,217.5,217.5,,107.5,110.0,20.0,284.9,239.6,64.7,33.7,56.7,11.2,3.16,3.11
2023-09-09 17:40:00+00:00,0,7.98,24.92,1.64,2.9,3.18,,,8.66,0.14,5.28,1.64,,230.0,230.0,,105.0,110.0,20.0,,,,,,,3.12,
2023-09-09 17:45:00+00:00,0,7.875,24.47,1.92,3.18,2.66,,,8.42,0.1,5.23,1.92,2.66,225.0,225.0,,105.0,110.0,20.0,,,,,,,3.11,
2023-09-09 17:50:00+00:00,85,7.525,24.76,1.8,2.5,2.53,,,8.07,0.05,5.17,1.8,,227.5,227.5,,98.8,110.0,20.0,275.7,244.9,44.8,22.8,43.4,6.8,3.29,2.18
2023-09-09 17:55:00+00:00,85,7.56,23.83,1.75,2.66,2.8,,,8.21,0.1,5.12,1.75,,232.5,232.5,,105.0,110.0,20.0,287.6,247.9,56.7,29.6,49.6,8.7,3.15,3.14
2023-09-09 18:00:00+00:00,0,7.49,23.07,1.78,2.84,2.94,,,8.1,0.07,5.06,1.78,,232.5,232.5,,102.5,110.0,20.0,,,,,,,3.08,
2023-09-09 18:05:00+00:00,0,7.375,22.13,2.0,3.2,3.58,,,8.0,0.05,5.01,2.0,,242.5,242.5,,102.5,110.0,20.0,,,,,,,3.0,
2023-09-09 18:10:00+00:00,0,6.965,21.34,1.78,2.97,2.73,,,7.51,0.17,4.96,1.78,2.73,235.0,235.0,,102.5,110.0,20.0,,,,,,,3.06,
2023-09-09 18:15:00+00:00,95,6.93,21.0,1.78,2.24,2.17,,,7.41,0.14,4.9,1.78,2.17,230.0,230.0,,105.0,110.0,20.0,298.8,252.7,66.2,34.0,59.5,8.4,3.03,2.82
2023-09-09 18:20:00+00:00,65,6.5,21.38,2.1,,2.1,,,7.05,0.15,4.85,,,230.0,230.0,,,110.0,20.0,281.7,250.9,45.1,22.6,45.1,5.1,3.29,1.94
2023-09-09 18:25:00+00:00,95,7.07,20.58,1.96,,1.96,,,7.72,0.1,4.79,,,232.5,232.5,,,110.0,20.0,324.2,262.0,88.8,46.2,77.4,11.8,2.91,3.25
2023-09-09 18:30:00+00:00,85,6.93,20.19,1.82,,1.82,,,7.47,0.07,4.74,,,232.5,232.5,,,110.0,20.0,319.5,261.9,82.7,42.5,74.5,10.5,2.91,2.84
2023-09-09 18:35:00+00:00,60,6.5,20.68,1.98,,1.98,,,7.07,0.52,4.69,,,237.5,237.5,,,110.0,20.0,296.4,262.1,50.1,25.1,50.1,5.6,3.18,1.95
2023-09-09 18:40:00+00:00,65,6.51,20.05,2.03,,2.03,,,7.09,0.31,4.64,,,242.5,242.5,,,110.0,20.0,306.5,267.1,57.3,28.9,55.7,6.5,3.08,2.14
2023-09-09 18:45:00+00:00,60,5.705,18.45,1.96,,1.96,,,6.32,0.07,4.58,,,247.5,247.5,,,110.0,20.0,296.5,260.5,51.9,26.9,49.4,4.6,3.23,2.37
2023-09-09 18:50:00+00:00,85,6.9,19.24,1.95,,1.95,,,7.45,0.13,4.53,,,252.5,252.5,,,110.0,20.0,343.8,284.9,84.6,43.6,76.1,10.7,2.79,2.82
2023-09-09 18:55:00+00:00,100,7.0,19.5,1.96,,1.96,,,7.55,0.14,4.48,,,257.5,257.5,,,110.0,20.0,352.0,288.0,91.7,47.6,81.9,12.0,2.79,2.95
2023-09-09 19:00:00+00:00,100,7.035,19.8,2.48,,2.48,,,7.65,0.25,4.43,,,272.5,272.5,,,110.0,20.0,349.9,291.9,83.1,43.4,74.5,11.1,2.81,2.91
2023-09-09 19:05:00+00:00,95,7.025,19.91,2.28,,2.28,,,7.7,0.1,4.38,,,272.5,272.5,,,110.0,20.0,344.0,291.5,75.6,39.3,69.3,10.0,2.83,2.67
2023-09-09 19:10:00+00:00,95,6.965,20.07,2.03,,2.03,,,7.61,0.14,4.33,,,267.5,267.5,,,110.0,20.0,334.7,287.7,68.2,35.0,65.0,8.9,2.88,2.31
2023-09-09 19:15:00+00:00,90,6.965,20.12,1.92,,1.92,,,7.61,0.14,4.28,,,267.5,267.5,,,110.0,20.0,333.2,287.2,66.7,34.1,63.9,8.7,2.89,2.27
2023-09-09 19:20:00+00:00,95,7.025,20.14,2.72,,2.72,,,7.7,0.2,4.24,,,280.0,280.0,,,110.0,20.0,341.7,292.6,70.9,36.9,66.1,9.5,2.87,2.53
2023-09-09 19:25:00+00:00,100,7.035,20.33,2.07,,2.07,,,7.68,0.1,4.19,,,270.0,270.0,,,110.0,20.0,335.2,287.1,69.5,35.8,64.9,9.2,2.89,2.49
2023-09-09 19:30:00+00:00,70,6.755,20.45,1.78,,1.78,,,6.81,0.17,4.14,,,262.5,262.5,,,110.0,20.0,316.6,281.9,50.8,25.5,51.4,6.2,3.03,1.88
2023-09-09 19:35:00+00:00,85,6.95,20.36,2.15,,2.15,,,7.5,0.15,4.1,,,265.0,265.0,,,110.0,20.0,327.4,285.3,61.0,31.2,58.7,7.9,2.93,2.23
2023-09-09 19:40:00+00:00,90,6.965,20.3,1.72,,1.72,,,7.82,0.35,4.06,,,260.0,260.0,,,110.0,20.0,330.1,282.7,68.4,35.1,64.3,8.9,2.91,2.45
2023-09-09 19:45:00+00:00,100,6.965,20.21,1.78,,1.78,,,7.61,0.14,4.01,,,260.0,260.0,,,110.0,20.0,333.0,282.8,72.4,37.3,66.7,9.4,2.9,2.62
2023-09-09 19:50:00+00:00,95,6.9,20.06,2.75,,2.75,,,7.6,0.08,3.97,,,275.0,275.0,,,110.0,20.0,330.1,288.2,60.7,31.2,58.7,7.8,2.91,2.21
2023-09-09 19:55:00+00:00,90,6.965,20.34,1.75,,1.75,,,7.51,0.25,3.93,,,260.0,260.0,,,110.0,20.0,329.0,284.7,64.4,32.7,61.8,8.3,2.92,2.25
2023-09-09 20:00:00+00:00,100,7.07,20.7,1.82,,1.82,,,7.79,0.14,3.89,,,262.5,262.5,,,110.0,20.0,332.5,283.8,70.2,36.4,64.8,9.4,2.93,2.63
2023-09-09 20:05:00+00:00,90,6.825,20.59,2.33,,2.33,,,7.38,0.1,3.85,,,267.5,267.5,,,110.0,20.0,316.6,281.3,51.4,26.2,51.0,6.5,3.02,2.01
2023-09-09 20:10:00+00:00,85,6.965,20.61,1.72,,1.72,,,7.97,0.49,3.82,,,257.5,257.5,,,110.0,20.0,322.9,279.3,63.2,32.2,60.1,8.2,2.96,2.34
2023-09-09 20:15:00+00:00,95,7.175,20.73,1.78,,1.78,,,7.86,0.14,3.78,,,257.5,257.5,,,110.0,20.0,343.3,280.9,88.8,46.9,76.3,12.3,2.89,3.55
2023-09-09 20:20:00+00:00,100,7.025,21.07,2.6,,2.6,,,7.78,0.15,3.75,,,270.0,270.0,,,110.0,20.0,322.1,281.9,58.0,30.1,54.4,7.7,3.0,2.49
2023-09-09 20:25:00+00:00,100,7.105,21.23,1.89,,1.89,,,7.72,0.25,3.71,,,257.5,257.5,,,110.0,20.0,321.7,276.0,65.8,34.1,60.1,8.9,2.99,2.71
2023-09-09 20:30:00+00:00,100,7.07,21.12,1.96,,1.96,,,7.79,0.1,3.68,,,255.0,255.0,,,110.0,20.0,321.8,274.0,68.5,35.7,61.4,9.2,2.99,2.92
2023-09-09 20:35:00+00:00,90,7.075,20.83,2.1,,2.1,,,7.8,0.13,3.65,,,255.0,255.0,,,110.0,20.0,329.3,276.6,75.2,39.4,64.9,10.1,2.94,3.3
2023-09-09 20:40:00+00:00,95,7.14,21.34,1.96,,1.96,,,7.76,0.21,3.62,,,252.5,252.5,,,110.0,20.0,324.7,273.9,72.7,38.0,63.9,10.0,2.99,3.15
2023-09-09 20:45:00+00:00,90,6.93,21.0,1.78,,1.78,,,7.82,0.35,3.59,,,247.5,247.5,,,110.0,20.0,309.0,267.9,59.5,30.4,56.3,7.6,3.03,2.38
2023-09-09 20:50:00+00:00,90,6.95,20.76,1.9,,1.9,,,7.5,0.1,3.57,,,250.0,250.0,,,110.0,20.0,315.6,271.4,63.7,32.8,58.9,8.2,2.99,2.59
2023-09-09 20:55:00+00:00,100,6.93,20.89,1.82,,1.82,,,7.37,0.14,3.54,,,250.0,250.0,,,110.0,20.0,312.9,268.2,64.3,33.2,58.5,8.3,3.01,2.74
2023-09-09 21:00:00+00:00,100,6.755,20.55,1.96,,1.96,,,7.44,0.25,3.52,,,247.5,247.5,,,110.0,20.0,305.8,265.4,58.3,29.8,54.5,7.1,3.04,2.45
2023-09-09 21:05:00+00:00,100,6.725,20.11,1.8,,1.8,,,7.3,0.15,3.5,,,245.0,245.0,,,110.0,20.0,310.7,267.0,63.1,32.3,58.7,7.6,2.99,2.51
2023-09-09 21:10:00+00:00,100,6.755,20.18,1.78,,1.78,,,7.47,0.21,3.48,,,245.0,245.0,,,110.0,20.0,313.9,268.3,65.9,33.8,61.2,8.0,2.99,2.53
2023-09-09 21:15:00+00:00,100,6.72,20.15,1.82,,1.82,,,7.58,0.28,3.46,,,247.5,247.5,,,110.0,20.0,313.0,268.4,64.4,33.0,59.7,7.8,3.0,2.55
2023-09-09 21:20:00+00:00,70,6.675,19.88,2.67,,2.67,,,7.47,0.22,3.44,,,260.0,260.0,,,110.0,20.0,317.7,276.1,59.5,31.2,53.2,7.2,2.98,2.93
2023-09-09 21:25:00+00:00,90,6.615,19.67,1.78,,1.78,,,7.26,0.14,3.43,,,245.0,245.0,,,110.0,20.0,314.1,267.5,67.3,34.5,62.3,7.8,2.97,2.56
2023-09-09 21:30:00+00:00,95,6.44,19.18,1.78,,1.78,,,7.23,0.25,3.41,,,247.5,247.5,,,110.0,20.0,312.4,267.7,64.5,32.9,60.4,7.1,2.98,2.45
2023-09-09 21:35:00+00:00,85,6.275,19.17,1.8,,1.8,,,6.9,0.2,3.4,,,247.5,247.5,,,110.0,20.0,308.2,269.3,56.5,28.6,54.7,5.9,3.05,2.17
2023-09-09 21:40:00+00:00,100,6.44,18.67,1.89,,1.89,,,7.09,0.1,3.39,,,247.5,247.5,,,110.0,20.0,323.0,273.6,71.3,36.4,66.1,7.9,2.9,2.52
2023-09-09 21:45:00+00:00,100,6.335,18.63,1.86,,1.86,,,7.09,0.21,3.38,,,247.5,247.5,,,110.0,20.0,320.3,273.7,67.4,34.4,63.7,7.2,2.94,2.38
2023-09-09 21:50:00+00:00,70,6.175,18.66,1.7,,1.7,,,6.75,0.05,3.38,,,250.0,250.0,,,110.0,20.0,310.9,274.2,53.7,26.8,53.8,5.4,3.02,1.93
2023-09-09 21:55:00+00:00,90,6.335,18.54,1.78,,1.78,,,7.02,0.14,3.37,,,250.0,250.0,,,110.0,20.0,321.3,277.2,64.1,32.3,62.1,6.8,2.93,2.17
2023-09-09 22:00:00+00:00,100,6.405,18.5,1.82,,1.82,,,7.05,0.07,3.37,,,255.0,255.0,,,110.0,20.0,328.0,280.6,68.6,34.9,65.1,7.5,2.89,2.34
2023-09-09 22:05:00+00:00,100,6.225,18.5,1.88,,1.88,,,7.03,0.08,3.37,,,260.0,260.0,,,110.0,20.0,322.5,281.0,60.0,30.6,57.6,6.2,2.97,2.24
2023-09-09 22:10:00+00:00,90,6.405,18.58,1.54,,1.54,,,7.09,0.14,3.37,,,252.5,252.5,,,110.0,20.0,326.4,278.7,69.1,35.2,65.7,7.5,2.9,2.33
2023-09-09 22:15:00+00:00,90,6.195,18.26,1.78,,1.78,,,6.99,0.25,3.37,,,255.0,255.0,,,110.0,20.0,318.4,277.4,59.6,30.1,57.8,6.1,2.95,2.15
2023-09-09 22:20:00+00:00,0,6.775,17.7,1.83,,1.83,,,7.13,0.17,3.37,,,257.5,257.5,,,110.0,20.0,,,,,,,2.61,
2023-09-09 22:25:00+00:00,100,6.44,17.85,1.78,,1.78,,,7.05,0.1,3.37,,,257.5,257.5,,,110.0,20.0,351.8,286.9,92.9,48.1,83.4,10.3,2.77,2.91
2023-09-09 22:30:00+00:00,90,6.335,18.13,1.72,,1.72,,,7.02,0.14,3.38,,,257.5,257.5,,,110.0,20.0,335.4,286.6,70.9,35.9,67.9,7.6,2.86,2.25
2023-09-09 22:35:00+00:00,85,6.35,18.03,1.8,,1.8,,,6.95,0.05,3.38,,,262.5,262.5,,,110.0,20.0,340.7,291.8,70.9,36.1,67.5,7.6,2.84,2.3
2023-09-09 22:40:00+00:00,90,6.37,18.11,1.89,,1.89,,,7.02,0.17,3.39,,,270.0,270.0,,,110.0,20.0,339.8,292.9,68.0,34.7,65.3,7.4,2.84,2.24
2023-09-09 22:45:00+00:00,85,6.37,18.36,1.72,,1.72,,,7.09,0.17,3.39,,,270.0,270.0,,,110.0,20.0,335.8,290.7,65.3,33.3,63.0,7.1,2.88,2.21
2023-09-09 22:50:00+00:00,70,5.8,18.04,1.85,,1.85,,,6.97,0.15,3.4,,,270.0,270.0,,,110.0,20.0,316.6,281.5,50.9,26.2,50.4,4.7,3.11,2.05
2023-09-09 22:55:00+00:00,90,6.335,18.08,1.64,,1.64,,,6.99,0.14,3.41,,,262.5,262.5,,,110.0,20.0,336.2,286.2,72.1,36.9,67.3,7.7,2.86,2.48
2023-09-09 23:00:00+00:00,90,6.16,17.94,2.03,,2.03,,,6.91,0.31,3.41,,,267.5,267.5,,,110.0,20.0,329.7,286.6,62.5,31.8,60.3,6.3,2.91,2.21
2023-09-09 23:05:00+00:00,50,5.175,16.99,2.08,,2.08,,,6.88,0.15,3.42,,,270.0,270.0,,,110.0,20.0,299.9,276.4,34.9,17.1,39.1,2.5,3.28,1.38
2023-09-09 23:10:00+00:00,95,6.335,17.51,1.92,,1.92,,,7.02,0.1,3.43,,,267.5,267.5,,,110.0,20.0,355.1,294.4,87.0,45.1,78.1,9.3,2.76,2.88
2023-09-09 23:15:00+00:00,90,6.335,17.91,1.72,,1.72,,,7.02,0.14,3.43,,,267.5,267.5,,,110.0,20.0,345.0,294.5,73.2,37.2,70.0,7.8,2.83,2.28
2023-09-09 23:20:00+00:00,50,5.2,17.07,1.95,,1.95,,,6.9,0.17,3.44,,,277.5,277.5,,,110.0,20.0,303.9,281.6,33.4,16.3,39.0,2.5,3.28,1.23
2023-09-09 23:25:00+00:00,85,6.3,17.98,1.58,,1.58,,,7.09,0.25,3.45,,,270.0,270.0,,,110.0,20.0,340.8,292.1,70.6,36.1,67.5,7.5,2.85,2.29
2023-09-09 23:30:00+00:00,70,6.195,17.9,1.82,,1.82,,,6.84,0.1,3.45,,,272.5,272.5,,,110.0,20.0,334.6,291.8,62.2,31.6,61.1,6.4,2.89,2.07
2023-09-09 23:35:00+00:00,85,4.6,15.44,2.35,,2.35,,,5.15,0.03,3.45,,,282.5,282.5,,,110.0,20.0,292.6,270.8,32.3,15.9,36.7,1.9,3.36,1.36
2023-09-09 23:40:00+00:00,90,6.195,17.68,1.96,,1.96,,,6.84,0.1,3.45,,,275.0,275.0,,,110.0,20.0,341.1,293.3,69.1,35.5,65.8,7.1,2.85,2.33
