Time,CS,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2023-02-01 00:00:00+00:00,85,4.235,13.27,2.03,,2.03,,,4.85,0.07,3.25,,257.5,257.5,,,110.0,20.0,298.1,261.3,52.5,27.6,47.2,2.6,3.13,2.86
2023-02-01 00:05:00+00:00,100,4.125,12.83,1.65,2.05,2.1,,,4.78,0.1,3.27,1.65,262.5,262.5,,92.5,110.0,20.0,299.8,265.3,49.4,26.0,46.0,2.3,3.11,2.58
2023-02-01 00:10:00+00:00,95,4.13,12.8,1.68,2.0,2.03,,,4.82,0.1,3.29,1.68,265.0,265.0,,106.3,110.0,20.0,305.6,266.2,56.0,29.7,48.9,2.6,3.1,3.2
2023-02-01 00:15:00+00:00,95,4.2,12.7,1.54,2.07,2.0,,,4.89,0.1,3.3,1.54,265.0,265.0,,92.5,110.0,20.0,317.0,268.1,69.1,37.2,56.8,3.3,3.02,3.89
2023-02-01 00:20:00+00:00,75,4.2,12.59,1.83,,1.83,,,4.8,0.08,3.32,,260.0,260.0,,,110.0,20.0,314.5,268.1,65.9,34.8,57.0,3.2,3.0,3.23
2023-02-01 00:25:00+00:00,100,4.2,12.6,1.78,,1.78,,,4.82,0.14,3.33,,260.0,260.0,,,110.0,20.0,317.9,265.8,73.7,39.4,61.0,3.5,3.0,3.9
2023-02-01 00:30:00+00:00,75,4.13,12.6,1.37,2.38,1.82,,,4.85,0.1,3.34,1.37,260.0,260.0,,95.0,110.0,20.0,311.3,265.6,64.9,34.5,55.5,3.0,3.05,3.44
2023-02-01 00:35:00+00:00,65,3.95,12.66,1.7,2.05,2.13,,,4.65,0.1,3.34,1.7,267.5,267.5,,92.5,110.0,20.0,292.7,264.8,40.2,20.7,40.2,1.7,3.2,2.02
2023-02-01 00:40:00+00:00,45,3.955,12.65,1.58,2.24,2.1,,,4.82,0.1,3.35,1.58,265.0,265.0,,95.0,110.0,20.0,295.8,260.6,50.1,26.7,43.4,2.2,3.2,3.37
2023-02-01 00:45:00+00:00,75,3.885,12.43,1.37,2.28,2.13,,,4.71,0.17,3.35,1.37,262.5,262.5,,92.5,110.0,20.0,292.2,259.3,46.9,24.8,42.3,1.9,3.2,3.02
2023-02-01 00:50:00+00:00,65,3.95,12.31,1.73,2.38,2.3,,,4.63,0.1,3.35,1.73,267.5,267.5,,92.5,110.0,20.0,299.3,267.5,45.6,23.8,44.2,2.0,3.12,2.26
2023-02-01 00:55:00+00:00,75,3.99,12.08,1.61,2.2,2.17,,,4.78,0.14,3.34,1.61,267.5,267.5,,92.5,110.0,20.0,314.9,268.4,65.8,35.3,54.7,2.9,3.03,3.75
2023-02-01 01:00:00+00:00,40,3.71,11.75,1.78,2.17,2.13,,,4.53,0.1,3.33,1.78,270.0,270.0,,92.5,110.0,20.0,299.1,265.1,48.4,25.6,44.4,1.8,3.17,2.88
2023-02-01 01:05:00+00:00,45,3.75,11.8,1.75,2.2,2.2,,,4.3,0.15,3.32,1.75,277.5,277.5,,92.5,110.0,20.0,299.6,269.6,43.2,22.1,44.2,1.7,3.15,1.86
2023-02-01 01:10:00+00:00,70,4.025,11.73,1.54,2.28,2.41,,,4.64,0.1,3.31,1.54,290.0,290.0,,92.5,110.0,20.0,331.8,282.4,70.4,37.6,62.6,3.1,2.91,3.12
2023-02-01 01:15:00+00:00,75,3.955,11.66,1.58,2.24,2.24,,,4.64,0.31,3.3,1.58,287.5,287.5,,92.5,110.0,20.0,325.3,280.7,63.8,33.6,59.7,2.7,2.95,2.56
2023-02-01 01:20:00+00:00,55,3.725,11.56,1.75,2.2,2.2,,,4.13,0.1,3.28,1.75,290.0,290.0,,92.5,110.0,20.0,306.9,275.4,45.6,23.1,47.9,1.7,3.1,1.71
2023-02-01 01:25:00+00:00,75,,,,2.28,,,,,,4.89,1.61,,,,92.5,,,,,,,,,,
2023-02-01 01:30:00+00:00,65,3.955,11.34,1.89,2.24,3.29,,,4.53,0.04,3.23,1.89,355.0,355.0,,92.5,110.0,20.0,339.4,294.9,64.1,33.1,65.3,2.8,2.87,1.9
2023-02-01 01:35:00+00:00,55,3.85,11.26,1.65,2.22,2.2,,,4.63,0.15,3.21,1.65,302.5,302.5,,92.5,110.0,20.0,332.5,287.4,64.7,33.9,63.5,2.6,2.92,2.2
2023-02-01 01:40:00+00:00,70,3.885,11.34,1.26,2.2,2.28,,,4.64,0.17,3.18,1.26,305.0,305.0,,92.5,110.0,20.0,332.7,288.3,63.8,33.2,63.3,2.6,2.92,2.08
2023-02-01 01:45:00+00:00,65,3.5,10.78,1.68,2.24,2.41,,,4.15,0.1,3.16,1.68,310.0,310.0,,92.5,110.0,20.0,312.1,277.1,50.3,25.9,52.1,1.7,3.08,1.82
2023-02-01 01:50:00+00:00,0,3.55,11.1,1.67,2.28,1.67,,,4.0,0.05,3.13,1.75,190.0,190.0,,92.5,110.0,20.0,,,,,,,3.13,
2023-02-01 01:55:00+00:00,70,3.43,10.92,1.26,2.28,2.66,,,4.08,0.07,3.1,1.26,322.5,322.5,,92.5,110.0,20.0,303.4,272.4,44.7,22.7,47.3,1.4,3.18,1.68
2023-02-01 02:00:00+00:00,40,3.325,10.6,1.37,2.2,2.66,,,3.97,0.1,3.07,1.37,325.0,325.0,,92.5,110.0,20.0,300.0,269.8,43.3,21.9,45.9,1.3,3.19,1.67
2023-02-01 02:05:00+00:00,25,3.775,11.05,1.65,2.25,2.38,,,4.1,0.13,3.04,1.65,315.0,315.0,,92.5,110.0,20.0,328.8,288.9,57.7,29.3,60.5,2.2,2.93,1.72
2023-02-01 02:10:00+00:00,75,3.815,11.21,1.4,2.1,2.17,,,4.53,0.25,3.01,1.4,307.5,307.5,,92.5,110.0,20.0,330.2,289.3,59.1,30.3,61.5,2.4,2.94,1.77
2023-02-01 02:15:00+00:00,75,3.885,11.23,1.58,2.03,2.17,,,4.61,0.1,2.98,1.58,307.5,307.5,,92.5,110.0,20.0,336.3,290.2,66.2,34.4,66.2,2.7,2.89,2.04
