Time,CS,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,fbEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2023-11-01 02:05:00+00:00,70,4.85,16.5,2.42,,2.42,,,5.4,0.05,2.84,,,255.0,255.0,,,110.0,20.0,276.1,254.3,31.8,16.0,33.3,2.0,3.4,1.7
2023-11-01 02:10:00+00:00,100,5.075,16.86,2.03,,2.03,,,5.9,0.17,2.81,,,245.0,245.0,,,110.0,20.0,278.1,249.0,41.8,21.7,39.7,2.9,3.32,2.37
2023-11-01 02:15:00+00:00,100,5.04,17.13,1.89,,1.89,,,5.76,0.1,2.78,,,240.0,240.0,,,110.0,20.0,270.0,244.5,36.9,18.9,36.7,2.5,3.4,2.04
2023-11-01 02:20:00+00:00,100,4.95,17.45,2.13,,2.13,,,5.6,0.05,2.75,,,240.0,240.0,,,110.0,20.0,260.6,240.2,29.7,15.1,30.6,2.0,3.53,1.79
2023-11-01 02:25:00+00:00,95,5.215,17.88,1.72,,1.72,,,5.93,0.1,2.73,,,230.0,230.0,,,110.0,20.0,264.2,236.4,40.0,20.8,37.9,3.0,3.43,2.39
2023-11-01 02:30:00+00:00,100,4.97,17.7,2.0,,2.0,,,5.76,0.1,2.7,,,230.0,230.0,,,110.0,20.0,252.9,231.5,31.0,15.9,31.0,2.1,3.56,1.99
2023-11-01 02:35:00+00:00,100,5.0,17.61,2.42,,2.42,,,5.85,0.13,2.68,,,232.5,232.5,,,110.0,20.0,255.5,232.5,33.2,17.3,31.8,2.3,3.52,2.32
2023-11-01 02:40:00+00:00,75,5.11,17.75,1.89,,1.89,,,5.93,0.17,2.67,,,222.5,222.5,,,110.0,20.0,255.3,227.9,39.3,20.4,36.6,2.8,3.47,2.59
2023-11-01 02:45:00+00:00,100,5.04,17.88,1.78,,1.78,,,5.8,0.1,2.65,,,217.5,217.5,,,110.0,20.0,249.4,222.5,38.5,20.2,35.6,2.7,3.55,2.63
2023-11-01 02:50:00+00:00,85,4.3,16.82,1.67,,1.67,,,4.85,0.03,2.65,,,215.0,215.0,,,110.0,20.0,227.2,214.3,19.0,10.6,21.3,1.0,3.91,1.39
2023-11-01 02:55:00+00:00,100,4.795,17.39,2.13,,2.13,,,5.34,0.14,2.64,,,215.0,215.0,,,110.0,20.0,239.6,215.3,34.7,18.3,29.7,2.2,3.63,3.6
2023-11-01 03:00:00+00:00,90,4.55,16.68,1.89,,1.89,,,5.27,0.1,2.64,,,210.0,210.0,,,110.0,20.0,234.6,211.0,33.8,17.7,29.8,1.9,3.67,3.32
2023-11-01 03:05:00+00:00,65,4.1,15.74,2.5,,2.5,,,4.65,0.05,2.64,,,215.0,215.0,,,110.0,20.0,227.7,210.0,25.5,13.4,24.6,1.2,3.84,2.34
2023-11-01 03:10:00+00:00,100,4.375,16.16,1.78,2.13,2.17,,,5.06,0.07,2.65,1.78,,210.0,210.0,,97.5,110.0,20.0,234.8,211.2,33.7,17.9,30.5,1.8,3.69,2.91
2023-11-01 03:15:00+00:00,70,4.165,15.64,1.72,2.17,2.48,,,4.85,0.14,2.66,1.72,,212.5,212.5,,97.5,110.0,20.0,229.5,209.3,28.9,15.4,26.4,1.4,3.76,2.88
2023-11-01 03:20:00+00:00,80,3.825,14.81,2.63,,2.63,,,4.53,0.08,2.68,,,215.0,215.0,,,110.0,20.0,223.5,207.5,22.9,12.2,22.2,0.9,3.87,2.35
2023-11-01 03:25:00+00:00,75,3.85,13.95,1.78,2.24,2.52,,,4.32,0.21,2.7,1.78,,210.0,210.0,,97.5,110.0,20.0,249.1,210.2,54.6,30.1,42.3,2.2,3.62,5.53
2023-11-01 03:30:00+00:00,75,3.22,12.74,1.78,2.41,2.41,,,3.87,0.1,2.73,1.78,,207.5,207.5,,95.0,110.0,20.0,214.2,199.2,21.5,11.5,20.4,0.6,3.96,2.67
2023-11-01 03:35:00+00:00,70,3.35,11.38,2.85,,2.85,,,4.03,0.17,2.76,,,262.5,262.5,,,110.0,20.0,274.2,246.2,40.2,21.3,40.0,1.3,3.4,2.16
2023-11-01 03:40:00+00:00,70,3.045,10.79,1.78,2.17,2.2,,,3.84,0.35,2.8,1.78,,222.5,222.5,,97.5,110.0,20.0,247.6,220.3,39.0,21.3,33.8,1.0,3.54,3.59
2023-11-01 03:45:00+00:00,0,3.22,10.49,1.78,2.07,2.1,,,3.9,0.17,2.84,1.78,,222.5,222.5,,97.5,110.0,20.0,,,,,,,3.26,
2023-11-01 03:50:00+00:00,50,2.1,8.89,1.8,,1.8,,,4.03,0.05,2.88,,,207.5,207.5,,,110.0,20.0,200.6,190.4,14.1,10.6,15.1,0.2,4.24,1.8
2023-11-01 03:55:00+00:00,100,3.465,10.89,1.89,,1.89,,,4.26,0.17,2.93,,,237.5,237.5,,,110.0,20.0,290.9,249.2,58.8,30.4,58.0,1.9,3.14,2.12
2023-11-01 04:00:00+00:00,0,3.5,11.1,2.13,,2.13,,,4.29,0.21,2.99,,,282.5,282.5,,,110.0,20.0,,,,,,,3.17,
2023-11-01 04:05:00+00:00,70,3.45,11.22,2.45,,2.45,,,3.63,0.13,3.05,,,280.0,280.0,,,110.0,20.0,278.4,245.0,46.9,24.1,51.2,1.6,3.25,1.59
2023-11-01 04:10:00+00:00,100,3.57,11.66,1.78,,1.78,,,4.39,0.28,3.11,,,250.0,250.0,,,110.0,20.0,277.3,243.1,47.8,24.7,52.1,1.7,3.27,1.63
2023-11-01 04:15:00+00:00,100,3.78,11.9,1.58,,1.58,,,4.5,0.1,3.17,,,240.0,240.0,,,110.0,20.0,286.4,241.7,62.6,32.7,62.9,2.5,3.15,2.06
2023-11-01 04:20:00+00:00,50,3.6,12.19,1.73,,1.73,,,4.45,0.05,3.24,,,245.0,245.0,,,110.0,20.0,265.4,234.6,42.7,22.5,48.8,1.6,3.39,1.49
2023-11-01 04:25:00+00:00,95,4.235,13.04,1.82,,1.82,,,4.89,0.07,3.31,,,245.0,245.0,,,110.0,20.0,292.2,239.9,73.5,38.9,71.1,3.7,3.08,2.36
2023-11-01 04:30:00+00:00,100,4.445,13.9,2.17,,2.17,,,5.24,0.17,3.39,,,250.0,250.0,,,110.0,20.0,286.3,237.1,69.1,36.7,67.9,3.8,3.13,2.26
2023-11-01 04:35:00+00:00,95,4.525,14.92,1.75,,1.75,,,5.32,0.1,3.47,,,242.5,242.5,,,110.0,20.0,268.3,229.9,53.5,28.5,57.2,3.2,3.3,1.8
2023-11-01 04:40:00+00:00,100,5.005,15.98,1.96,,1.96,,,5.62,0.21,3.55,,,240.0,240.0,,,110.0,20.0,273.7,227.2,64.9,34.4,66.2,4.6,3.19,2.03
2023-11-01 04:45:00+00:00,100,5.285,17.26,2.1,,2.1,,,6.11,0.21,3.63,,,237.5,237.5,,,110.0,20.0,265.4,221.3,61.5,32.9,64.8,5.0,3.27,1.88
2023-11-01 04:50:00+00:00,65,5.5,18.55,2.03,,2.03,,,6.18,0.13,3.71,,,235.0,235.0,,,110.0,20.0,251.2,216.1,48.3,25.6,55.8,4.3,3.37,1.47
2023-11-01 04:55:00+00:00,100,5.985,19.8,2.1,,2.1,,,6.67,0.17,3.8,,,230.0,230.0,,,110.0,20.0,267.2,214.3,75.5,41.5,64.5,7.8,3.31,3.45
2023-11-01 05:00:00+00:00,95,6.37,21.05,2.41,,2.41,,,7.05,0.17,3.88,,,227.5,227.5,,,110.0,20.0,259.3,209.4,70.3,38.0,68.9,8.2,3.31,2.35
2023-11-01 05:05:00+00:00,95,6.8,22.33,2.4,,2.4,,,7.45,0.08,3.97,,,220.0,220.0,,,110.0,20.0,264.4,207.4,81.0,44.0,73.6,10.7,3.28,2.96
2023-11-01 05:10:00+00:00,100,7.07,23.93,2.41,,2.41,,,7.72,0.14,4.06,,,217.5,217.5,,,110.0,20.0,249.7,204.8,62.7,33.7,63.7,9.0,3.38,2.09
2023-11-01 05:15:00+00:00,100,7.35,25.17,2.52,,2.52,,,8.03,0.14,4.15,,,215.0,215.0,,,110.0,20.0,244.3,203.4,56.6,30.3,60.3,8.9,3.42,1.82
2023-11-01 05:20:00+00:00,65,7.7,26.17,2.45,,2.45,,,7.9,0.13,4.23,,,215.0,215.0,,,110.0,20.0,246.8,203.6,59.8,31.9,62.4,10.2,3.4,1.89
2023-11-01 05:25:00+00:00,95,7.945,27.59,2.48,,2.48,,,8.63,0.1,4.32,,,215.0,215.0,,,110.0,20.0,242.1,204.5,51.9,27.8,54.8,9.6,3.47,1.82
2023-11-01 05:30:00+00:00,95,8.26,28.92,2.59,,2.59,,,8.94,0.07,4.41,,,217.5,217.5,,,110.0,20.0,241.2,204.2,51.6,28.0,53.6,10.4,3.5,1.97
2023-11-01 05:35:00+00:00,85,8.5,29.65,1.67,,2.6,1.67,1.83,9.15,0.08,4.49,,,217.5,217.5,107.3,,97.1,7.0,235.6,199.1,50.2,27.0,56.5,10.8,3.49,1.59
2023-11-01 05:40:00+00:00,95,8.75,30.72,1.61,,2.77,1.61,1.93,9.47,0.1,4.58,,,215.0,215.0,105.7,,97.5,7.4,235.7,197.5,52.9,28.8,56.6,12.1,3.51,1.84
2023-11-01 05:45:00+00:00,95,8.96,31.55,2.1,,2.8,2.1,2.21,9.65,0.14,4.66,,,217.5,217.5,112.0,,97.7,7.6,236.8,196.1,56.2,30.8,55.5,13.6,3.52,2.04
2023-11-01 05:50:00+00:00,90,9.05,32.08,2.2,,2.92,2.2,2.23,9.73,0.1,4.74,,,220.0,220.0,112.6,,110.0,20.0,232.2,197.5,47.5,26.0,51.5,11.8,3.55,1.76
2023-11-01 05:55:00+00:00,95,9.1,32.7,1.78,,2.66,1.78,2.25,9.78,0.14,4.82,,,217.5,217.5,103.9,,98.5,8.4,228.9,195.5,45.1,24.3,44.4,11.3,3.59,1.58
2023-11-01 06:00:00+00:00,95,9.205,32.63,2.13,,3.01,2.13,2.25,9.93,0.1,4.9,,,215.0,215.0,108.7,,96.7,6.6,229.8,192.1,51.3,28.0,55.3,13.1,3.55,1.73
2023-11-01 06:05:00+00:00,95,9.225,33.12,2.08,2.47,2.97,2.08,2.2,10.07,0.05,4.97,2.22,,217.5,217.5,104.7,107.5,95.7,5.7,228.7,192.9,49.4,27.5,54.5,13.0,3.59,1.8
2023-11-01 06:10:00+00:00,95,9.415,33.69,1.75,2.52,3.01,1.75,2.25,10.17,0.14,5.05,2.28,,217.5,217.5,101.0,107.5,96.8,6.7,229.1,193.7,48.5,26.7,52.0,13.1,3.58,1.79
2023-11-01 06:15:00+00:00,95,9.275,33.52,1.89,2.52,3.08,1.89,2.28,9.78,0.07,5.12,2.31,,215.0,215.0,101.8,107.9,96.4,6.3,223.5,189.9,45.5,25.0,51.6,12.1,3.61,1.58
2023-11-01 06:20:00+00:00,85,9.55,33.31,3.08,,3.08,,,10.23,0.1,5.19,,,212.5,212.5,,,110.0,20.0,231.9,194.3,50.7,27.1,57.0,13.7,3.49,1.56
2023-11-01 06:25:00+00:00,95,9.73,33.1,3.12,,3.12,,,10.35,0.1,5.25,,,215.0,215.0,,,110.0,20.0,247.5,197.3,69.9,37.9,67.4,19.2,3.4,2.31
2023-11-01 06:30:00+00:00,85,9.905,33.93,3.5,,3.5,,,10.52,0.07,5.32,,,217.5,217.5,,,110.0,20.0,241.9,199.2,58.8,32.1,67.1,17.2,3.42,1.6
2023-11-01 06:35:00+00:00,85,10.025,34.87,3.9,,3.9,,,10.65,0.08,5.38,,,222.5,222.5,,,110.0,20.0,236.2,197.3,53.5,29.7,66.3,16.4,3.48,1.33
2023-11-01 06:40:00+00:00,85,10.045,34.93,2.41,,3.57,2.41,2.74,10.66,0.1,5.44,,,222.5,222.5,102.7,,97.8,7.7,232.1,190.3,56.5,31.4,62.5,17.5,3.48,1.71
2023-11-01 06:45:00+00:00,85,10.08,34.51,4.13,,4.13,,,10.73,0.1,5.5,,,215.0,215.0,,,110.0,20.0,240.1,191.9,66.8,36.5,73.1,19.9,3.42,1.81
2023-11-01 06:50:00+00:00,95,9.9,33.33,3.92,,3.92,,,10.63,0.15,5.55,,,212.5,212.5,,,110.0,20.0,244.6,191.8,72.8,39.6,78.9,20.8,3.37,1.83
2023-11-01 06:55:00+00:00,85,10.045,33.96,3.54,,3.54,,,10.69,0.1,5.6,,,210.0,210.0,,,110.0,20.0,243.3,196.9,63.2,34.3,71.3,18.9,3.38,1.62
2023-11-01 07:00:00+00:00,95,10.115,34.05,2.48,,3.95,2.48,2.77,10.8,0.1,5.65,,,215.0,215.0,101.1,,95.7,5.6,242.4,191.8,68.5,38.3,81.9,21.4,3.37,1.51
2023-11-01 07:05:00+00:00,95,10.275,34.85,4.18,,4.18,,,10.95,0.08,5.7,,,215.0,215.0,,,110.0,20.0,244.1,199.8,60.4,33.4,76.3,19.4,3.39,1.28
2023-11-01 07:10:00+00:00,95,10.325,36.01,3.99,,3.99,,,11.01,0.14,5.74,,,215.0,215.0,,,110.0,20.0,236.3,200.2,48.8,27.4,66.0,16.4,3.49,1.09
2023-11-01 07:15:00+00:00,95,10.29,36.27,3.67,,3.67,,,11.01,0.07,5.79,,,215.0,215.0,,,110.0,20.0,233.1,199.6,45.1,25.3,60.0,15.2,3.53,1.14
2023-11-01 07:20:00+00:00,95,10.475,36.08,2.78,,4.2,2.78,2.81,11.05,0.05,5.83,,,230.0,230.0,107.2,,110.0,20.0,236.6,194.3,57.2,32.0,71.2,19.4,3.44,1.37
2023-11-01 07:25:00+00:00,95,10.43,36.06,2.77,,3.92,2.77,2.84,11.15,0.14,5.87,,,225.0,225.0,105.9,,110.0,20.0,236.5,193.4,58.3,32.3,66.5,19.3,3.46,1.64
2023-11-01 07:30:00+00:00,95,10.465,35.62,2.41,,4.09,2.41,2.77,11.15,0.1,5.9,,,225.0,225.0,99.0,,95.3,5.2,241.3,189.6,71.7,40.2,77.6,23.8,3.4,1.98
2023-11-01 07:35:00+00:00,95,10.3,34.87,3.92,,3.92,,,11.07,0.13,5.94,,,222.5,222.5,,,110.0,20.0,238.6,194.3,59.7,32.8,72.6,19.1,3.39,1.4
2023-11-01 07:40:00+00:00,90,10.36,34.82,4.13,,4.13,,,11.11,0.17,5.97,,,225.0,225.0,,,110.0,20.0,245.9,195.1,69.8,38.5,78.1,22.3,3.36,1.73
2023-11-01 07:45:00+00:00,95,10.43,34.83,4.13,,4.13,,,11.08,0.14,6.0,,,222.5,222.5,,,110.0,20.0,247.2,195.0,71.4,39.1,80.6,23.0,3.34,1.67
2023-11-01 07:50:00+00:00,95,10.3,34.92,4.07,,4.07,,,10.98,0.08,6.03,,,220.0,220.0,,,110.0,20.0,236.7,193.4,57.2,31.3,74.2,18.5,3.39,1.2
2023-11-01 07:55:00+00:00,100,10.29,35.12,4.06,,4.06,,,11.01,0.14,6.06,,,220.0,220.0,,,110.0,20.0,237.8,196.0,55.3,30.6,72.2,18.1,3.41,1.2
2023-11-01 08:00:00+00:00,95,10.325,35.05,4.13,,4.13,,,11.08,0.17,6.08,,,220.0,220.0,,,110.0,20.0,239.7,196.5,57.5,31.9,74.1,18.9,3.39,1.24
2023-11-01 08:05:00+00:00,95,10.4,34.92,4.35,,4.35,,,11.05,0.15,6.11,,,220.0,220.0,,,110.0,20.0,240.6,195.0,60.5,33.5,79.1,20.1,3.36,1.2
2023-11-01 08:10:00+00:00,95,10.36,35.42,4.2,,4.2,,,11.01,0.14,6.13,,,217.5,217.5,,,110.0,20.0,238.1,197.1,53.8,30.0,73.5,18.1,3.42,1.09
2023-11-01 08:15:00+00:00,95,10.325,35.45,4.2,,4.2,,,11.01,0.1,6.16,,,222.5,222.5,,,110.0,20.0,236.7,198.0,51.2,29.0,70.8,17.4,3.43,1.08
2023-11-01 08:20:00+00:00,85,10.4,36.01,4.97,,4.97,,,10.98,0.05,6.18,,,235.0,235.0,,,110.0,20.0,232.5,191.2,53.8,30.0,76.6,18.2,3.46,1.01
2023-11-01 08:25:00+00:00,95,10.255,34.6,4.24,,4.24,,,11.11,0.21,6.2,,,227.5,227.5,,,110.0,20.0,237.3,191.7,61.0,33.8,74.7,19.5,3.37,1.4
2023-11-01 08:30:00+00:00,95,10.605,34.24,4.16,,4.16,,,11.22,0.14,6.22,,,220.0,220.0,,,110.0,20.0,258.8,192.2,91.9,49.9,94.2,29.7,3.23,2.09
2023-11-01 08:35:00+00:00,95,10.425,33.99,4.18,,4.18,,,11.02,0.2,6.23,,,217.5,217.5,,,110.0,20.0,245.3,191.5,71.5,38.8,85.3,22.9,3.26,1.44
2023-11-01 08:40:00+00:00,95,10.675,34.17,5.01,,5.01,,,11.19,0.1,6.25,,,220.0,220.0,,,110.0,20.0,257.0,198.9,78.1,43.0,95.6,26.6,3.2,1.4
2023-11-01 08:45:00+00:00,50,,,,,,,,,,12.11,,,,,,,,,,,,,,,,
2023-11-01 08:50:00+00:00,75,10.25,34.94,5.05,,5.05,,,10.93,0.13,6.28,,,232.5,232.5,,,110.0,20.0,235.6,192.7,55.3,31.3,81.1,18.5,3.41,1.0
2023-11-01 08:55:00+00:00,95,10.535,34.61,4.86,,4.86,,,11.01,0.14,6.3,,,235.0,235.0,,,110.0,20.0,247.0,196.9,66.3,36.8,86.8,22.5,3.29,1.21
2023-11-01 09:00:00+00:00,90,10.78,33.94,5.04,,5.04,,,11.5,0.31,6.32,,,230.0,230.0,,,110.0,20.0,264.7,200.0,87.9,48.2,101.9,30.1,3.15,1.58
2023-11-01 09:05:00+00:00,90,10.788,34.55,4.13,,4.13,,,11.32,0.05,6.33,,,210.0,222.5,,,110.0,20.0,254.8,201.9,64.2,37.6,87.3,24.1,3.21,1.26
2023-11-01 09:10:00+00:00,90,10.465,35.42,4.27,,4.27,,,11.05,0.04,6.35,,,220.0,220.0,,,110.0,20.0,243.1,199.9,55.7,31.1,79.3,19.3,3.38,1.02
2023-11-01 09:15:00+00:00,85,10.78,35.74,5.04,,5.04,,,11.4,0.14,6.36,,,230.0,230.0,,,110.0,20.0,247.0,200.4,60.9,34.1,86.3,22.1,3.32,1.02
2023-11-01 09:20:00+00:00,85,10.75,35.61,5.43,,5.43,,,11.3,0.08,6.37,,,237.5,237.5,,,110.0,20.0,244.1,196.2,62.5,34.8,88.0,22.4,3.31,1.04
2023-11-01 09:25:00+00:00,85,10.71,35.47,5.01,,5.01,,,11.22,0.25,6.39,,,235.0,235.0,,,110.0,20.0,246.6,198.0,64.8,36.4,86.2,23.0,3.31,1.18
2023-11-01 09:30:00+00:00,95,10.64,33.99,4.97,,4.97,,,11.15,0.17,6.4,,,232.5,232.5,,,110.0,20.0,252.0,194.9,76.0,41.6,92.9,25.6,3.19,1.39
2023-11-01 09:35:00+00:00,45,9.05,32.4,4.8,,4.8,,,10.88,0.05,6.41,,,227.5,227.5,,,110.0,20.0,217.1,178.1,47.6,27.7,74.0,12.9,3.58,1.0
2023-11-01 09:40:00+00:00,85,10.78,31.12,4.86,,4.86,,,11.32,0.17,6.43,,,222.5,222.5,,,110.0,20.0,282.9,198.9,110.8,58.2,125.4,36.1,2.89,1.57
2023-11-01 09:45:00+00:00,80,11.498,33.66,4.2,,4.2,,,12.02,0.04,6.44,,,207.5,412.5,,,110.0,20.0,285.2,218.1,28.9,44.2,89.1,32.5,2.93,1.01
2023-11-01 09:50:00+00:00,85,10.863,35.67,6.35,,6.35,,,11.4,,6.45,,,285.0,340.0,,,110.0,20.0,269.4,222.8,23.2,32.9,51.2,22.4,3.29,1.0
2023-11-01 09:55:00+00:00,40,7.21,25.69,6.34,,6.34,,,7.76,,6.46,,,305.0,305.0,,,110.0,20.0,206.5,153.8,62.8,34.7,84.7,9.9,3.56,1.26
2023-11-01 10:00:00+00:00,85,10.395,37.14,5.39,,5.39,,,10.9,0.04,6.47,,,275.0,275.0,,,110.0,20.0,238.6,204.9,41.9,25.6,76.7,16.3,3.57,1.0
2023-11-01 10:05:00+00:00,85,11.3,38.77,5.35,,5.35,,,11.82,0.05,6.49,,,262.5,262.5,,,110.0,20.0,243.6,206.6,47.5,27.4,78.8,20.3,3.43,1.0
2023-11-01 10:10:00+00:00,65,12.285,39.27,4.34,,4.34,,,10.9,0.14,6.5,,,242.5,242.5,,,110.0,20.0,264.6,218.8,61.9,34.2,81.6,28.8,3.2,1.13
2023-11-01 10:15:00+00:00,95,12.53,39.51,5.39,,5.39,,,13.07,0.17,6.51,,,250.0,250.0,,,110.0,20.0,266.9,215.0,70.5,38.8,93.2,33.6,3.15,1.13
2023-11-01 10:20:00+00:00,95,12.3,39.71,5.15,,5.15,,,12.9,0.05,6.52,,,250.0,250.0,,,110.0,20.0,259.3,214.1,60.8,33.9,86.9,28.8,3.23,1.0
2023-11-01 10:25:00+00:00,95,12.425,39.28,5.01,,5.01,,,13.11,0.1,6.53,,,252.5,252.5,,,110.0,20.0,270.5,215.1,76.9,42.8,93.0,35.9,3.16,1.43
2023-11-01 10:30:00+00:00,90,12.18,39.35,5.11,,5.11,,,12.8,0.1,6.54,,,247.5,247.5,,,110.0,20.0,256.5,209.4,63.5,35.2,85.4,29.0,3.23,1.09
2023-11-01 10:35:00+00:00,85,11.4,39.03,4.75,,4.75,,,11.95,0.03,6.55,,,240.0,240.0,,,110.0,20.0,239.9,202.9,48.4,27.5,73.9,20.4,3.42,1.0
2023-11-01 10:40:00+00:00,95,12.495,38.99,4.83,,4.83,,,13.04,0.14,6.55,,,237.5,237.5,,,110.0,20.0,272.9,211.9,84.0,45.9,96.7,38.6,3.12,1.57
2023-11-01 10:45:00+00:00,95,12.285,39.11,5.6,,5.6,,,12.73,0.21,6.56,,,242.5,242.5,,,110.0,20.0,260.0,207.6,70.7,38.6,91.9,32.0,3.18,1.17
2023-11-01 10:50:00+00:00,85,11.9,39.03,4.93,,4.93,,,12.48,0.05,6.57,,,237.5,237.5,,,110.0,20.0,249.7,205.7,58.3,32.2,82.5,25.6,3.28,1.0
2023-11-01 10:55:00+00:00,95,12.18,38.63,4.41,,4.41,,,12.69,0.14,6.58,,,230.0,230.0,,,110.0,20.0,267.6,210.1,79.1,43.3,89.9,34.7,3.17,1.62
