Time,CS,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,fbEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2023-11-01 00:00:00+00:00,70,4.41,14.55,2.17,,2.17,,,4.99,0.07,3.27,,,270.0,270.0,,,110.0,20.0,292.1,267.7,35.5,18.0,37.4,1.9,3.3,1.69
2023-11-01 00:05:00+00:00,45,3.425,11.99,1.67,1.95,1.95,,,4.0,0.03,3.28,1.67,,265.0,265.0,,95.0,110.0,20.0,270.9,251.9,27.5,14.2,28.9,0.9,3.5,1.75
2023-11-01 00:10:00+00:00,90,4.69,14.89,1.89,2.2,2.03,,,5.3,0.14,3.29,1.89,2.03,265.0,265.0,,95.0,110.0,20.0,299.6,269.5,43.5,22.3,43.5,2.6,3.17,1.98
2023-11-01 00:15:00+00:00,65,3.605,12.72,1.72,2.52,2.59,,,4.18,0.04,3.3,1.72,,277.5,277.5,,95.0,110.0,20.0,270.8,253.0,25.7,13.0,27.4,0.9,3.53,1.63
2023-11-01 00:20:00+00:00,90,4.775,15.01,1.42,1.9,2.78,,,5.32,0.08,3.3,1.42,,280.0,280.0,,95.0,110.0,20.0,300.5,271.4,42.1,21.6,42.5,2.6,3.14,1.93
2023-11-01 00:25:00+00:00,95,4.935,15.12,1.68,,1.68,,,5.59,0.14,3.31,,,257.5,257.5,,,110.0,20.0,311.8,266.6,64.5,34.0,56.1,4.3,3.06,3.32
2023-11-01 00:30:00+00:00,100,4.865,14.95,1.78,,1.78,,,5.34,0.17,3.31,,,257.5,257.5,,,110.0,20.0,306.1,266.2,57.1,29.8,51.9,3.7,3.07,2.75
2023-11-01 00:35:00+00:00,100,4.725,14.77,1.77,,1.77,,,5.2,0.15,3.3,,,257.5,257.5,,,110.0,20.0,298.0,264.7,47.9,24.6,46.2,2.9,3.13,2.22
2023-11-01 00:40:00+00:00,100,4.795,14.54,1.96,,1.96,,,5.41,0.14,3.3,,,260.0,260.0,,,110.0,20.0,309.4,268.9,57.8,30.1,52.3,3.6,3.03,2.77
2023-11-01 00:45:00+00:00,90,4.795,14.47,1.72,2.17,2.17,,,5.45,0.1,3.29,1.72,,265.0,265.0,,95.0,110.0,20.0,312.9,273.1,56.9,29.7,51.8,3.5,3.02,2.72
2023-11-01 00:50:00+00:00,95,4.375,14.04,1.67,2.0,2.42,,,5.07,0.05,3.27,1.67,,275.0,275.0,,95.0,110.0,20.0,296.0,268.2,40.3,20.6,41.2,2.1,3.21,1.85
2023-11-01 00:55:00+00:00,75,4.48,13.62,1.89,2.94,3.88,,,5.2,0.14,3.26,1.89,,337.5,337.5,,95.0,110.0,20.0,319.7,282.3,53.9,28.1,53.8,3.0,3.04,2.05
2023-11-01 01:00:00+00:00,75,4.585,13.32,1.75,2.87,2.41,,,5.2,0.1,3.24,1.75,2.41,285.0,285.0,,95.0,110.0,20.0,332.1,284.1,68.5,36.3,60.9,3.9,2.9,3.06
2023-11-01 01:05:00+00:00,0,4.55,13.32,1.73,2.92,2.5,,,5.15,0.05,3.22,1.73,2.5,302.5,302.5,,95.0,110.0,20.0,,,,,,,2.93,
2023-11-01 01:10:00+00:00,65,4.55,13.55,1.78,3.05,2.77,,,5.27,0.21,3.19,1.78,2.77,302.5,302.5,,95.0,110.0,20.0,324.5,285.9,55.9,28.7,56.5,3.2,2.98,1.92
2023-11-01 01:15:00+00:00,75,4.62,13.56,1.78,2.66,2.97,,,5.34,0.17,3.17,1.78,,307.5,307.5,,95.0,110.0,20.0,327.3,287.5,57.6,29.6,58.1,3.3,2.93,1.94
2023-11-01 01:20:00+00:00,50,4.7,13.81,1.7,2.47,2.75,,,5.03,0.1,3.14,1.7,,297.5,297.5,,95.0,110.0,20.0,330.3,286.6,62.8,33.0,60.4,3.8,2.94,2.34
2023-11-01 01:25:00+00:00,95,4.795,14.03,1.78,2.2,2.52,,,5.48,0.1,3.11,1.78,,290.0,290.0,,95.0,110.0,20.0,330.7,284.6,65.9,34.8,60.9,4.2,2.93,2.68
2023-11-01 01:30:00+00:00,100,4.655,14.36,1.54,2.48,2.48,,,5.41,0.14,3.08,1.54,,285.0,285.0,,95.0,110.0,20.0,311.0,277.0,49.4,25.4,49.9,2.9,3.09,1.93
2023-11-01 01:35:00+00:00,95,4.875,14.53,2.45,,2.45,,,5.53,0.17,3.05,,,282.5,282.5,,,110.0,20.0,323.5,279.5,62.9,33.4,57.6,4.1,2.98,2.81
2023-11-01 01:40:00+00:00,100,5.005,14.76,1.86,2.28,2.28,,,5.62,0.17,3.01,1.86,,275.0,275.0,,95.0,110.0,20.0,329.3,276.5,74.8,40.0,62.6,5.1,2.95,3.66
2023-11-01 01:45:00+00:00,95,4.935,15.12,1.72,2.24,2.24,,,5.72,0.14,2.98,1.72,,270.0,270.0,,97.5,110.0,20.0,311.5,271.4,57.3,30.1,52.1,3.8,3.06,2.85
2023-11-01 01:50:00+00:00,100,4.825,15.67,2.08,,2.08,,,5.28,0.08,2.94,,,265.0,265.0,,,110.0,20.0,292.1,265.8,38.3,19.4,39.6,2.4,3.25,1.76
2023-11-01 01:55:00+00:00,100,5.005,16.02,1.92,,1.92,,,5.76,0.17,2.91,,,257.5,257.5,,,110.0,20.0,296.4,261.4,50.1,26.3,45.5,3.4,3.2,2.89
2023-11-01 02:00:00+00:00,100,5.005,16.26,1.75,,1.75,,,5.83,0.17,2.88,,,250.0,250.0,,,110.0,20.0,286.8,256.0,44.3,22.8,42.9,3.0,3.25,2.22
