Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,fbEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2020-09-01 00:00:00+00:00,70,2.75,,8.11,1.75,2.8,1.75,,,3.55,0.15,3.49,1.8,,297.5,297.5,,100.0,110.0,20.0,344.7,,269.9,106.0,,58.3,83.1,2.2,2.95,5.55,
2020-09-01 00:05:00+00:00,65,2.75,,8.34,1.65,2.0,1.65,,,3.35,0.1,3.49,1.65,,295.0,295.0,,107.5,110.0,20.0,317.2,,270.5,66.7,,36.0,61.2,1.4,3.03,2.95,
2020-09-01 00:10:00+00:00,65,2.7,,8.39,1.7,2.2,1.7,,,3.3,0.1,3.48,1.75,,287.5,287.5,,107.5,110.0,20.0,306.3,,267.6,55.0,,28.5,55.5,1.1,3.11,2.0,
2020-09-01 00:15:00+00:00,65,2.6,,7.66,1.55,2.1,1.6,,,3.4,0.4,3.47,1.55,1.6,295.0,295.0,,107.5,110.0,20.0,320.3,,272.6,67.6,,35.8,64.0,1.3,2.95,2.5,
2020-09-01 00:20:00+00:00,90,2.75,,8.27,1.75,,1.75,,,3.35,0.15,3.46,,,310.0,310.0,,,110.0,20.0,320.6,,274.4,66.1,,35.6,62.9,1.4,3.01,2.67,
2020-09-01 00:25:00+00:00,90,2.6,,8.34,1.7,,1.7,,,3.2,0.1,3.44,,,285.0,285.0,,,110.0,20.0,296.8,,262.0,49.5,,26.2,49.6,0.9,3.21,2.12,
2020-09-01 00:30:00+00:00,100,2.65,,8.18,1.7,,1.7,,,3.35,0.1,3.43,,,297.5,297.5,,,110.0,20.0,331.3,,263.2,96.7,,53.3,75.8,1.9,3.09,5.57,
2020-09-01 00:35:00+00:00,90,2.7,,8.14,1.75,,1.75,,,3.25,0.1,3.41,,,292.5,292.5,,,110.0,20.0,341.8,,266.6,106.7,,58.7,83.9,2.2,3.02,5.56,
2020-09-01 00:40:00+00:00,90,2.7,,8.18,1.85,,1.85,,,3.4,0.15,3.39,,,300.0,300.0,,,110.0,20.0,340.9,,264.3,108.7,,59.8,86.4,2.2,3.03,5.52,
2020-09-01 00:45:00+00:00,65,2.65,,8.14,1.65,2.1,2.0,,,3.2,0.1,3.37,1.65,2.0,327.5,327.5,,95.0,110.0,20.0,315.3,,274.9,57.5,,30.3,59.8,1.1,3.07,1.89,
