Time,CS,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,fbEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2019-07-01 08:30:00+00:00,75,5.8,20.17,3.35,4.25,4.7,,,6.4,0.1,5.29,3.35,,275.0,275.0,,107.5,110.0,20.0,204.1,139.1,69.5,42.7,112.3,7.8,3.48,1.18
2019-07-01 08:35:00+00:00,65,5.05,18.08,3.4,4.4,4.6,,,5.6,,5.3,3.4,,299.0,299.0,,107.5,110.0,20.0,185.7,126.0,59.1,37.5,117.1,5.2,3.58,1.03
2019-07-01 08:40:00+00:00,85,5.3,16.39,1.8,4.1,4.7,1.8,2.71,5.85,0.05,5.32,2.75,,335.0,335.0,98.5,103.2,97.3,7.2,229.4,140.6,101.9,59.6,149.4,8.9,3.09,1.26
2019-07-01 08:45:00+00:00,40,5.05,16.06,3.35,4.2,4.45,,,5.75,0.1,5.34,3.35,,353.0,353.0,,107.5,110.0,20.0,216.1,129.9,77.2,52.3,163.9,7.2,3.18,1.0
2019-07-01 08:50:00+00:00,50,,,2.25,4.25,,2.25,2.56,,,5.36,3.45,,,,96.4,107.5,93.6,3.5,,,,,,,,
2019-07-01 08:55:00+00:00,0,,,3.35,5.2,,,,,,5.39,3.35,,,,,105.0,,,,,,,,,,
2019-07-01 09:00:00+00:00,75,,,2.4,5.0,,2.4,2.46,,,5.41,3.45,,,,99.8,105.0,110.0,20.0,,,,,,,,
2019-07-01 09:05:00+00:00,0,,,3.35,4.8,,,,,,5.43,3.35,,,,,105.0,,,,,,,,,,
2019-07-01 09:10:00+00:00,45,5.05,13.98,3.4,4.45,4.65,,,5.7,0.2,5.45,3.4,,435.0,435.0,,107.5,110.0,20.0,243.0,131.4,121.2,72.9,202.6,9.8,2.77,1.23
2019-07-01 09:15:00+00:00,20,5.05,14.18,3.4,4.5,4.6,,,5.7,0.1,5.48,3.4,,431.0,431.0,,107.5,110.0,20.0,239.5,131.0,111.7,69.3,201.0,9.3,2.81,1.14
2019-07-01 09:20:00+00:00,75,,,1.95,4.25,,1.95,2.61,,,5.5,3.5,,,,95.8,107.5,94.6,4.5,,,,,,,,
2019-07-01 09:25:00+00:00,25,5.2,13.39,3.45,4.2,4.8,,,5.75,0.25,5.52,3.45,,495.5,495.5,,107.5,110.0,20.0,266.2,137.7,140.5,84.2,233.5,11.9,2.58,1.21
2019-07-01 09:30:00+00:00,20,5.35,18.68,3.45,3.9,3.75,,,5.95,0.15,5.55,3.45,3.75,190.0,190.0,,110.0,110.0,20.0,235.9,128.9,131.8,72.5,199.1,10.8,3.49,1.31
2019-07-01 09:35:00+00:00,50,,,2.2,3.95,,2.2,2.76,,,5.57,2.8,,,,97.8,103.2,95.3,5.2,,,,,,,,
2019-07-01 09:40:00+00:00,0,,,3.45,4.1,,,,,,5.59,3.45,,,,,107.5,,,,,,,,,,
2019-07-01 09:45:00+00:00,45,5.45,16.13,3.45,4.1,4.2,,,6.15,0.15,5.61,3.45,,370.3,370.3,,107.5,110.0,20.0,262.4,150.0,99.8,70.6,196.2,11.2,2.96,1.04
2019-07-01 09:50:00+00:00,75,5.2,16.19,3.45,4.4,4.65,,,5.85,0.15,5.64,3.45,,355.0,355.0,,105.0,110.0,20.0,216.4,130.1,87.1,54.8,160.1,7.9,3.11,1.11
2019-07-01 09:55:00+00:00,75,,,3.4,4.45,,,,,,5.65,3.4,,,,,105.0,,,,,,,,,,
2019-07-01 10:00:00+00:00,75,,,3.4,4.15,,,,,,5.67,3.4,,,,,105.0,,,,,,,,,,
2019-07-01 10:05:00+00:00,75,,,3.45,4.3,,,,,,5.69,3.45,,,,,105.0,,,,,,,,,,
2019-07-01 10:10:00+00:00,70,5.6,15.8,3.45,4.2,5.35,,,6.3,0.25,5.7,3.45,,429.5,429.5,,105.0,110.0,20.0,238.0,139.8,121.6,68.9,158.7,11.3,2.82,1.57
2019-07-01 10:15:00+00:00,75,5.65,17.0,3.4,4.25,4.55,,,6.35,0.1,5.72,3.4,,366.0,366.0,,105.0,110.0,20.0,250.3,147.5,94.6,64.3,186.2,11.0,3.01,1.0
2019-07-01 10:20:00+00:00,65,5.75,17.56,3.35,3.9,4.95,,,6.3,0.05,5.73,3.35,,350.0,350.0,,107.5,110.0,20.0,233.7,143.5,94.6,58.8,158.2,10.4,3.05,1.15
2019-07-01 10:25:00+00:00,100,5.8,18.07,2.75,3.95,4.55,2.75,2.81,6.5,0.1,5.74,3.45,,339.0,339.0,139.6,107.5,110.0,20.0,251.0,165.9,91.3,57.5,150.3,10.4,3.12,1.09
2019-07-01 10:30:00+00:00,100,5.7,18.19,3.8,,3.8,,,6.45,0.15,5.75,,,207.5,327.0,,,110.0,20.0,227.5,138.9,76.2,56.7,154.0,9.8,3.19,1.12
2019-07-01 10:35:00+00:00,65,5.65,18.34,4.8,,4.8,,,6.2,0.1,5.76,,,319.5,319.5,,,110.0,20.0,217.8,138.7,79.4,50.7,141.2,8.7,3.25,1.1
2019-07-01 10:40:00+00:00,50,6.9,18.42,4.7,,4.7,,,7.5,0.05,5.76,,,324.3,324.3,,,110.0,20.0,302.1,190.3,117.7,72.8,202.2,18.8,2.67,1.0
