Time,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2022-12-01 00:00:00+00:00,3.115,10.42,2.0,,2.0,,,3.84,0.1,3.32,,240.0,240.0,,,110.0,20.0,270.2,237.0,47.2,25.7,38.5,1.3,3.35,4.21
2022-12-01 00:05:00+00:00,2.825,10.04,1.73,,1.73,,,3.45,0.03,3.33,,232.5,232.5,,,110.0,20.0,248.3,225.7,32.1,16.8,31.1,0.7,3.55,2.3
2022-12-01 00:10:00+00:00,3.115,10.18,1.78,,1.78,,,3.84,0.14,3.34,,235.0,235.0,,,110.0,20.0,274.6,235.8,54.8,29.2,45.8,1.5,3.27,3.57
2022-12-01 00:15:00+00:00,3.115,10.43,2.45,,2.45,,,3.8,0.07,3.35,,270.0,270.0,,,110.0,20.0,278.3,254.5,34.1,18.2,32.9,0.9,3.35,2.43
2022-12-01 00:20:00+00:00,2.925,10.59,2.4,,2.4,,,3.53,0.03,3.36,,257.5,257.5,,,110.0,20.0,253.7,237.4,23.2,12.2,23.6,0.6,3.62,2.0
2022-12-01 00:25:00+00:00,3.01,10.7,1.82,,1.82,,,3.66,0.07,3.36,,230.0,230.0,,,110.0,20.0,248.0,223.2,35.2,18.8,31.9,0.9,3.56,2.9
2022-12-01 00:30:00+00:00,3.08,10.24,1.37,,1.37,,,3.73,0.1,3.36,,217.5,217.5,,,110.0,20.0,262.6,219.7,60.5,31.8,52.0,1.5,3.33,3.45
2022-12-01 00:35:00+00:00,2.975,9.98,2.5,,2.5,,,3.67,0.13,3.36,,275.0,275.0,,,110.0,20.0,279.2,254.8,34.8,18.5,34.4,0.9,3.35,2.22
2022-12-01 00:40:00+00:00,3.045,10.2,2.07,,2.07,,,3.48,0.1,3.36,,250.0,250.0,,,110.0,20.0,273.5,243.9,42.2,22.7,38.0,1.1,3.35,3.07
2022-12-01 00:45:00+00:00,3.08,10.45,1.89,,1.89,,,3.69,0.21,3.35,,240.0,240.0,,,110.0,20.0,264.3,236.0,40.2,21.3,36.1,1.1,3.39,3.0
2022-12-01 00:50:00+00:00,2.975,10.58,1.8,,1.8,,,3.58,0.08,3.33,,237.5,237.5,,,110.0,20.0,251.3,229.7,30.9,16.1,30.7,0.8,3.56,2.1
2022-12-01 00:55:00+00:00,3.08,10.8,1.72,,1.72,,,3.69,0.1,3.32,,230.0,230.0,,,110.0,20.0,251.8,225.1,37.9,20.2,33.6,1.0,3.51,3.2
2022-12-01 01:00:00+00:00,3.045,10.81,1.68,,1.68,,,3.66,0.04,3.3,,225.0,225.0,,,110.0,20.0,250.2,221.7,40.4,21.5,35.5,1.0,3.55,3.16
2022-12-01 01:05:00+00:00,2.9,10.39,1.77,,1.77,,,3.42,0.05,3.28,,225.0,225.0,,,110.0,20.0,242.7,219.1,33.6,17.9,30.9,0.8,3.58,2.8
2022-12-01 01:10:00+00:00,2.905,9.78,1.78,,1.78,,,3.52,0.1,3.26,,227.5,227.5,,,110.0,20.0,263.4,226.2,52.6,28.7,39.4,1.2,3.37,5.54
2022-12-01 01:15:00+00:00,2.905,9.88,1.75,,1.75,,,3.52,0.1,3.23,,232.5,232.5,,,110.0,20.0,260.6,229.0,44.8,23.9,39.1,1.0,3.4,3.25
2022-12-01 01:20:00+00:00,2.95,10.18,1.88,,1.88,,,3.55,0.13,3.2,,237.5,237.5,,,110.0,20.0,261.0,232.6,40.4,21.8,36.0,1.0,3.45,3.19
2022-12-01 01:25:00+00:00,2.975,10.54,1.89,,1.89,,,3.69,0.1,3.17,,235.0,235.0,,,110.0,20.0,253.0,226.9,37.2,20.2,32.8,0.9,3.54,3.35
2022-12-01 01:30:00+00:00,2.94,10.76,1.86,,1.86,,,3.63,0.07,3.14,,227.5,227.5,,,110.0,20.0,240.2,218.9,30.4,16.2,28.7,0.7,3.66,2.56
2022-12-01 01:35:00+00:00,2.875,10.7,2.05,,2.05,,,3.22,0.13,3.1,,227.5,227.5,,,110.0,20.0,235.7,217.3,26.3,14.0,25.5,0.6,3.72,2.36
2022-12-01 01:40:00+00:00,2.765,10.3,1.89,,1.89,,,3.52,0.04,3.07,,222.5,222.5,,,110.0,20.0,234.2,213.2,30.0,16.4,25.8,0.7,3.72,3.65
2022-12-01 01:45:00+00:00,2.135,8.99,1.75,,1.75,,,3.2,0.04,3.03,,217.5,217.5,,,110.0,20.0,208.5,199.4,12.7,10.6,14.3,0.2,4.21,1.49
