Time,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2022-02-01 00:00:00+00:00,3.22,,9.85,1.72,,1.72,,,3.87,0.07,4.5,,265.0,265.0,,,110.0,20.0,307.3,,260.3,66.6,,35.7,56.5,1.9,3.06,3.61,
2022-02-01 00:05:00+00:00,3.22,,9.62,1.64,,1.64,,,3.84,0.07,4.52,,257.5,257.5,,,110.0,20.0,315.5,,257.9,81.5,,43.7,67.2,2.3,2.99,4.06,
2022-02-01 00:10:00+00:00,3.22,,9.5,1.72,,1.72,,,3.94,0.07,4.54,,267.5,267.5,,,110.0,20.0,326.7,,264.0,89.1,,48.6,69.3,2.6,2.95,5.49,
2022-02-01 00:15:00+00:00,3.29,,9.57,1.64,,1.64,,,3.87,0.07,4.55,,265.0,265.0,,,110.0,20.0,328.7,,264.8,90.3,,48.4,74.1,2.7,2.91,4.3,
2022-02-01 00:20:00+00:00,3.36,,9.84,1.78,,1.78,,,3.94,0.07,4.56,,272.5,272.5,,,110.0,20.0,335.6,,270.8,92.1,,50.4,70.6,2.9,2.93,5.56,
2022-02-01 00:25:00+00:00,3.36,,9.92,1.64,,1.64,,,3.9,0.07,4.56,,272.5,272.5,,,110.0,20.0,325.1,,267.4,81.8,,44.1,68.1,2.6,2.95,4.07,
2022-02-01 00:30:00+00:00,3.325,,10.0,1.82,,1.82,,,3.94,0.07,4.57,,272.5,272.5,,,110.0,20.0,319.6,,266.8,75.1,,40.8,62.8,2.3,3.01,3.95,
2022-02-01 00:35:00+00:00,3.325,,9.96,1.78,,1.78,,,3.97,0.1,4.57,,272.5,272.5,,,110.0,20.0,320.3,,266.9,75.7,,40.8,63.1,2.3,2.99,3.85,
2022-02-01 00:40:00+00:00,3.325,,9.96,1.72,,1.72,,,3.94,0.1,4.56,,272.5,272.5,,,110.0,20.0,318.6,,266.7,73.7,,39.6,62.1,2.3,3.0,3.72,
2022-02-01 00:45:00+00:00,3.36,,10.0,1.61,,1.61,,,3.97,0.1,4.55,,260.0,260.0,,,110.0,20.0,319.1,,261.8,81.0,,43.3,67.9,2.5,2.97,3.82,
2022-02-01 00:50:00+00:00,3.325,,10.03,1.05,,1.05,,,3.94,0.07,4.54,,247.5,247.5,,,110.0,20.0,309.1,,255.4,76.0,,40.2,72.0,2.3,3.02,2.56,
2022-02-01 00:55:00+00:00,3.36,,9.99,1.23,,1.23,,,4.01,0.07,4.52,,255.0,255.0,,,110.0,20.0,315.5,,258.8,80.3,,42.7,72.6,2.5,2.97,3.03,
2022-02-01 01:00:00+00:00,3.395,,10.06,1.61,,1.61,,,4.08,0.07,4.5,,267.5,267.5,,,110.0,20.0,324.4,,263.2,86.9,,47.3,66.8,2.8,2.96,5.7,
2022-02-01 01:05:00+00:00,3.36,,10.07,1.72,,1.72,,,3.97,0.07,4.48,,270.0,270.0,,,110.0,20.0,319.5,,263.8,79.1,,43.1,60.6,2.5,3.0,5.51,
2022-02-01 01:10:00+00:00,3.36,,10.02,1.78,,1.78,,,3.97,0.04,4.45,,272.5,272.5,,,110.0,20.0,319.9,,266.5,75.8,,41.0,63.6,2.4,2.98,3.84,
