Time,CS,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,FE,foF2p,minEs,hF,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2013-12-01 00:00:00+00:00,100,3.5,9.76,2.53,,2.53,,,4.05,,,3.32,,362.5,,,110.0,20.0,358.2,305.5,75.7,39.6,76.7,2.6,2.79,1.99
2013-12-01 00:15:00+00:00,100,3.475,9.79,2.25,,2.25,,,4.03,,,3.35,,343.5,,,110.0,20.0,353.4,302.1,73.7,38.7,74.3,2.5,2.82,2.03
2013-12-01 00:30:00+00:00,100,3.7,10.27,1.83,,1.83,,,4.25,,,3.36,,316.0,,,110.0,20.0,359.0,301.6,82.2,43.6,79.2,3.1,2.77,2.41
2013-12-01 00:45:00+00:00,100,3.55,10.33,2.25,,2.25,,,4.1,,,3.35,,326.0,,,110.0,20.0,339.2,292.4,67.2,35.4,66.7,2.3,2.91,2.14
2013-12-01 01:00:00+00:00,100,3.725,10.56,1.75,,1.75,,,4.28,,,3.3,,305.0,,,110.0,20.0,348.0,293.7,77.6,41.2,74.4,3.0,2.84,2.47
2013-12-01 01:15:00+00:00,100,3.675,10.85,2.2,,2.2,,,4.22,,,3.23,,315.0,,,110.0,20.0,331.9,287.7,63.4,33.4,62.9,2.4,2.95,2.14
2013-12-01 01:30:00+00:00,100,3.5,10.33,2.42,,2.42,,,4.05,,,3.14,,322.5,,,110.0,20.0,330.2,285.2,64.5,34.0,63.9,2.2,2.95,2.16
2013-12-01 01:45:00+00:00,100,3.9,10.94,1.73,,1.73,,,4.45,,,3.03,,300.0,,,110.0,20.0,351.2,293.1,83.0,44.1,78.2,3.5,2.81,2.66
2013-12-01 02:00:00+00:00,100,3.85,11.36,1.75,,1.75,,,4.43,0.03,,2.92,,296.0,,,110.0,20.0,331.0,284.7,66.3,35.1,64.5,2.7,2.95,2.32
2013-12-01 02:15:00+00:00,100,4.05,12.04,1.88,,1.88,,,4.6,,,2.81,,282.5,,,110.0,20.0,325.3,277.4,68.4,36.4,63.9,3.1,2.97,2.78
2013-12-01 02:30:00+00:00,100,4.175,13.05,1.75,,1.75,,,4.72,,,2.71,,265.0,,,110.0,20.0,303.2,263.6,56.5,30.0,52.6,2.7,3.13,2.82
2013-12-01 02:45:00+00:00,100,3.95,14.41,2.42,,2.42,,,4.53,0.03,,2.64,,252.5,,,110.0,20.0,255.9,239.0,24.4,12.6,25.0,1.1,3.65,1.88
2013-12-01 03:00:00+00:00,100,4.5,16.43,1.73,,1.73,,,5.05,,,2.59,,223.5,,,110.0,20.0,244.3,222.5,31.2,16.5,30.1,1.7,3.65,2.37
2013-12-01 03:15:00+00:00,100,4.65,18.71,3.4,,3.4,,,5.2,,,2.57,,227.5,,,110.0,20.0,223.1,212.5,15.4,10.6,16.1,1.1,4.02,1.7
