Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,FE,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2013-09-01 00:00:00+00:00,100,6.6,,27.76,1.77,5.63,1.77,,,7.15,,,3.45,2.42,207.0,,,95.0,110.0,20.0,211.1,,204.1,10.6,,10.6,11.5,2.1,4.21,1.46,
2013-09-01 00:15:00+00:00,100,6.225,,26.15,2.42,6.38,3.1,,,6.78,,,3.42,2.65,209.5,,,92.0,110.0,20.0,210.4,,201.5,13.2,,10.6,14.5,1.9,4.2,1.38,
2013-09-01 00:30:00+00:00,100,4.05,,11.58,2.5,5.18,3.38,,,4.78,0.17,,3.38,2.5,372.5,,,97.0,110.0,20.0,346.0,,296.6,71.2,,37.1,71.4,3.2,2.86,2.03,
2013-09-01 00:45:00+00:00,0,,,,2.42,5.65,,,,,,,,2.42,,,,91.0,,,,,,,,,,,,,
2013-09-01 01:00:00+00:00,100,4.1,,11.82,2.42,4.75,3.08,,,4.8,0.15,,3.26,2.42,327.5,,,96.0,110.0,20.0,340.4,,291.1,70.9,,37.5,69.3,3.3,2.88,2.27,
2013-09-01 01:15:00+00:00,100,4.075,,11.87,2.1,,2.1,,,4.68,0.05,,3.19,,287.5,,,,110.0,20.0,333.0,,280.4,74.9,,40.2,68.8,3.4,2.91,3.05,
2013-09-01 01:30:00+00:00,100,4.0,,11.54,1.55,2.13,2.08,,,4.63,0.08,,3.12,1.55,290.0,,,96.0,110.0,20.0,336.5,,281.4,78.5,,42.0,72.2,3.5,2.89,3.02,
2013-09-01 01:45:00+00:00,100,3.975,,11.5,1.77,,1.77,,,4.6,0.08,,3.05,,277.5,,,,110.0,20.0,332.9,,275.6,81.4,,43.5,74.3,3.5,2.89,3.14,
2013-09-01 02:00:00+00:00,100,3.975,,11.44,1.88,,1.88,,,4.57,0.05,,2.99,,281.0,,,,110.0,20.0,336.0,,278.0,82.5,,44.2,75.2,3.6,2.88,3.17,
2013-09-01 02:15:00+00:00,100,3.975,,11.68,2.47,,2.47,,,4.53,,,2.95,,290.0,,,,110.0,20.0,327.0,,276.1,72.7,,39.1,67.3,3.2,2.94,2.95,
2013-09-01 02:30:00+00:00,100,3.975,,11.91,1.73,2.13,2.15,,,4.68,0.15,,2.94,1.73,280.0,,,97.0,110.0,20.0,318.1,,268.5,70.7,,37.9,65.2,3.1,2.99,3.0,
2013-09-01 02:45:00+00:00,100,3.975,,12.11,1.35,1.95,2.05,,,4.57,0.05,,2.96,1.35,267.5,,,97.0,110.0,20.0,308.1,,259.5,69.1,,37.1,63.0,3.0,3.05,3.19,
2013-09-01 03:00:00+00:00,100,3.825,,11.51,1.85,,1.85,,,4.38,,,3.0,,260.0,,,,110.0,20.0,310.6,,256.3,77.1,,41.4,70.0,3.1,3.01,3.25,
2013-09-01 03:15:00+00:00,100,3.775,,11.02,2.63,,2.63,,,4.32,,,3.08,,297.5,,,,110.0,20.0,321.1,,263.2,82.3,,44.2,79.4,3.3,2.92,2.5,
2013-09-01 03:30:00+00:00,70,3.975,,11.78,2.15,,2.15,,,4.6,0.08,,3.19,,280.0,,,,110.0,20.0,311.3,,253.1,82.2,,44.2,82.4,3.7,2.96,2.21,
2013-09-01 03:45:00+00:00,70,4.25,,13.07,2.15,,2.15,,,4.8,,,3.33,,265.0,,,,110.0,20.0,289.8,,233.3,79.4,,43.3,81.0,4.2,3.08,2.15,
2013-09-01 04:00:00+00:00,100,4.625,,15.1,1.77,,1.77,,,5.2,0.03,,3.48,,245.0,,,,110.0,20.0,264.5,,216.9,66.8,,37.1,67.8,4.3,3.26,2.23,
2013-09-01 04:15:00+00:00,70,5.2,,17.55,2.53,,2.53,,,5.75,,,3.65,,237.5,,,,110.0,20.0,246.6,,200.6,63.5,,35.6,70.0,5.3,3.38,1.83,
2013-09-01 04:30:00+00:00,100,5.625,,18.37,2.5,,2.5,,,6.2,0.03,,3.83,,230.0,,,,110.0,20.0,253.8,,196.9,78.9,,43.7,80.6,7.5,3.27,2.23,
2013-09-01 04:45:00+00:00,100,5.975,,20.06,2.58,,2.58,,,6.53,,,4.0,,232.5,,,,110.0,20.0,245.3,,196.9,66.0,,37.4,72.8,7.3,3.36,1.86,
