Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,FE,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2013-08-01 00:00:00+00:00,100,6.575,,18.96,2.6,,2.6,,,7.13,,,3.39,,272.5,,,,110.0,20.0,339.3,,282.4,80.8,,43.3,72.2,9.5,2.88,3.49,
2013-08-01 00:15:00+00:00,100,6.425,,18.78,1.73,,1.73,,,6.97,,,3.33,,263.5,,,,110.0,20.0,332.7,,277.3,79.0,,41.8,73.0,8.8,2.92,2.88,
2013-08-01 00:30:00+00:00,100,6.25,,18.45,2.22,,2.22,,,6.8,,,3.26,,268.5,,,,110.0,20.0,329.0,,277.3,73.7,,39.1,67.7,7.8,2.95,2.99,
2013-08-01 00:45:00+00:00,100,6.225,,18.39,1.73,,1.73,,,6.82,0.05,,3.2,,262.0,,,,110.0,20.0,326.5,,273.9,74.9,,39.7,69.2,7.9,2.95,2.89,
2013-08-01 01:00:00+00:00,100,6.175,,18.19,1.88,,1.88,,,6.72,,,3.14,,258.5,,,,110.0,20.0,327.6,,271.4,79.8,,42.3,72.8,8.2,2.95,3.09,
2013-08-01 01:15:00+00:00,100,6.125,,18.95,2.7,,2.7,,,6.68,,,3.09,,265.0,,,,110.0,20.0,307.7,,265.6,60.0,,32.0,54.7,6.2,3.1,3.11,
2013-08-01 01:30:00+00:00,100,4.125,,15.38,2.8,,2.8,,,5.13,0.45,,3.05,,257.5,,,,110.0,20.0,250.8,,236.4,21.0,,10.6,23.1,1.0,3.73,1.44,
2013-08-01 01:45:00+00:00,100,5.525,,17.2,1.58,1.92,2.63,,,6.07,,,3.02,1.58,246.0,,,99.0,110.0,20.0,298.2,,253.5,63.1,,34.2,55.0,5.3,3.11,4.12,
2013-08-01 02:00:00+00:00,100,4.5,,15.33,1.75,2.0,3.58,,,5.05,,,3.01,1.75,295.0,,,100.0,110.0,20.0,275.6,,250.7,36.2,,18.4,38.0,2.0,3.41,1.69,
2013-08-01 02:15:00+00:00,100,5.2,,15.43,1.9,,1.9,,,5.8,0.05,,3.02,,258.5,,,,110.0,20.0,320.1,,264.4,79.2,,42.1,72.5,5.8,2.97,3.06,
2013-08-01 02:30:00+00:00,100,5.2,,15.28,1.75,,1.75,,,5.75,,,3.05,,271.0,,,,110.0,20.0,325.6,,271.7,77.1,,40.9,73.6,5.7,2.94,2.52,
2013-08-01 02:45:00+00:00,100,5.1,,15.24,1.85,,1.85,,,5.65,,,3.1,,267.5,,,,110.0,20.0,315.2,,263.8,73.4,,39.1,71.4,5.3,2.99,2.36,
2013-08-01 03:00:00+00:00,70,4.85,,14.71,1.73,,1.73,,,5.5,0.1,,3.18,,255.0,,,,110.0,20.0,304.3,,251.3,75.3,,40.3,73.4,5.0,3.03,2.38,
2013-08-01 03:15:00+00:00,100,4.575,,14.24,1.75,,1.75,,,5.13,,,3.28,,266.0,,,,110.0,20.0,291.4,,242.8,68.8,,37.7,70.5,4.2,3.11,2.11,
