Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,FE,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2013-11-01 00:00:00+00:00,100,3.75,,10.56,2.1,,2.1,,,4.3,,,3.27,,302.5,,,,110.0,20.0,349.7,291.3,83.1,44.9,74.6,3.3,2.82,3.48
2013-11-01 00:15:00+00:00,100,3.775,,10.76,1.85,,1.85,,,4.32,,,3.3,,290.0,,,,110.0,20.0,343.3,285.8,81.7,43.8,74.2,3.2,2.85,3.24
2013-11-01 00:30:00+00:00,100,3.825,,11.09,2.42,,2.42,,,4.38,,,3.31,,300.0,,,,110.0,20.0,334.5,284.2,71.7,38.7,65.3,2.9,2.9,3.21
2013-11-01 00:45:00+00:00,100,3.75,,11.2,2.72,,2.72,,,4.3,,,3.29,,307.5,,,,110.0,20.0,326.9,282.3,63.9,34.3,60.3,2.5,2.99,2.69
2013-11-01 01:00:00+00:00,100,3.8,,11.15,2.5,,2.5,,,4.35,,,3.24,,295.0,,,,110.0,20.0,329.9,280.2,70.8,38.2,64.0,2.8,2.93,3.35
2013-11-01 01:15:00+00:00,100,3.625,,10.87,2.53,,2.53,,,4.2,0.03,,3.17,,302.5,,,,110.0,20.0,322.2,278.7,62.3,33.4,59.2,2.3,3.0,2.61
2013-11-01 01:30:00+00:00,100,3.8,,10.95,2.42,,2.42,,,4.35,,,3.08,,300.0,,,,110.0,20.0,339.9,285.0,78.2,42.4,70.0,3.2,2.88,3.54
2013-11-01 01:45:00+00:00,100,3.8,,11.06,2.42,,2.42,,,4.35,,,2.98,,295.0,,,,110.0,20.0,332.2,281.2,72.6,39.2,65.6,2.9,2.91,3.36
2013-11-01 02:00:00+00:00,100,3.85,,11.41,2.5,,2.5,,,4.4,,,2.88,,290.0,,,,110.0,20.0,324.8,276.2,69.2,37.4,62.5,2.9,2.96,3.36
2013-11-01 02:15:00+00:00,100,3.875,,12.02,2.42,,2.42,,,4.45,0.03,,2.78,,272.5,,,,110.0,20.0,304.2,264.2,57.0,30.7,51.8,2.4,3.1,3.23
2013-11-01 02:30:00+00:00,100,3.85,,12.95,2.1,,2.1,,,4.4,,,2.7,,247.5,,,,110.0,20.0,274.0,243.7,43.2,23.3,39.3,1.8,3.36,3.22
2013-11-01 02:45:00+00:00,100,3.925,,13.5,1.73,,1.73,,,4.47,,,2.65,,230.0,,,,110.0,20.0,260.8,229.5,44.4,23.8,40.3,1.9,3.44,3.23
2013-11-01 03:00:00+00:00,100,3.925,,13.6,2.42,,2.42,,,4.5,0.03,,2.64,,232.5,,,,110.0,20.0,261.4,231.7,42.2,23.1,36.5,1.8,3.46,4.34
2013-11-01 03:15:00+00:00,100,3.5,,11.98,1.8,,1.8,,,4.05,,,2.66,,222.5,,,,110.0,20.0,257.3,221.9,50.1,27.2,43.3,1.7,3.42,4.34
2013-11-01 03:30:00+00:00,100,3.3,,11.22,1.73,,1.73,,,3.9,0.05,,2.73,,222.5,,,,110.0,20.0,259.9,222.7,52.6,28.5,45.6,1.6,3.4,4.22
2013-11-01 03:45:00+00:00,100,3.025,,9.98,1.73,,1.73,,,3.63,0.05,,2.84,,231.0,,,,110.0,20.0,272.1,229.8,60.0,32.6,51.6,1.5,3.3,4.44
2013-11-01 04:00:00+00:00,100,3.0,,9.38,1.73,,1.73,,,3.6,0.05,,2.99,,240.0,,,,110.0,20.0,290.2,236.1,77.0,41.8,65.2,1.9,3.13,4.78
2013-11-01 04:15:00+00:00,100,3.3,,9.47,2.58,,2.58,,,3.88,0.03,,3.17,,322.5,,,,110.0,20.0,326.4,262.2,90.7,49.0,89.6,2.8,2.87,2.34
2013-11-01 04:30:00+00:00,70,4.0,,12.43,1.73,,1.73,,,4.55,,,3.39,,250.0,,,,110.0,20.0,288.7,237.9,71.1,38.1,71.9,3.3,3.11,2.16
2013-11-01 04:45:00+00:00,100,4.55,,15.09,1.73,,1.73,,,5.1,,,3.63,,233.5,,,,110.0,20.0,261.4,214.8,66.0,36.0,63.8,4.0,3.32,2.57
2013-11-01 05:00:00+00:00,100,5.7,,18.72,2.1,,2.1,,,6.28,0.03,,3.88,,218.5,,,,110.0,20.0,258.6,205.0,75.6,41.0,73.4,7.1,3.28,2.52
2013-11-01 05:15:00+00:00,100,6.275,,21.74,2.42,,2.42,,,6.82,,,4.15,,220.0,,,,110.0,20.0,240.0,198.2,58.5,32.3,60.6,6.9,3.46,2.08
2013-11-01 05:30:00+00:00,100,7.2,,24.08,2.5,,2.5,,,7.75,,,4.41,,222.5,,,,110.0,20.0,251.1,200.3,71.4,39.1,70.7,10.8,3.34,2.38
2013-11-01 05:45:00+00:00,100,7.85,,25.78,2.55,,2.55,,,8.43,0.03,,4.66,,217.5,,,,110.0,20.0,256.0,200.2,78.3,42.6,76.2,13.9,3.28,2.49
2013-11-01 06:00:00+00:00,100,9.075,,30.35,2.9,,2.9,,,9.63,,,4.9,,217.5,,,,110.0,20.0,253.4,207.3,64.4,35.5,68.1,15.8,3.35,1.94
2013-11-01 06:15:00+00:00,100,9.25,,32.66,2.28,2.33,3.13,2.28,2.33,9.8,,0.03,5.12,2.28,227.5,,120.0,120.0,110.0,20.0,236.6,201.0,49.1,27.5,55.3,13.1,3.53,1.68
2013-11-01 06:30:00+00:00,70,7.75,,30.83,3.5,,3.5,,,8.4,0.1,,5.32,,228.5,,,,110.0,20.0,208.5,188.0,25.4,16.2,43.4,6.0,3.98,1.0
2013-11-01 06:45:00+00:00,70,9.875,,35.66,1.73,1.92,3.75,,,10.43,,,5.5,1.73,222.5,,,105.0,110.0,20.0,227.4,193.8,46.5,26.4,55.3,14.3,3.61,1.48
2013-11-01 07:00:00+00:00,100,10.2,,34.35,2.67,2.75,3.5,2.67,2.76,10.75,,0.03,5.65,2.67,222.5,,120.0,120.0,100.3,10.0,244.7,195.1,68.4,38.1,72.5,21.5,3.37,1.97
2013-11-01 07:15:00+00:00,100,9.775,,34.84,2.63,2.88,3.63,2.63,2.88,10.32,,0.05,5.79,2.63,227.5,,117.5,117.5,105.5,15.2,229.8,193.1,49.7,28.7,58.8,15.3,3.56,1.55
2013-11-01 07:30:00+00:00,100,8.525,,32.48,2.6,2.92,3.47,2.6,2.93,9.65,0.57,0.05,5.9,2.6,224.5,,112.5,112.5,101.6,11.3,212.3,184.6,34.6,21.7,53.4,9.3,3.81,1.0
2013-11-01 07:45:00+00:00,50,10.95,,36.41,2.63,2.9,6.25,2.63,2.9,11.52,0.03,0.03,6.0,2.63,250.0,,115.0,115.0,104.1,13.7,244.3,189.4,73.2,40.2,86.3,26.2,3.33,1.43
2013-11-01 08:00:00+00:00,100,7.9,,31.19,2.55,3.4,4.45,2.55,3.03,8.45,,0.03,6.08,3.05,233.5,,110.0,127.0,101.9,11.7,199.1,169.1,32.0,22.0,59.9,8.2,3.95,1.0
2013-11-01 08:15:00+00:00,100,8.05,,31.08,3.67,,3.67,,,8.6,,,6.16,,218.5,,,,110.0,20.0,209.1,183.0,31.9,20.8,53.5,8.0,3.86,1.0
2013-11-01 08:30:00+00:00,0,8.0,3.92,31.08,3.67,,3.67,,,8.55,,,,,210.0,232.0,,,110.0,20.0,,,,,,,3.88,
2013-11-01 08:45:00+00:00,100,10.387,4.16,34.36,3.35,3.85,3.9,,,10.93,,,6.27,3.35,211.0,215.0,,111.0,110.0,20.0,254.5,206.1,64.3,36.9,72.4,21.5,3.31,1.84
2013-11-01 09:00:00+00:00,0,11.1,6.5,34.62,6.53,,6.53,,,11.65,,,,,252.5,255.0,,,110.0,20.0,,,,,,,3.12,
2013-11-01 09:15:00+00:00,0,11.3,4.0,35.07,3.78,,3.78,,,11.85,,,,,191.0,225.0,,,110.0,20.0,,,,,,,3.1,
2013-11-01 09:30:00+00:00,0,11.525,4.95,35.93,3.25,3.88,4.97,,,12.07,,,,3.25,247.5,247.5,,107.0,110.0,20.0,,,,,,,3.12,
2013-11-01 09:45:00+00:00,50,11.225,,37.82,3.17,4.25,7.38,,,11.77,,,6.44,3.17,282.5,,,103.0,110.0,20.0,242.1,189.0,68.3,36.3,96.3,25.3,3.37,1.0
2013-11-01 10:00:00+00:00,100,10.762,4.41,40.21,4.2,,4.2,,,11.3,,,6.47,,238.5,258.5,,,110.0,20.0,236.0,215.6,23.2,16.8,41.6,12.0,3.74,1.0
2013-11-01 10:15:00+00:00,50,10.65,,37.47,3.35,5.22,4.82,,,11.2,,,6.51,3.35,238.5,,,98.0,110.0,20.0,232.8,192.7,54.3,31.5,67.4,19.8,3.52,1.39
2013-11-01 10:30:00+00:00,50,10.675,,35.69,3.3,4.25,6.7,,,11.23,,,6.54,3.3,256.0,,,94.0,110.0,20.0,241.7,185.5,74.0,40.2,90.6,24.9,3.34,1.34
2013-11-01 10:45:00+00:00,50,12.2,,39.8,2.7,4.85,5.35,,,12.75,,,6.56,2.7,248.5,,,97.0,110.0,20.0,259.0,209.7,67.7,38.0,77.0,31.1,3.26,1.57
2013-11-01 11:00:00+00:00,100,12.012,4.11,38.86,3.6,,3.6,,,12.55,,,6.58,,213.5,217.5,,,110.0,20.0,267.0,217.7,66.3,37.4,73.1,29.2,3.24,1.87
2013-11-01 11:15:00+00:00,50,9.2,,34.51,2.63,3.85,6.1,,,9.75,,,6.59,2.63,250.0,,,96.0,110.0,20.0,209.4,169.3,48.1,26.8,73.2,12.8,3.75,1.0
2013-11-01 11:30:00+00:00,70,11.875,,37.57,2.85,3.95,4.15,,,12.43,,,6.59,2.85,235.0,,,96.0,110.0,20.0,268.8,207.4,86.0,47.4,88.6,35.6,3.16,2.14
2013-11-01 11:45:00+00:00,0,10.875,5.7,35.63,5.72,,5.72,,,11.43,,,,,237.5,239.3,,,110.0,20.0,,,,,,,3.28,
2013-11-01 12:00:00+00:00,0,9.75,4.0,33.92,3.22,4.03,3.7,,,10.3,,,,3.22,212.5,235.0,,97.0,110.0,20.0,,,,,,,3.48,
2013-11-01 12:15:00+00:00,100,12.075,,39.2,3.7,,3.7,,,12.63,,,6.49,,215.0,,,,110.0,20.0,266.9,220.5,64.8,36.3,70.0,29.0,3.25,1.84
2013-11-01 12:30:00+00:00,70,11.55,,38.49,3.63,,3.63,,,12.1,,,6.41,,222.5,,,,110.0,20.0,255.9,211.5,61.5,34.1,67.7,25.0,3.33,1.75
2013-11-01 12:45:00+00:00,70,11.575,,39.38,3.2,3.7,4.0,,,12.13,,,6.3,3.2,237.5,,,116.0,110.0,20.0,248.1,207.8,56.2,31.6,63.5,23.3,3.4,1.65
2013-11-01 13:00:00+00:00,100,7.95,,31.64,3.45,,3.45,,,8.5,,,6.18,,228.5,,,,110.0,20.0,206.3,186.1,25.0,16.5,42.4,6.4,3.98,1.0
2013-11-01 13:15:00+00:00,70,11.475,,37.46,2.6,3.15,3.8,,,12.02,,,6.02,2.6,230.0,,,97.0,110.0,20.0,260.1,208.7,72.2,39.7,74.5,28.1,3.26,2.06
2013-11-01 13:30:00+00:00,70,9.4,,34.62,2.45,2.88,3.6,,,9.95,,,5.85,2.45,225.0,,,97.0,110.0,20.0,224.7,196.2,38.6,22.5,51.5,11.4,3.68,1.16
2013-11-01 13:45:00+00:00,50,11.0,,36.07,2.72,2.95,4.75,,,11.55,,,5.65,2.72,222.5,,,120.0,110.0,20.0,255.3,198.4,79.9,43.4,81.6,27.8,3.28,2.12
2013-11-01 14:00:00+00:00,100,8.125,,30.72,2.97,,2.97,,,8.68,,,5.44,,220.0,,,,110.0,20.0,217.0,191.3,34.6,20.1,44.2,7.7,3.78,1.29
2013-11-01 14:15:00+00:00,0,10.85,,36.66,2.5,2.72,3.38,,,11.4,,,5.21,2.5,217.5,,,117.0,110.0,20.0,249.5,202.9,65.8,35.8,67.1,22.5,3.38,2.12
