column,mean_availability
Time,100.0
CS,100.0
fmin,100.0
hmE,98.78617048945405
yE,98.78617048945405
fxI,98.63229995717398
hF,98.63229995717398
foF2,98.63229995717398
fminF,98.63229995717398
MD,98.63229995717398
MUFD,98.63229995717398
B0,95.23499596738162
foF2p,95.23499596738162
halfNm,95.23499596738162
caleF2,95.23499596738162
hmF2,95.23499596738162
B1,95.23499596738162
yF2,95.23499596738162
TEC,95.00664426732065
foEs,31.26275759693117
hEs,31.21626111302041
minEs,31.02949909528807
FF,19.900241651421766
fminE,11.543535061885024
foE,11.543535061885024
hE,11.540617228084836
FE,10.73865009708752
hF2,8.875498532733578
foF1,8.722834642141775
hmF1,5.51216597195819
yF1,5.51216597195819
D1,5.5028042292658546
QF,0.16210477866259917
QE,0.03878775776593365
fbEs,0.011677529587041565
hmE_QD,0.0
minEs_QD,0.0
hEs_QD,0.0
peEs_QD,0.0
hmF2_QD,0.0
hF2_QD,0.0
yF1_QD,0.0
hF_QD,0.0
hmF1_QD,0.0
hP,0.0
hP_QD,0.0
hEa_QD,0.0
yE_QD,0.0
halfNm_QD,0.0
peEs,0.0
foF1_QD,0.0
hEa,0.0
fminE_QD,0.0
B1_QD,0.0
D1_QD,0.0
FE_QD,0.0
FF_QD,0.0
MD_QD,0.0
MUFD_QD,0.0
QE_QD,0.0
QF_QD,0.0
TEC_QD,0.0
caleF2_QD,0.0
fbEs_QD,0.0
fminF_QD,0.0
hE_QD,0.0
fmin_QD,0.0
foE_QD,0.0
foEa,0.0
foEa_QD,0.0
foEs_QD,0.0
B0_QD,0.0
foF2_QD,0.0
foF2p_QD,0.0
foP,0.0
foP_QD,0.0
fxI_QD,0.0
yF2_QD,0.0
