Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,FE,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2013-01-01 00:00:00+00:00,100,2.725,,8.11,1.73,,1.73,,,3.3,0.03,,3.14,,294.5,,,,110.0,20.0,323.2,276.2,67.1,36.4,61.3,1.4,2.98,3.21
2013-01-01 00:15:00+00:00,100,2.775,,8.37,1.73,,1.73,,,3.35,0.03,,3.18,,297.0,,,,110.0,20.0,318.8,275.2,62.2,33.4,59.1,1.3,3.02,2.63
2013-01-01 00:30:00+00:00,100,2.775,,8.6,1.75,,1.75,,,3.45,0.13,,3.2,,289.5,,,,110.0,20.0,308.3,268.9,56.1,30.1,53.4,1.2,3.1,2.63
2013-01-01 00:45:00+00:00,100,2.875,,8.72,1.73,,1.73,,,3.42,,,3.2,,279.5,,,,110.0,20.0,314.6,269.0,64.9,35.3,57.7,1.5,3.03,3.69
2013-01-01 01:00:00+00:00,100,2.85,,8.97,1.73,,1.73,,,3.4,,,3.17,,272.5,,,,110.0,20.0,300.2,261.5,55.0,29.9,49.1,1.3,3.15,3.61
2013-01-01 01:15:00+00:00,100,2.95,,9.07,1.73,,1.73,,,3.5,,,3.12,,272.5,,,,110.0,20.0,308.8,264.5,63.0,34.2,55.5,1.5,3.08,3.86
2013-01-01 01:30:00+00:00,100,2.975,,9.27,1.73,,1.73,,,3.63,0.1,,3.05,,270.0,,,,110.0,20.0,303.4,261.4,59.6,32.3,52.6,1.5,3.12,3.83
2013-01-01 01:45:00+00:00,100,2.975,,9.51,1.75,,1.75,,,3.58,0.05,,2.96,,262.5,,,,110.0,20.0,292.9,254.9,53.9,29.3,47.3,1.3,3.2,3.99
2013-01-01 02:00:00+00:00,100,2.825,,9.37,1.73,,1.73,,,3.38,,,2.86,,256.0,,,,110.0,20.0,279.8,247.5,46.0,24.9,41.5,1.0,3.32,3.42
2013-01-01 02:15:00+00:00,100,3.1,,10.06,1.73,,1.73,,,3.65,,,2.75,,256.0,,,,110.0,20.0,286.2,250.5,50.8,27.2,46.3,1.4,3.25,3.18
2013-01-01 02:30:00+00:00,100,3.1,,10.32,1.77,,1.77,,,3.65,,,2.65,,250.0,,,,110.0,20.0,277.0,244.0,47.0,25.2,42.9,1.3,3.33,3.16
2013-01-01 02:45:00+00:00,100,3.1,,10.34,1.73,,1.73,,,3.65,,,2.57,,237.5,,,,110.0,20.0,271.4,234.5,52.3,28.4,45.7,1.4,3.34,4.04
2013-01-01 03:00:00+00:00,100,2.925,,10.23,1.73,,1.73,,,3.5,0.03,,2.5,,233.5,,,,110.0,20.0,255.5,227.0,40.6,22.1,36.0,1.0,3.5,3.75
2013-01-01 03:15:00+00:00,100,2.775,,9.86,1.73,,1.73,,,3.35,0.03,,2.46,,229.5,,,,110.0,20.0,249.5,222.8,38.0,20.7,33.9,0.8,3.55,3.61
2013-01-01 03:30:00+00:00,100,2.75,,9.45,2.63,,2.63,,,3.3,,,2.44,,307.5,,,,110.0,20.0,268.4,244.5,34.1,18.0,34.5,0.7,3.43,2.04
2013-01-01 03:45:00+00:00,100,2.55,,8.98,1.73,,1.73,,,3.2,0.1,,2.46,,220.5,,,,110.0,20.0,249.0,216.0,47.2,26.1,39.1,0.9,3.52,5.7
2013-01-01 04:00:00+00:00,100,2.175,,8.23,1.73,,1.73,,,2.8,0.08,,2.51,,229.5,,,,110.0,20.0,230.5,213.1,24.8,13.4,23.6,0.3,3.78,2.64
2013-01-01 04:15:00+00:00,100,2.55,,8.98,1.65,,1.65,,,3.15,0.05,,2.6,,233.5,,,,110.0,20.0,253.2,225.2,39.9,21.6,35.5,0.7,3.52,3.65
2013-01-01 04:30:00+00:00,100,2.475,,8.15,1.73,,1.73,,,3.03,,,2.72,,237.0,,,,110.0,20.0,274.4,231.9,61.0,33.8,50.1,1.1,3.3,6.0
2013-01-01 04:45:00+00:00,100,2.7,,8.98,1.73,,1.73,,,3.25,,,2.86,,240.0,,,,110.0,20.0,272.3,231.6,58.3,31.9,50.1,1.2,3.33,4.41
2013-01-01 05:00:00+00:00,100,3.3,,10.86,1.73,,1.73,,,3.85,,,3.03,,233.5,,,,110.0,20.0,270.5,227.2,61.3,33.0,55.3,1.9,3.29,3.38
2013-01-01 05:15:00+00:00,70,3.575,,13.0,1.73,,1.73,,,4.22,0.1,,3.22,,216.0,,,,110.0,20.0,235.9,207.8,39.6,21.3,37.7,1.5,3.64,2.7
2013-01-01 05:30:00+00:00,100,4.525,,16.84,1.73,,1.73,,,5.07,,,3.43,,208.5,,,,110.0,20.0,225.5,198.2,38.6,21.0,37.5,2.3,3.72,2.52
2013-01-01 05:45:00+00:00,100,4.725,,19.27,1.83,,1.83,,,5.28,,,3.64,,203.5,,,,110.0,20.0,201.9,185.5,22.7,12.8,25.8,1.7,4.08,1.66
2013-01-01 06:00:00+00:00,70,5.1,,19.53,2.6,,2.6,,,5.65,,,3.86,,192.5,,,,110.0,20.0,206.3,173.9,45.8,25.1,44.0,3.6,3.83,2.7
2013-01-01 06:15:00+00:00,70,6.1,,23.29,2.6,,2.6,,,6.65,,,4.07,,207.5,,,,110.0,20.0,210.8,183.0,38.5,21.8,43.1,4.6,3.82,1.75
2013-01-01 06:30:00+00:00,100,6.15,,24.94,1.73,1.98,2.83,1.73,1.98,6.7,,0.05,4.29,1.73,202.5,,122.5,122.5,105.1,14.9,194.8,173.1,28.6,17.1,38.6,3.8,4.06,1.22
2013-01-01 06:45:00+00:00,70,5.325,,22.49,3.17,,3.17,,,5.9,0.03,,4.49,,190.0,,,,110.0,20.0,180.0,159.0,26.7,15.9,36.2,2.7,4.22,1.29
2013-01-01 07:00:00+00:00,100,5.478,2.84,20.2,1.77,1.9,2.5,1.77,1.9,6.03,,0.03,4.68,1.77,195.0,197.5,115.0,115.0,100.4,10.4,217.7,172.7,64.6,35.9,58.9,5.7,3.69,3.25
2013-01-01 07:15:00+00:00,100,6.7,,21.33,2.45,2.53,3.4,2.45,2.53,7.25,,0.03,4.86,2.45,209.5,,130.0,130.0,105.2,15.0,260.3,173.6,121.3,65.8,133.7,15.5,3.18,2.1
2013-01-01 07:30:00+00:00,70,6.975,,25.39,1.85,2.63,4.57,1.85,2.63,7.63,0.1,0.03,5.02,1.85,239.5,,110.0,110.0,106.3,16.0,212.4,168.9,52.0,30.6,77.6,8.4,3.64,1.08
2013-01-01 07:45:00+00:00,70,6.175,,24.06,3.53,,3.53,,,6.82,0.1,,5.17,,215.0,,,,110.0,20.0,197.4,166.1,38.4,23.6,57.2,5.2,3.9,1.11
2013-01-01 08:00:00+00:00,70,6.875,,25.49,4.4,,4.4,,,7.43,,,5.29,,235.0,,,,110.0,20.0,209.1,169.3,48.7,28.5,69.6,7.6,3.71,1.14
