Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,FE,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2013-07-01 00:00:00+00:00,100,6.4,,18.07,2.42,3.53,4.97,,,6.95,,,3.52,2.42,357.5,,,95.0,110.0,20.0,357.3,,307.2,72.8,,37.7,72.4,8.1,2.82,2.04,
2013-07-01 00:15:00+00:00,100,6.35,,17.81,2.42,3.13,2.63,,,6.9,,,3.44,2.42,284.5,,,97.0,110.0,20.0,353.1,,291.5,87.7,,46.8,79.7,9.7,2.81,3.17,
2013-07-01 00:30:00+00:00,0,,,,1.73,3.25,,,,,,,,1.73,,,,95.0,,,,,,,,,,,,,
2013-07-01 00:45:00+00:00,100,5.5,,23.4,2.42,3.85,2.78,,,6.07,0.03,,3.33,2.42,204.5,,,96.0,110.0,20.0,206.1,,197.7,12.6,,10.6,14.3,1.5,4.25,1.24,
2013-07-01 01:00:00+00:00,100,5.725,,16.73,2.55,3.72,3.7,,,6.28,,,3.3,2.55,304.5,,,96.0,110.0,20.0,330.6,,285.3,65.5,,34.3,63.8,5.9,2.92,2.23,
2013-07-01 01:15:00+00:00,100,4.8,,14.41,2.65,3.85,3.42,,,5.35,,,3.28,2.65,305.0,,,95.0,110.0,20.0,320.0,,277.0,62.0,,32.6,60.8,3.9,3.0,2.21,
2013-07-01 01:30:00+00:00,100,3.925,,12.98,1.65,1.92,2.85,,,4.47,,,3.27,1.65,303.5,,,99.0,110.0,20.0,287.3,,258.5,41.8,,21.1,45.5,1.8,3.31,1.51,
2013-07-01 01:45:00+00:00,100,4.475,,14.31,1.8,2.92,3.1,,,5.03,,,3.27,1.8,312.0,,,95.0,110.0,20.0,299.5,,266.1,48.5,,24.5,52.8,2.6,3.2,1.51,
2013-07-01 02:00:00+00:00,100,4.1,,13.49,3.38,,3.38,,,4.65,,,3.28,,317.0,,,,110.0,20.0,282.2,,251.0,44.7,,22.8,48.2,2.1,3.29,1.6,
2013-07-01 02:15:00+00:00,100,5.2,,14.88,2.42,3.0,3.15,,,5.75,,,3.3,2.42,312.0,,,99.0,110.0,20.0,336.2,,278.9,82.1,,43.4,81.5,6.2,2.86,2.16,
2013-07-01 02:30:00+00:00,100,3.775,,13.21,2.83,,2.83,,,4.32,,,3.32,,288.5,,,,110.0,20.0,260.3,,232.5,38.2,,19.5,46.8,1.6,3.5,1.2,
2013-07-01 02:45:00+00:00,50,5.0,,15.77,2.47,3.22,3.5,,,5.55,,,3.36,2.47,287.5,,,98.0,110.0,20.0,284.2,,240.1,62.0,,32.5,66.2,4.4,3.15,1.76,
2013-07-01 03:00:00+00:00,50,4.1,,15.19,1.77,2.67,2.5,,,4.65,,,3.41,1.77,256.0,,,101.0,110.0,20.0,232.8,,206.3,34.4,,18.8,49.1,1.9,3.71,1.0,
2013-07-01 03:15:00+00:00,50,4.25,,16.28,2.53,3.25,3.17,,,4.8,,,3.48,2.53,256.0,,,113.0,110.0,20.0,215.4,,185.9,36.2,,19.5,51.5,2.1,3.83,1.02,
2013-07-01 03:30:00+00:00,0,,,,2.85,3.78,,,,,,,,2.85,,,,114.0,,,,,,,,,,,,,
2013-07-01 03:45:00+00:00,0,,,,2.5,3.83,,,,,,,,2.5,,,,102.0,,,,,,,,,,,,,
2013-07-01 04:00:00+00:00,0,,,,2.45,5.6,,,,,,,,2.45,,,,113.0,,,,,,,,,,,,,
2013-07-01 04:15:00+00:00,0,,,,2.83,5.55,,,,,,,,2.83,,,,111.0,,,,,,,,,,,,,
2013-07-01 04:30:00+00:00,0,,,,4.75,5.38,,,,,,,,4.75,,,,109.0,,,,,,,,,,,,,
2013-07-01 04:45:00+00:00,0,,,,2.9,3.55,,,,,,,,2.9,,,,112.0,,,,,,,,,,,,,
2013-07-01 05:00:00+00:00,0,,,,2.8,3.85,,,,,,,,2.8,,,,112.0,,,,,,,,,,,,,
2013-07-01 05:15:00+00:00,0,,,,3.05,3.8,,,,,,,,3.05,,,,109.0,,,,,,,,,,,,,
2013-07-01 05:30:00+00:00,0,,,,4.9,6.63,,,,,,,,4.9,,,,105.0,,,,,,,,,,,,,
2013-07-01 05:45:00+00:00,0,,,,5.32,6.43,,,,,,,,5.32,,,,106.0,,,,,,,,,,,,,
2013-07-01 06:00:00+00:00,0,,,,5.3,6.1,,,,,,,,5.3,,,,105.0,,,,,,,,,,,,,
2013-07-01 06:15:00+00:00,50,6.225,,18.87,4.9,5.43,5.45,,,6.8,0.03,,4.94,4.9,334.5,,,108.0,110.0,20.0,261.8,,170.5,120.2,,67.3,132.7,13.8,3.03,1.95,
2013-07-01 06:30:00+00:00,70,6.5,,20.11,5.75,,5.75,,,7.05,,,5.0,,335.0,,,,110.0,20.0,242.0,,164.0,98.8,,55.2,116.1,12.4,3.09,1.64,
2013-07-01 06:45:00+00:00,0,,,,4.72,6.18,,,,,,,,4.72,,,,103.0,,,,,,,,,,,,,
2013-07-01 07:30:00+00:00,70,6.2,,18.87,5.68,,5.68,,,6.75,,,5.11,,362.0,,,,110.0,20.0,230.4,,152.3,97.3,,54.8,120.3,11.2,3.04,1.56,
2013-07-01 08:00:00+00:00,0,,,,5.07,6.32,,,,,,,,5.07,,,,106.0,,,,,,,,,,,,,
2013-07-01 08:15:00+00:00,50,7.1,,21.15,6.15,,6.15,,,7.65,,,5.19,,348.5,,,,110.0,20.0,254.6,,165.2,112.5,,63.1,129.3,16.8,2.98,1.67,
2013-07-01 08:30:00+00:00,50,7.475,,22.93,6.55,,6.55,,,8.02,,,5.24,,333.5,,,,110.0,20.0,247.7,,164.6,106.7,,59.5,120.4,17.6,3.07,1.75,
2013-07-01 08:45:00+00:00,70,7.65,,23.88,6.03,,6.03,,,8.2,,,5.3,,311.0,,,,110.0,20.0,245.5,,165.3,99.0,,55.8,115.4,17.4,3.12,1.57,
2013-07-01 09:00:00+00:00,70,7.95,,26.05,6.03,,6.03,,,8.52,0.03,,5.36,,292.5,,,,110.0,20.0,232.3,,163.5,82.8,,47.1,104.9,16.0,3.28,1.36,
2013-07-01 09:15:00+00:00,70,7.475,,25.21,6.15,,6.15,,,8.02,,,5.43,,281.0,,,,110.0,20.0,218.5,,152.7,81.1,,45.7,100.8,13.6,3.37,1.48,
2013-07-01 09:30:00+00:00,70,7.275,,24.22,6.03,,6.03,,,7.82,,,5.51,,288.5,,,,110.0,20.0,220.8,,152.0,84.4,,47.7,104.3,13.4,3.33,1.5,
2013-07-01 09:45:00+00:00,70,6.7,,22.43,6.15,,6.15,,,7.25,,,5.58,,300.0,,,,110.0,20.0,213.3,,145.5,87.5,,49.2,100.7,11.6,3.35,1.82,
2013-07-01 12:00:00+00:00,50,6.95,,19.04,6.65,,6.65,,,7.5,,,5.66,,453.0,,,,110.0,20.0,273.3,,168.0,138.0,,77.3,153.7,19.5,2.74,1.91,
2013-07-01 12:15:00+00:00,70,7.0,,20.92,6.07,,6.07,,,7.55,,,5.62,,353.5,,,,110.0,20.0,249.6,,161.4,108.8,,61.4,128.9,15.9,2.99,1.58,
2013-07-01 12:30:00+00:00,70,7.175,,21.5,6.15,,6.15,,,7.72,,,5.58,,340.0,,,,110.0,20.0,254.5,,164.6,114.8,,64.2,129.9,17.4,3.0,1.75,
2013-07-01 12:45:00+00:00,70,7.075,,21.83,6.05,,6.05,,,7.65,0.03,,5.55,,332.5,,,,110.0,20.0,240.1,,159.5,100.2,,56.1,120.3,14.9,3.09,1.55,
2013-07-01 13:00:00+00:00,50,7.225,,22.02,6.38,,6.38,,,7.78,,,5.52,,338.5,,,,110.0,20.0,249.4,,165.0,108.5,,60.6,122.6,16.7,3.05,1.76,
2013-07-01 13:15:00+00:00,50,7.1,,21.43,6.15,,6.15,,,7.65,,,5.5,,337.0,,,,110.0,20.0,258.3,,168.3,116.7,,65.3,129.8,17.3,3.02,1.84,
2013-07-01 13:30:00+00:00,50,6.925,,20.36,6.55,,6.55,,,7.47,,,5.49,,395.5,,,,110.0,20.0,255.5,,166.8,116.3,,64.9,129.7,16.4,2.94,1.87,
2013-07-01 13:45:00+00:00,50,6.925,,20.06,6.6,,6.6,,,7.47,,,5.48,,410.0,,,,110.0,20.0,258.5,,169.0,117.6,,65.6,131.2,16.6,2.9,1.87,
2013-07-01 14:00:00+00:00,50,6.675,,19.8,3.03,6.25,5.75,,,7.22,,,5.48,3.03,350.0,,,101.0,110.0,20.0,258.6,,168.8,113.5,,63.8,129.4,15.1,2.97,1.71,
2013-07-01 14:15:00+00:00,50,6.625,,19.76,6.3,,6.3,,,7.18,,,5.49,,394.5,,,,110.0,20.0,236.5,,161.5,95.8,,53.3,113.4,12.5,2.98,1.63,
