Time,CS,foF2,MUFD,fmin,foEs,fminF,fxI,FF,foF2p,minEs,hF,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2013-05-01 00:00:00+00:00,100,6.125,16.64,1.65,,1.65,6.68,,3.61,,292.0,,110.0,20.0,371.4,304.9,95.2,50.2,89.6,9.7,2.72,2.63
2013-05-01 00:15:00+00:00,100,6.05,16.64,2.03,,2.03,6.6,,3.55,,298.5,,110.0,20.0,366.8,304.4,89.4,47.2,84.4,8.9,2.75,2.59
2013-05-01 00:30:00+00:00,100,5.15,15.58,1.7,2.95,3.45,5.7,,3.49,1.7,327.0,109.0,110.0,20.0,324.5,286.0,56.1,28.7,57.8,4.1,3.03,1.8
2013-05-01 00:45:00+00:00,100,5.825,15.77,3.7,,3.7,6.38,,3.44,,337.0,,110.0,20.0,371.4,312.6,84.9,44.6,82.2,7.9,2.71,2.3
2013-05-01 01:00:00+00:00,100,5.725,15.91,2.6,,2.6,6.28,,3.38,,301.0,,110.0,20.0,357.2,297.9,84.8,45.1,79.3,7.6,2.78,2.75
2013-05-01 01:15:00+00:00,100,5.2,16.27,2.9,,2.9,5.75,,3.34,,304.5,,110.0,20.0,314.6,280.2,50.4,25.6,53.1,3.7,3.13,1.65
2013-05-01 01:30:00+00:00,100,5.225,14.92,2.03,,2.03,5.78,,3.31,,289.5,,110.0,20.0,343.3,288.0,79.3,41.8,75.3,5.9,2.86,2.52
2013-05-01 01:45:00+00:00,100,5.0,14.63,2.45,2.95,3.25,5.55,,3.29,2.45,325.0,111.0,110.0,20.0,335.1,288.4,67.6,35.0,67.8,4.6,2.93,2.0
2013-05-01 02:00:00+00:00,100,5.4,15.14,2.92,3.55,3.0,5.95,,3.29,2.92,313.5,109.0,110.0,20.0,354.3,295.8,84.0,44.5,79.9,6.7,2.8,2.51
2013-05-01 02:15:00+00:00,100,5.15,15.09,2.47,4.13,4.53,5.7,,3.31,2.47,374.5,107.0,110.0,20.0,329.8,283.4,67.1,34.7,68.0,4.9,2.93,1.93
2013-05-01 02:30:00+00:00,100,5.4,14.94,2.63,3.4,2.65,5.95,,3.36,2.63,296.0,106.0,110.0,20.0,354.9,287.9,95.7,51.1,89.4,7.7,2.77,2.79
2013-05-01 02:45:00+00:00,100,5.375,15.14,1.65,3.4,1.73,5.93,,3.42,1.65,268.5,108.0,110.0,20.0,341.8,274.3,96.2,51.1,91.3,7.7,2.82,2.6
2013-05-01 03:00:00+00:00,70,5.375,15.09,2.53,,2.53,5.93,,3.52,,278.5,,110.0,20.0,338.6,268.6,99.4,53.0,95.1,8.0,2.81,2.56
2013-05-01 03:15:00+00:00,50,4.6,14.29,1.73,1.92,2.45,5.15,,3.63,1.73,267.0,111.0,110.0,20.0,285.6,236.4,68.9,37.0,73.2,4.2,3.11,1.87
2013-05-01 03:30:00+00:00,100,5.45,14.43,1.85,,1.85,6.0,,3.77,,249.5,,110.0,20.0,330.0,238.7,125.1,65.0,135.0,10.2,2.65,1.7
2013-05-01 03:45:00+00:00,70,5.625,16.11,3.0,,3.0,6.18,,3.92,,255.0,,110.0,20.0,311.5,225.9,119.3,64.5,125.9,10.8,2.86,2.06
2013-05-01 04:00:00+00:00,50,5.9,17.92,1.75,1.92,3.53,6.45,,4.08,1.9,275.0,115.0,100.5,10.4,275.9,205.1,93.7,52.6,101.8,10.0,3.04,1.8
2013-05-01 04:15:00+00:00,70,6.6,19.39,3.22,,3.22,7.18,0.03,4.25,,261.0,,110.0,20.0,297.2,219.6,107.1,59.1,111.9,13.7,2.94,2.06
2013-05-01 04:30:00+00:00,50,6.825,21.3,4.1,,4.1,7.38,,4.42,,267.0,,110.0,20.0,266.6,203.9,83.0,45.8,95.9,11.6,3.12,1.57
2013-05-01 04:45:00+00:00,70,7.325,23.64,3.63,,3.63,7.88,,4.58,,248.5,,110.0,20.0,259.5,205.0,73.2,41.5,82.9,12.2,3.23,1.71
2013-05-01 05:00:00+00:00,70,7.675,24.98,3.17,,3.17,8.23,,4.73,,248.5,,110.0,20.0,259.6,209.4,67.7,38.8,77.7,12.6,3.25,1.68
2013-05-01 05:15:00+00:00,70,7.8,24.98,4.53,,4.53,8.35,,4.87,,251.0,,110.0,20.0,258.0,193.3,87.6,48.7,93.2,15.9,3.2,1.95
2013-05-01 05:30:00+00:00,50,7.75,25.19,5.93,,5.93,8.3,,4.98,,287.5,,110.0,20.0,243.6,181.2,80.4,43.7,99.6,14.2,3.25,1.37
2013-05-01 05:45:00+00:00,70,7.275,24.97,4.53,,4.53,7.88,0.05,5.08,,268.5,,110.0,20.0,233.7,184.0,60.2,35.6,89.1,10.6,3.43,1.06
2013-05-01 06:00:00+00:00,50,7.85,23.32,2.67,3.65,6.3,8.4,,5.16,2.95,312.5,107.0,101.2,11.0,270.2,178.5,121.2,67.0,131.0,21.8,2.97,1.88
2013-05-01 06:15:00+00:00,70,7.875,23.33,5.07,,5.07,8.43,,5.22,,289.5,,110.0,20.0,279.4,198.0,105.2,59.3,112.8,19.8,2.96,1.77
2013-05-01 06:30:00+00:00,70,7.975,23.54,5.75,,5.75,8.52,,5.28,,300.0,,110.0,20.0,277.1,191.2,111.7,61.8,121.4,21.0,2.95,1.74
2013-05-01 06:45:00+00:00,70,8.75,24.71,4.97,,4.97,9.3,,5.32,,291.0,,110.0,20.0,304.1,213.4,119.8,67.5,124.2,27.6,2.82,1.91
2013-05-01 07:00:00+00:00,50,8.9,26.55,6.88,,6.88,9.45,,5.36,,320.0,,110.0,20.0,272.9,189.2,110.1,60.1,119.1,25.3,2.98,1.74
2013-05-01 07:15:00+00:00,0,9.0,27.06,4.47,,4.47,9.55,,,,247.5,,110.0,20.0,,,,,,,3.01,
2013-05-01 07:30:00+00:00,50,8.9,26.55,7.47,,7.47,9.45,,5.45,,338.5,,110.0,20.0,266.3,183.8,108.5,59.2,118.6,24.9,2.98,1.73
2013-05-01 07:45:00+00:00,50,8.925,25.44,6.85,,6.85,9.48,,5.51,,325.0,,110.0,20.0,294.9,195.6,133.0,73.2,141.8,30.7,2.85,1.92
2013-05-01 08:00:00+00:00,50,8.925,25.15,7.28,,7.28,9.5,0.03,5.59,,345.0,,110.0,20.0,296.4,194.8,135.7,74.5,145.2,31.2,2.82,1.89
2013-05-01 08:15:00+00:00,50,9.075,25.43,6.5,,6.5,9.63,,5.67,,331.0,,110.0,20.0,299.3,199.4,130.2,72.0,136.9,31.5,2.8,1.8
2013-05-01 08:30:00+00:00,50,9.475,26.1,6.5,,6.5,10.02,,5.77,,326.0,,110.0,20.0,307.5,206.0,132.3,73.0,138.2,34.9,2.76,1.77
