Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,FE,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2012-11-01 00:00:00+00:00,100,4.1,,12.44,2.65,,2.65,,,4.65,,,3.27,,285.0,,,,110.0,20.0,316.8,,275.2,59.3,,31.9,53.9,2.8,3.04,3.22,
2012-11-01 00:15:00+00:00,100,3.925,,12.7,2.55,,2.55,,,4.47,,,3.3,,273.5,,,,110.0,20.0,292.6,,262.0,43.7,,23.5,40.4,1.9,3.23,2.98,
2012-11-01 00:30:00+00:00,100,4.1,,12.98,2.42,,2.42,,,4.65,,,3.31,,253.5,,,,110.0,20.0,294.8,,255.7,55.4,,30.2,48.4,2.6,3.17,4.09,
2012-11-01 00:45:00+00:00,100,3.825,,12.89,2.7,,2.7,,,4.38,,,3.29,,262.5,,,,110.0,20.0,277.4,,252.5,35.6,,19.1,33.7,1.5,3.37,2.67,
2012-11-01 01:00:00+00:00,100,3.95,,12.95,1.83,,1.83,,,4.5,,,3.24,,243.5,,,,110.0,20.0,281.0,,244.0,52.5,,28.1,47.3,2.3,3.28,3.36,
2012-11-01 01:15:00+00:00,100,3.825,,12.66,2.6,,2.6,,,4.38,,,3.17,,261.0,,,,110.0,20.0,283.8,,254.2,42.3,,22.9,38.4,1.7,3.31,3.31,
2012-11-01 01:30:00+00:00,100,3.8,,12.34,2.67,,2.67,,,4.35,,,3.08,,270.0,,,,110.0,20.0,291.0,,258.8,46.0,,24.9,42.1,1.9,3.25,3.14,
2012-11-01 01:45:00+00:00,100,3.825,,13.37,3.25,,3.25,,,4.38,,,2.98,,288.5,,,,110.0,20.0,271.4,,250.5,30.1,,15.7,30.7,1.2,3.5,1.93,
2012-11-01 02:00:00+00:00,100,3.725,,13.01,2.6,,2.6,,,4.28,,,2.88,,253.5,,,,110.0,20.0,264.8,,242.2,32.4,,17.3,30.7,1.3,3.49,2.64,
2012-11-01 02:30:00+00:00,100,3.875,,13.76,2.72,,2.72,,,4.43,,,2.7,,245.0,,,,110.0,20.0,256.8,,234.7,31.6,,17.0,29.2,1.3,3.55,2.95,
2012-11-01 02:45:00+00:00,100,3.625,,12.95,2.88,,2.88,,,4.18,,,2.65,,256.0,,,,110.0,20.0,257.7,,239.2,26.6,,14.0,26.3,1.0,3.57,2.18,
2012-11-01 03:00:00+00:00,100,3.475,,11.03,2.6,,2.6,,,4.03,,,2.64,,260.0,,,,110.0,20.0,302.1,,256.7,64.5,,35.8,54.3,2.2,3.18,5.31,
