Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fxI,FF,foF2p,minEs,hF,hF2,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2012-08-01 00:00:00+00:00,100,5.175,,14.79,2.92,,2.92,5.72,,3.39,,290.0,,,110.0,20.0,346.8,290.2,80.6,43.3,72.7,6.0,2.86,3.34
2012-08-01 00:30:00+00:00,100,4.475,,14.2,3.55,,3.55,5.03,,3.26,,319.0,,,110.0,20.0,303.0,269.9,47.9,24.8,48.6,2.6,3.17,1.92
2012-08-01 00:45:00+00:00,100,4.175,,14.12,3.25,,3.25,4.72,,3.2,,305.0,,,110.0,20.0,283.5,259.3,35.3,17.7,38.6,1.7,3.38,1.47
2012-08-01 01:15:00+00:00,100,4.75,,14.02,3.05,,3.05,5.3,,3.09,,295.0,,,110.0,20.0,323.8,279.7,63.5,33.6,61.2,4.0,2.95,2.38
2012-08-01 02:00:00+00:00,100,4.525,,14.22,3.4,,3.4,5.07,,3.01,,299.0,,,110.0,20.0,302.5,265.3,53.6,28.1,53.0,3.0,3.14,2.13
2012-08-01 02:15:00+00:00,100,4.45,,14.02,2.83,,2.83,5.0,,3.02,,269.0,,,110.0,20.0,297.2,257.4,57.0,30.6,53.3,3.1,3.15,2.79
2012-08-01 02:30:00+00:00,100,4.475,,13.24,2.42,,2.42,5.03,,3.05,,254.0,,,110.0,20.0,320.1,258.4,87.4,47.7,74.7,4.9,2.96,4.65
2012-08-01 02:45:00+00:00,100,3.9,,12.69,3.42,,3.42,4.45,,3.1,,305.0,,,110.0,20.0,279.7,243.1,52.0,27.5,52.9,2.2,3.25,2.04
2012-08-01 03:00:00+00:00,50,3.875,,12.41,3.4,,3.4,4.43,,3.18,,320.0,,,110.0,20.0,281.5,238.9,59.8,31.8,61.8,2.6,3.2,1.99
2012-08-01 03:15:00+00:00,70,4.15,,12.87,2.88,,2.88,4.7,,3.28,,274.0,,,110.0,20.0,287.7,231.9,78.7,42.7,77.7,3.9,3.1,2.37
2012-08-01 03:45:00+00:00,70,4.125,,13.78,2.85,,2.85,4.68,,3.54,,250.0,,,110.0,20.0,243.7,191.7,69.8,38.6,77.1,3.6,3.34,1.86
2012-08-01 04:00:00+00:00,50,4.475,,14.72,4.07,,4.07,5.03,,3.69,,328.0,,,110.0,20.0,238.0,183.8,69.3,38.0,83.9,4.2,3.29,1.51
2012-08-01 04:15:00+00:00,70,5.425,,16.58,3.25,,3.25,5.97,,3.84,,254.0,,,110.0,20.0,274.6,200.3,100.5,55.6,107.8,8.8,3.06,1.97
2012-08-01 04:30:00+00:00,70,5.725,,17.86,3.22,,3.22,6.28,,3.99,,239.0,,,110.0,20.0,266.3,194.6,97.1,54.1,103.3,9.5,3.12,2.03
2012-08-01 04:45:00+00:00,50,6.25,,19.11,4.75,,4.75,6.8,,4.14,,299.0,,,110.0,20.0,267.6,192.8,98.8,54.3,109.3,11.4,3.06,1.76
2012-08-01 05:00:00+00:00,70,6.725,,21.38,4.25,,4.25,7.28,,4.28,,279.0,,,110.0,20.0,257.8,196.1,78.4,44.5,97.5,11.1,3.18,1.38
2012-08-01 05:15:00+00:00,70,6.775,,23.49,4.3,,4.3,7.38,0.05,4.41,,274.0,,,110.0,20.0,232.4,185.2,56.2,33.1,86.8,8.6,3.47,1.0
2012-08-01 05:30:00+00:00,70,6.7,,23.58,4.3,,4.3,7.35,0.1,4.52,,264.0,,,110.0,20.0,226.3,179.4,55.1,32.8,86.2,8.3,3.52,1.0
2012-08-01 05:45:00+00:00,50,7.25,,23.76,5.68,,5.68,7.8,,4.61,,273.0,,,110.0,20.0,238.7,174.5,84.4,46.5,96.0,13.1,3.28,1.7
2012-08-01 06:00:00+00:00,70,7.2,,23.55,4.3,,4.3,7.75,,4.7,,254.0,,,110.0,20.0,245.9,182.3,84.0,48.1,90.2,13.4,3.27,1.98
2012-08-01 06:15:00+00:00,70,7.2,,22.85,4.78,,4.78,7.75,,4.77,,274.0,,,110.0,20.0,252.7,181.7,90.4,51.4,102.0,14.4,3.17,1.69
2012-08-01 06:30:00+00:00,70,6.95,,22.77,4.65,,4.65,7.5,,4.83,,274.0,,,110.0,20.0,239.9,175.5,78.4,45.8,96.4,12.1,3.28,1.47
2012-08-01 07:00:00+00:00,70,6.975,,20.54,5.7,,5.7,7.53,,4.94,,320.0,,,110.0,20.0,269.8,176.8,120.7,67.4,132.9,17.3,2.94,1.84
2012-08-01 07:15:00+00:00,70,6.875,,21.09,5.9,,5.9,7.43,,5.0,,330.0,,,110.0,20.0,249.4,166.5,105.9,59.1,121.0,14.8,3.07,1.71
2012-08-01 07:30:00+00:00,50,6.875,,18.62,6.7,,6.7,7.43,,5.06,,475.0,,,110.0,20.0,266.6,171.8,125.6,70.1,138.7,17.4,2.71,1.94
2012-08-01 07:45:00+00:00,50,7.025,,19.49,6.22,,6.22,7.57,,5.12,,400.0,,,110.0,20.0,276.9,175.5,128.2,71.5,145.7,18.7,2.78,1.67
2012-08-01 08:00:00+00:00,50,7.475,,19.97,6.53,,6.53,8.02,,5.19,,418.0,,,110.0,20.0,295.1,185.3,139.1,77.4,154.6,22.9,2.67,1.68
2012-08-01 08:15:00+00:00,50,7.65,,22.16,4.3,4.93,6.18,8.2,,5.26,4.3,357.0,,105.0,110.0,20.0,272.3,176.9,119.2,66.5,134.9,20.7,2.9,1.61
2012-08-01 08:30:00+00:00,50,7.825,,22.74,6.75,,6.75,8.38,,5.34,,362.0,,,110.0,20.0,274.7,177.7,127.0,70.5,139.2,22.7,2.91,1.85
2012-08-01 08:45:00+00:00,50,8.275,,23.23,6.9,,6.9,8.85,0.03,5.41,,371.0,,,110.0,20.0,291.4,187.0,136.6,75.7,147.8,27.3,2.81,1.84
2012-08-01 09:00:00+00:00,50,8.675,,24.11,6.7,,6.7,9.23,,5.49,,347.5,,,110.0,20.0,300.0,193.1,140.1,77.5,149.6,30.7,2.78,1.85
2012-08-01 09:15:00+00:00,50,8.85,,25.83,6.22,,6.22,9.4,,5.57,,332.0,,,110.0,20.0,280.2,191.7,109.5,61.7,120.4,26.0,2.92,1.55
2012-08-01 09:30:00+00:00,50,9.25,,27.64,6.9,,6.9,9.8,,5.63,,322.0,,,110.0,20.0,271.7,185.1,111.4,61.5,120.3,28.0,2.99,1.69
2012-08-01 09:45:00+00:00,50,9.45,,28.68,6.85,,6.85,10.0,,5.69,,297.0,,,110.0,20.0,269.3,185.2,109.4,60.4,117.7,28.6,3.04,1.74
2012-08-01 10:00:00+00:00,70,9.425,,28.69,6.2,,6.2,9.98,,5.74,,299.0,,,110.0,20.0,266.9,189.9,96.8,54.7,106.6,26.2,3.04,1.57
2012-08-01 10:15:00+00:00,70,9.3,,30.76,6.03,,6.03,9.85,,5.78,,288.0,,,110.0,20.0,241.0,180.9,72.8,42.1,98.0,20.0,3.31,1.17
2012-08-01 10:30:00+00:00,50,9.0,,26.62,6.53,,6.53,9.55,,5.81,,293.0,,,110.0,20.0,279.8,185.3,126.5,70.2,135.2,29.8,2.96,1.97
2012-08-01 10:45:00+00:00,50,8.7,,24.9,6.85,,6.85,9.25,,5.82,,333.0,,,110.0,20.0,283.9,185.1,128.6,71.2,138.5,28.4,2.86,1.81
2012-08-01 11:00:00+00:00,50,8.725,,24.24,6.38,,6.38,9.27,,5.82,,343.0,,,110.0,20.0,296.7,193.8,130.8,73.1,139.1,29.5,2.78,1.73
2012-08-01 11:15:00+00:00,50,8.75,,25.56,6.53,,6.53,9.3,,5.81,,333.0,,,110.0,20.0,276.6,185.1,114.9,64.0,126.5,26.1,2.92,1.6
2012-08-01 11:30:00+00:00,50,8.825,,25.17,7.05,,7.05,9.38,,5.79,,348.0,,,110.0,20.0,281.8,185.3,124.1,68.3,135.0,28.2,2.85,1.7
