column,mean_availability
Time,100.0
caleF2,95.30854709500936
halfNm,95.30854709500936
CS,91.66666666666667
fmin,91.64459036028353
hmE,90.56659061338006
yE,90.56659061338006
fminF,90.51105511996668
MUFD,90.51105511996668
MD,90.51105511996668
foF2,90.51105511996668
hF,90.51105511996668
fxI,90.51105511996668
foF2p,87.39365573221964
yF2,87.36616817042524
hmF2,87.36616817042524
B1,87.36616817042524
B0,87.36616817042524
TEC,87.3004550858779
minEs,12.708943242950852
FF,12.019775025535361
foEs,11.76285132364539
hEs,11.759886779592264
hF2,6.2918475970292755
foF1,6.202042779478784
yF1,3.57662650809713
hmF1,3.57662650809713
fminE,3.56421744866498
hE,3.56421744866498
foE,3.56421744866498
D1,3.557927853795819
FE,3.3028952755457355
QF,0.07859687912695294
fbEs,0.008893632159373555
QE,0.006422203484846937
hEs_QD,0.0
yF2_QD,0.0
yF1_QD,0.0
hF2_QD,0.0
hF_QD,0.0
minEs_QD,0.0
yE_QD,0.0
hP,0.0
hP_QD,0.0
peEs,0.0
halfNm_QD,0.0
hmE_QD,0.0
scaleF2,0.0
hmF1_QD,0.0
peEs_QD,0.0
hEa_QD,0.0
hmF2_QD,0.0
foF1_QD,0.0
hEa,0.0
fminE_QD,0.0
B1_QD,0.0
D1_QD,0.0
FE_QD,0.0
FF_QD,0.0
MD_QD,0.0
MUFD_QD,0.0
QE_QD,0.0
QF_QD,0.0
TEC_QD,0.0
TypeEs,0.0
caleF2_QD,0.0
fbEs_QD,0.0
fminEs,0.0
hE_QD,0.0
fminF_QD,0.0
fmin_QD,0.0
foE_QD,0.0
foEa,0.0
foEa_QD,0.0
foEs_QD,0.0
B0_QD,0.0
foF2_QD,0.0
foF2p_QD,0.0
foP,0.0
foP_QD,0.0
fxI_QD,0.0
zhalfNm,0.0
