Time,CS,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,FE,foF2p,minEs,hF,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2012-12-02 10:15:00+00:00,100,7.762,28.13,2.92,3.42,3.42,2.92,3.01,8.3,,,5.69,3.03,186.0,130.0,134.0,103.2,12.9,216.8,177.1,50.7,30.8,60.7,10.2,3.63,1.76
2012-12-02 10:30:00+00:00,100,7.813,27.39,3.63,,3.63,,,8.43,0.08,,5.73,,217.5,,,110.0,20.0,230.9,189.7,51.5,32.4,68.1,10.9,3.51,1.46
2012-12-02 10:45:00+00:00,100,7.163,25.83,2.67,3.65,3.72,2.67,3.06,7.7,,0.03,5.76,3.08,230.0,117.5,116.0,103.7,13.4,224.6,190.2,45.0,28.2,49.8,8.2,3.61,2.08
2012-12-02 11:00:00+00:00,0,8.0,26.02,2.92,3.4,3.42,2.92,3.06,8.6,0.05,0.03,,3.08,182.5,122.5,119.0,102.1,11.8,,,,,,,3.25,
2012-12-02 11:15:00+00:00,70,8.575,30.44,2.8,3.28,4.5,2.8,3.01,9.15,0.03,0.03,5.82,3.03,256.0,117.5,120.0,103.2,13.0,226.3,186.7,48.4,30.8,74.7,12.9,3.55,1.01
2012-12-02 11:30:00+00:00,70,8.475,31.85,2.53,2.9,4.0,2.53,2.9,9.02,,0.03,5.83,2.53,227.5,112.5,112.5,103.1,12.8,210.6,178.8,40.8,25.4,59.8,10.4,3.76,1.09
2012-12-02 11:45:00+00:00,100,7.887,26.32,2.63,2.72,3.28,2.63,2.73,8.43,,0.03,5.83,2.63,223.5,120.0,120.0,100.5,10.3,247.4,196.6,67.5,39.0,72.5,13.1,3.34,2.12
2012-12-02 12:00:00+00:00,0,8.325,28.82,2.53,2.7,3.72,2.53,2.7,8.9,0.03,0.05,,,232.5,117.5,117.5,102.4,12.2,,,,,,,3.46,
2012-12-02 12:15:00+00:00,100,7.525,27.69,3.08,,3.08,,,8.07,,,5.76,,221.0,,,110.0,20.0,220.2,189.4,42.5,25.2,49.1,8.2,3.68,1.64
2012-12-02 12:30:00+00:00,100,7.275,29.4,3.38,,3.38,,,7.85,0.03,,5.68,,230.0,,,110.0,20.0,203.4,183.9,22.7,15.8,42.7,5.2,4.04,1.0
