Time,CS,foF2,MUFD,fmin,foEs,fminF,fxI,FF,foF2p,minEs,hF,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2012-05-01 00:00:00+00:00,100,6.6,19.05,2.67,,2.67,7.15,,3.61,,274.0,,110.0,20.0,333.5,281.2,74.4,39.7,67.7,8.8,2.89,3.16
2012-05-01 00:15:00+00:00,100,6.45,19.29,3.4,,3.4,7.0,,3.55,,275.0,,110.0,20.0,324.9,279.0,65.6,35.1,60.2,7.5,2.99,3.03
2012-05-01 00:30:00+00:00,100,6.475,19.27,2.5,,2.5,7.03,,3.49,,264.0,,110.0,20.0,319.6,271.4,68.5,36.6,61.7,7.8,2.98,3.35
2012-05-01 00:45:00+00:00,100,6.325,18.87,3.38,,3.38,6.88,,3.44,,274.0,,110.0,20.0,322.3,276.2,65.7,35.1,60.0,7.2,2.98,3.1
2012-05-01 01:00:00+00:00,100,4.475,15.72,2.83,,2.83,5.03,,3.38,,260.0,,110.0,20.0,265.8,245.5,29.3,15.3,29.3,1.6,3.51,2.03
2012-05-01 01:15:00+00:00,100,6.1,18.39,2.45,,2.45,6.65,,3.34,,259.0,,110.0,20.0,317.9,268.1,70.7,37.8,63.4,7.2,3.01,3.42
2012-05-01 01:30:00+00:00,100,4.475,15.96,2.83,,2.83,5.03,,3.31,,270.0,,110.0,20.0,266.9,247.8,28.0,14.0,30.9,1.5,3.57,1.42
2012-05-01 01:45:00+00:00,100,4.925,16.9,3.1,,3.1,5.47,,3.29,,275.0,,110.0,20.0,275.1,251.6,34.3,17.5,35.7,2.3,3.43,1.73
2012-05-01 02:00:00+00:00,100,4.925,16.56,1.88,,1.88,5.47,,3.29,,250.0,,110.0,20.0,278.7,249.7,41.8,22.0,40.7,2.8,3.36,2.28
2012-05-01 02:15:00+00:00,100,5.45,16.8,2.92,,2.92,6.0,,3.31,,265.0,,110.0,20.0,309.7,262.7,67.0,36.1,60.4,5.5,3.08,3.37
2012-05-01 02:30:00+00:00,100,5.525,17.14,2.5,,2.5,6.07,,3.36,,254.0,,110.0,20.0,301.8,255.1,66.5,35.6,60.8,5.6,3.1,3.11
2012-05-01 02:45:00+00:00,100,5.375,16.74,2.5,,2.5,5.93,,3.42,,255.0,,110.0,20.0,296.6,249.7,66.7,35.5,62.7,5.3,3.12,2.73
2012-05-01 03:00:00+00:00,50,4.175,14.86,3.0,,3.0,4.72,,3.52,,270.0,,110.0,20.0,252.0,225.4,36.9,19.2,42.7,1.9,3.56,1.41
2012-05-01 03:15:00+00:00,70,4.475,15.93,1.92,,1.92,5.03,,3.63,,249.0,,110.0,20.0,248.9,224.1,34.6,19.3,42.6,2.2,3.56,1.3
2012-05-01 03:30:00+00:00,70,4.5,17.14,3.13,,3.13,5.07,0.03,3.77,,249.0,,110.0,20.0,220.7,192.6,36.9,20.1,48.1,2.3,3.81,1.18
