Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fxI,FF,foF2p,minEs,hF,hF2,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2012-10-01 00:00:00+00:00,100,4.95,,16.34,3.33,,3.33,5.5,,3.38,,297.0,,,110.0,20.0,292.8,267.6,36.7,18.7,38.2,2.5,3.3,1.73
2012-10-01 00:15:00+00:00,100,5.0,,16.84,2.83,,2.83,5.55,,3.41,,276.0,,,110.0,20.0,286.3,262.1,35.1,18.2,35.3,2.4,3.37,1.99
2012-10-01 00:30:00+00:00,100,6.325,,18.37,3.1,,3.1,6.88,,3.42,,275.0,,,110.0,20.0,339.1,284.0,78.0,42.3,68.5,8.6,2.9,3.96
2012-10-01 00:45:00+00:00,100,5.0,,16.78,2.78,,2.78,5.55,,3.39,,274.5,,,110.0,20.0,285.6,261.4,35.2,18.2,35.6,2.4,3.36,1.94
2012-10-01 01:00:00+00:00,100,5.85,,18.08,1.83,,1.83,6.4,,3.33,,261.0,,,110.0,20.0,310.6,268.4,60.1,31.8,55.6,5.6,3.09,2.87
2012-10-01 01:15:00+00:00,100,5.4,,16.73,2.85,,2.85,5.95,,3.25,,279.5,,,110.0,20.0,311.1,272.7,55.0,29.3,51.3,4.4,3.1,2.77
2012-10-01 01:30:00+00:00,100,4.875,,15.06,3.4,,3.4,5.43,,3.15,,301.0,,,110.0,20.0,313.1,276.3,53.1,27.9,52.2,3.5,3.09,2.19
2012-10-01 01:45:00+00:00,100,4.975,,14.2,2.67,,2.67,5.53,,3.06,,292.0,,,110.0,20.0,336.6,285.1,73.7,39.3,68.6,5.0,2.86,2.81
2012-10-01 02:00:00+00:00,100,4.425,,14.79,2.45,,2.45,4.97,,2.96,,268.5,,,110.0,20.0,283.1,256.5,38.4,20.0,38.3,2.1,3.34,2.07
2012-10-01 02:15:00+00:00,100,4.025,,14.65,2.55,,2.55,4.57,,2.89,,243.5,,,110.0,20.0,252.2,232.7,28.0,14.8,27.1,1.3,3.64,2.37
2012-10-01 02:30:00+00:00,100,3.525,,12.08,1.73,,1.73,4.15,0.08,2.85,,227.0,,,110.0,20.0,258.8,225.8,46.8,25.2,41.8,1.6,3.43,3.53
2012-10-01 02:45:00+00:00,100,3.575,,10.65,2.88,,2.88,4.15,0.03,2.85,,356.0,,,110.0,20.0,324.6,281.2,62.5,32.1,65.4,2.2,2.98,1.75
2012-10-01 03:00:00+00:00,100,3.5,,10.34,2.65,,2.65,4.05,,2.89,,331.0,,,110.0,20.0,324.6,278.0,66.9,35.0,67.4,2.3,2.95,2.02
2012-10-01 03:15:00+00:00,100,3.5,,9.63,1.73,1.92,2.83,4.05,,2.97,1.73,369.5,,97.0,110.0,20.0,353.4,292.6,87.0,45.8,87.4,3.0,2.75,2.07
2012-10-01 03:30:00+00:00,100,3.55,,9.91,2.6,,2.6,4.1,,3.09,,354.5,,,110.0,20.0,345.0,285.4,84.9,44.5,87.7,3.0,2.79,1.91
2012-10-01 03:45:00+00:00,100,3.5,,9.63,2.83,,2.83,4.05,,3.26,,370.0,,,110.0,20.0,343.0,277.0,93.0,49.3,96.5,3.2,2.75,1.95
2012-10-01 04:00:00+00:00,50,3.525,,10.0,2.92,,2.92,4.1,0.03,3.45,,376.0,,,110.0,20.0,322.3,258.1,88.0,46.7,96.6,3.1,2.84,1.72
2012-10-01 04:15:00+00:00,50,3.825,,10.49,3.4,,3.4,4.38,,3.67,,415.0,,,110.0,20.0,321.5,244.2,104.2,56.0,118.0,4.4,2.74,1.63
