Time,CS,foF2,MUFD,fmin,fminF,fxI,foF2p,hF,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2012-01-01 01:30:00+00:00,100,3.3,10.18,1.75,1.75,3.85,3.05,264.0,110.0,20.0,308.4,262.6,64.9,35.2,56.7,2.0,3.09,4.06
2012-01-01 02:30:00+00:00,100,4.425,12.27,3.15,3.15,4.97,2.65,420.0,110.0,20.0,374.7,327.1,70.2,34.0,82.8,3.7,2.77,1.13
2012-01-01 03:45:00+00:00,100,3.15,9.69,2.45,2.45,3.7,2.46,295.0,110.0,20.0,306.0,265.1,58.5,31.4,56.2,1.6,3.08,2.5
2012-01-01 05:00:00+00:00,100,3.575,12.9,2.63,2.63,4.13,3.03,234.0,110.0,20.0,242.5,218.3,34.4,18.7,32.3,1.3,3.61,2.86
2012-01-01 05:30:00+00:00,70,4.525,16.41,2.7,2.7,5.07,3.43,219.0,110.0,20.0,235.4,202.1,47.1,25.5,45.4,2.8,3.63,2.57
2012-01-01 05:45:00+00:00,100,5.3,19.16,1.85,1.85,5.85,3.64,214.0,110.0,20.0,231.1,197.9,46.9,25.7,45.3,3.9,3.62,2.59
2012-01-01 06:00:00+00:00,50,5.55,21.29,4.07,4.07,6.1,3.86,215.0,110.0,20.0,207.5,177.1,41.6,22.5,44.7,3.8,3.84,1.9
2012-01-01 06:15:00+00:00,70,5.875,22.35,2.92,2.92,6.43,4.07,209.0,110.0,20.0,210.1,181.2,39.0,22.0,46.6,4.3,3.8,1.51
2012-01-01 06:30:00+00:00,70,6.575,23.72,3.78,3.78,7.13,4.29,205.0,110.0,20.0,219.5,177.8,57.4,31.4,60.5,7.3,3.61,2.02
2012-01-01 07:00:00+00:00,70,7.2,28.29,3.72,3.72,7.75,4.68,215.0,110.0,20.0,204.4,178.2,33.7,19.7,49.5,5.9,3.93,1.01
2012-01-01 07:15:00+00:00,50,7.475,26.39,6.4,6.4,8.05,4.86,254.0,110.0,20.0,221.6,173.7,65.2,35.6,69.5,10.7,3.53,1.98
2012-01-01 07:30:00+00:00,50,7.525,26.76,6.38,6.38,8.07,5.02,255.0,110.0,20.0,218.1,170.9,63.6,34.7,69.1,10.6,3.56,1.89
2012-01-01 07:45:00+00:00,70,6.725,26.68,3.72,3.72,7.28,5.17,220.0,110.0,20.0,198.3,171.9,31.1,19.7,52.6,5.3,3.97,1.0
2012-01-01 08:00:00+00:00,50,7.35,26.83,6.35,6.35,7.9,5.29,249.0,110.0,20.0,205.9,162.3,58.0,31.8,63.5,9.3,3.65,1.89
2012-01-01 08:30:00+00:00,70,8.45,31.43,4.3,4.3,9.0,5.49,230.0,110.0,20.0,214.9,182.0,42.1,25.0,62.5,10.2,3.72,1.01
2012-01-01 08:45:00+00:00,50,9.425,33.84,6.93,6.93,9.98,5.56,254.0,110.0,20.0,219.2,173.4,59.0,31.4,78.1,15.3,3.59,1.16
2012-01-01 09:45:00+00:00,50,7.85,28.36,7.43,7.43,8.4,5.69,279.0,110.0,20.0,202.3,157.4,59.8,32.8,65.3,10.9,3.61,1.91
2012-01-01 10:30:00+00:00,50,7.65,27.8,6.63,6.63,8.2,5.69,264.0,110.0,20.0,201.7,156.3,58.2,31.8,67.8,10.1,3.63,1.65
2012-01-01 12:30:00+00:00,70,7.85,29.04,3.78,3.78,8.4,5.5,235.0,110.0,20.0,219.4,187.3,40.3,25.0,62.4,8.9,3.7,1.0
2012-01-01 12:45:00+00:00,50,8.275,30.64,6.05,6.05,8.82,5.44,250.0,110.0,20.0,210.3,168.3,52.7,28.5,69.6,10.8,3.7,1.2
2012-01-01 13:00:00+00:00,50,7.95,27.76,7.82,7.82,8.5,5.36,315.0,110.0,20.0,260.2,188.1,100.1,55.3,104.3,18.4,3.49,2.2
2012-01-01 13:15:00+00:00,50,8.325,29.63,5.97,5.97,8.88,5.27,240.0,110.0,20.0,218.8,174.1,58.0,31.2,72.1,11.9,3.56,1.34
2012-01-01 13:30:00+00:00,50,7.975,28.83,5.13,5.13,8.52,5.16,234.0,110.0,20.0,218.6,177.6,53.1,29.2,68.1,10.3,3.62,1.27
2012-01-01 14:15:00+00:00,70,7.025,26.51,3.33,3.33,7.57,4.71,209.0,110.0,20.0,210.8,180.1,41.7,23.8,50.1,6.6,3.77,1.5
2012-01-01 14:45:00+00:00,50,6.05,23.29,3.75,3.75,6.6,4.35,209.0,110.0,20.0,204.9,174.8,40.6,22.3,46.4,4.6,3.85,1.65
2012-01-01 15:00:00+00:00,70,5.9,20.11,2.95,2.95,6.45,4.16,200.0,110.0,20.0,243.9,186.7,81.3,43.8,72.6,8.0,3.41,3.55
2012-01-01 15:15:00+00:00,50,5.625,21.33,3.55,3.55,6.18,3.96,230.0,110.0,20.0,219.2,191.9,37.0,19.6,44.8,3.5,3.79,1.32
2012-01-01 15:30:00+00:00,50,4.9,17.62,3.47,3.47,5.45,3.77,219.0,110.0,20.0,234.3,202.3,45.5,24.8,42.7,3.2,3.6,2.9
2012-01-01 15:45:00+00:00,70,4.475,15.68,2.7,2.7,5.03,3.58,224.0,110.0,20.0,249.3,216.3,47.0,25.6,42.7,2.7,3.5,3.35
2012-01-01 16:00:00+00:00,100,4.475,14.77,3.67,3.67,5.03,3.4,274.0,110.0,20.0,275.2,240.3,49.6,26.4,49.8,2.8,3.3,2.13
2012-01-01 16:15:00+00:00,100,4.475,14.38,2.47,2.47,5.03,3.23,239.0,110.0,20.0,283.7,240.6,61.2,33.4,52.7,3.4,3.21,4.43
2012-01-01 16:45:00+00:00,100,4.125,13.87,3.2,3.2,4.7,2.95,265.0,110.0,20.0,275.5,247.1,40.8,21.7,39.3,1.9,3.36,2.43
2012-01-01 17:00:00+00:00,100,4.125,14.14,2.33,2.33,4.68,2.84,235.0,110.0,20.0,263.4,233.2,42.9,23.3,37.9,2.0,3.43,3.79
2012-01-01 17:15:00+00:00,100,4.15,14.46,2.13,2.13,4.7,2.74,230.0,110.0,20.0,258.2,229.2,41.3,22.2,37.2,2.0,3.48,3.37
2012-01-01 17:30:00+00:00,100,3.85,13.63,2.72,2.72,4.4,2.67,244.0,110.0,20.0,257.6,234.8,32.6,17.6,30.0,1.4,3.54,3.04
2012-01-01 17:45:00+00:00,100,3.8,13.99,2.63,2.63,4.35,2.62,238.0,110.0,20.0,244.9,227.0,25.7,13.5,25.3,1.0,3.68,2.2
2012-01-01 18:15:00+00:00,100,3.5,12.25,2.22,2.22,4.05,2.56,234.0,110.0,20.0,256.2,228.1,40.0,21.9,34.9,1.4,3.5,4.1
2012-01-01 18:30:00+00:00,100,3.15,11.19,2.45,2.45,3.7,2.55,245.0,110.0,20.0,254.6,233.1,30.8,16.7,28.6,0.9,3.55,2.93
2012-01-01 19:00:00+00:00,0,,,3.0,,,,,,,,,,,,,,
2012-01-01 19:45:00+00:00,100,2.55,8.79,2.05,2.05,3.1,2.57,284.0,110.0,20.0,273.4,251.2,31.5,16.6,32.4,0.6,3.45,1.94
2012-01-01 23:45:00+00:00,100,3.275,9.73,3.03,3.03,3.83,3.08,385.0,110.0,20.0,326.4,286.1,57.8,30.0,59.3,1.7,2.97,1.9
2012-01-02 00:00:00+00:00,100,4.475,11.85,2.67,2.67,5.03,3.14,330.0,110.0,20.0,381.6,314.6,95.8,51.3,89.0,5.3,2.65,2.87
2012-01-02 00:15:00+00:00,100,3.125,9.78,2.65,2.65,3.67,3.18,325.0,110.0,20.0,307.9,273.2,49.6,26.1,50.0,1.4,3.13,2.05
2012-01-02 01:00:00+00:00,100,3.475,10.96,3.1,3.1,4.03,3.17,327.0,110.0,20.0,306.6,272.5,49.0,25.8,48.7,1.6,3.15,2.13
2012-01-02 01:15:00+00:00,100,3.3,11.09,2.55,2.55,3.85,3.12,279.0,110.0,20.0,279.3,255.5,34.1,17.9,34.2,1.0,3.36,2.09
2012-01-02 01:30:00+00:00,100,3.525,11.6,2.08,2.08,4.07,3.05,249.0,110.0,20.0,280.4,244.5,50.9,27.7,44.4,1.8,3.29,4.1
2012-01-02 01:45:00+00:00,100,3.55,12.08,2.55,2.55,4.1,2.96,255.0,110.0,20.0,272.1,246.3,36.9,20.0,34.0,1.3,3.4,3.06
2012-01-02 02:15:00+00:00,100,3.475,12.61,2.58,2.58,4.03,2.75,238.0,110.0,20.0,246.7,227.4,27.7,14.8,26.6,0.9,3.63,2.49
2012-01-02 05:00:00+00:00,100,4.475,14.4,2.55,2.55,5.03,3.03,310.0,110.0,20.0,298.6,264.8,48.2,24.3,60.5,2.7,3.22,1.07
2012-01-02 05:15:00+00:00,50,3.875,11.32,3.45,3.45,4.43,3.22,390.0,110.0,20.0,311.6,255.4,77.0,40.3,86.3,3.3,2.92,1.58
2012-01-02 05:30:00+00:00,50,4.125,14.93,3.22,3.22,4.7,3.43,254.0,110.0,20.0,234.3,204.2,40.9,21.8,45.9,2.1,3.62,1.65
2012-01-02 05:45:00+00:00,70,4.875,18.69,2.67,2.67,5.43,3.64,219.0,110.0,20.0,214.6,189.7,33.7,18.6,41.2,2.5,3.83,1.38
2012-01-02 06:00:00+00:00,70,5.225,20.19,3.1,3.1,5.78,3.86,214.0,110.0,20.0,208.2,180.8,36.5,20.3,45.0,3.2,3.87,1.39
2012-01-02 06:15:00+00:00,70,7.8,22.25,3.38,3.38,8.35,4.07,215.0,110.0,20.0,326.4,214.3,156.7,82.6,172.1,25.9,2.85,1.99
2012-01-02 06:30:00+00:00,100,6.4,24.42,2.67,2.67,6.95,4.29,224.0,110.0,20.0,216.6,191.4,33.7,19.9,45.0,4.8,3.82,1.21
2012-01-02 06:45:00+00:00,70,6.4,25.27,1.83,3.75,6.95,4.49,219.0,101.1,11.0,199.0,170.6,35.4,20.5,53.6,4.9,3.95,1.0
2012-01-02 07:00:00+00:00,50,7.8,27.0,4.47,4.47,8.35,4.68,220.0,110.0,20.0,230.3,182.2,65.6,35.8,71.3,11.7,3.46,1.86
2012-01-02 07:15:00+00:00,70,7.15,25.51,3.2,3.2,7.7,4.86,219.0,110.0,20.0,224.7,183.3,57.0,32.4,63.5,9.1,3.57,1.81
2012-01-02 07:30:00+00:00,70,7.8,25.35,3.35,3.35,8.35,5.02,214.0,110.0,20.0,251.6,189.1,85.1,46.5,92.0,15.1,3.25,1.91
2012-01-02 07:45:00+00:00,70,7.3,26.83,4.82,4.82,7.85,5.17,249.0,110.0,20.0,216.4,175.8,48.5,27.6,73.9,8.4,3.67,1.0
2012-01-02 08:15:00+00:00,50,9.575,32.79,7.22,7.22,10.13,5.4,264.0,110.0,20.0,231.4,180.1,68.0,36.2,84.2,18.0,3.42,1.33
2012-01-02 08:30:00+00:00,50,10.275,38.81,5.55,5.55,10.82,5.49,239.0,110.0,20.0,216.6,184.5,42.1,23.5,61.0,14.1,3.78,1.0
2012-01-02 08:45:00+00:00,50,10.225,39.23,5.65,5.65,10.77,5.56,225.0,110.0,20.0,208.2,176.7,41.2,22.9,58.4,13.5,3.84,1.01
2012-01-02 09:15:00+00:00,70,7.875,30.09,4.47,4.47,8.43,5.65,219.0,110.0,20.0,203.5,170.1,41.1,24.7,62.4,8.7,3.82,1.02
2012-01-02 09:30:00+00:00,70,7.975,27.33,4.13,4.13,8.52,5.68,215.0,110.0,20.0,233.9,173.4,84.5,47.1,83.8,15.9,3.43,2.52
2012-01-02 10:15:00+00:00,70,7.525,26.84,5.35,5.35,8.07,5.69,245.0,110.0,20.0,216.7,165.2,64.2,36.2,86.1,11.2,3.57,1.27
2012-01-02 12:00:00+00:00,50,6.925,16.55,5.93,5.93,7.47,5.59,499.0,110.0,20.0,344.9,212.1,168.7,93.1,184.4,23.7,2.39,1.66
